Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30122318.8,439494.58625,191500909.26999998,124475591.03,362.8469,373570.4,65924.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.48375875,478407.74456278543,736011.9146853694,677130.9615105399,-58880.95317482948,58880.95317482948,7.99999999999999
2026-08-28,28,2026-08-01,True,BOGOTA,42278670.75,439494.58625,191500909.26999998,124475591.03,362.8469,373570.4,65924.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.48375875,478407.74456278543,736011.9146853694,677130.9615105399,-58880.95317482948,58880.95317482948,7.99999999999999
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33637252.44,439494.58625,191500909.26999998,124475591.03,362.8469,373570.4,65924.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.48375875,478407.74456278543,736011.9146853694,677130.9615105399,-58880.95317482948,58880.95317482948,7.99999999999999
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26670760.08,439494.58625,191500909.26999998,124475591.03,362.8469,373570.4,65924.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.48375875,478407.74456278543,736011.9146853694,677130.9615105399,-58880.95317482948,58880.95317482948,7.99999999999999
2026-08-28,28,2026-08-01,True,VALLE,21700765.34,439494.58625,191500909.26999998,124475591.03,362.8469,373570.4,65924.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.48375875,478407.74456278543,736011.9146853694,677130.9615105399,-58880.95317482948,58880.95317482948,7.99999999999999
2026-08-28,28,2026-08-01,True,SANTANDER,17109404.45,439494.58625,191500909.26999998,124475591.03,362.8469,373570.4,65924.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.48375875,478407.74456278543,736011.9146853694,677130.9615105399,-58880.95317482948,58880.95317482948,7.99999999999999
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10765845.25,439494.58625,191500909.26999998,124475591.03,362.8469,373570.4,65924.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.48375875,478407.74456278543,736011.9146853694,677130.9615105399,-58880.95317482948,58880.95317482948,7.99999999999999
2026-08-28,28,2026-08-01,True,TOLIMA,9215892.16,439494.58625,191500909.26999998,124475591.03,362.8469,373570.4,65924.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.48375875,478407.74456278543,736011.9146853694,677130.9615105399,-58880.95317482948,58880.95317482948,7.99999999999999
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25676047.77,311910.555,161194085.32,104776155.46,363.5664,265123.97,46786.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.731665,340200.592810056,523385.52739009564,481514.685198888,-41870.84219120763,41870.84219120763,7.9999999999999964
2026-08-29,29,2026-08-01,True,BOGOTA,35252251.0,311910.555,161194085.32,104776155.46,363.5664,265123.97,46786.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.731665,340200.592810056,523385.52739009564,481514.685198888,-41870.84219120763,41870.84219120763,7.9999999999999964
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28234369.05,311910.555,161194085.32,104776155.46,363.5664,265123.97,46786.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.731665,340200.592810056,523385.52739009564,481514.685198888,-41870.84219120763,41870.84219120763,7.9999999999999964
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22388068.72,311910.555,161194085.32,104776155.46,363.5664,265123.97,46786.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.731665,340200.592810056,523385.52739009564,481514.685198888,-41870.84219120763,41870.84219120763,7.9999999999999964
2026-08-29,29,2026-08-01,True,VALLE,18531433.94,311910.555,161194085.32,104776155.46,363.5664,265123.97,46786.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.731665,340200.592810056,523385.52739009564,481514.685198888,-41870.84219120763,41870.84219120763,7.9999999999999964
2026-08-29,29,2026-08-01,True,SANTANDER,14375086.16,311910.555,161194085.32,104776155.46,363.5664,265123.97,46786.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.731665,340200.592810056,523385.52739009564,481514.685198888,-41870.84219120763,41870.84219120763,7.9999999999999964
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9168177.25,311910.555,161194085.32,104776155.46,363.5664,265123.97,46786.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.731665,340200.592810056,523385.52739009564,481514.685198888,-41870.84219120763,41870.84219120763,7.9999999999999964
2026-08-29,29,2026-08-01,True,TOLIMA,7568651.43,311910.555,161194085.32,104776155.46,363.5664,265123.97,46786.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.731665,340200.592810056,523385.52739009564,481514.685198888,-41870.84219120763,41870.84219120763,7.9999999999999964
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25604971.43,312501.46875,161499466.94000003,104974653.51,364.2743,265626.25,46875.22,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.50440625,341508.7613336344,525398.0943644425,483366.24681528716,-42031.847549155354,42031.847549155354,7.99999999999999
2026-08-30,30,2026-08-01,True,BOGOTA,35503556.15,312501.46875,161499466.94000003,104974653.51,364.2743,265626.25,46875.22,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.50440625,341508.7613336344,525398.0943644425,483366.24681528716,-42031.847549155354,42031.847549155354,7.99999999999999
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28469758.02,312501.46875,161499466.94000003,104974653.51,364.2743,265626.25,46875.22,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.50440625,341508.7613336344,525398.0943644425,483366.24681528716,-42031.847549155354,42031.847549155354,7.99999999999999
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22521647.61,312501.46875,161499466.94000003,104974653.51,364.2743,265626.25,46875.22,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.50440625,341508.7613336344,525398.0943644425,483366.24681528716,-42031.847549155354,42031.847549155354,7.99999999999999
2026-08-30,30,2026-08-01,True,VALLE,18341478.85,312501.46875,161499466.94000003,104974653.51,364.2743,265626.25,46875.22,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.50440625,341508.7613336344,525398.0943644425,483366.24681528716,-42031.847549155354,42031.847549155354,7.99999999999999
2026-08-30,30,2026-08-01,True,SANTANDER,14170774.12,312501.46875,161499466.94000003,104974653.51,364.2743,265626.25,46875.22,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.50440625,341508.7613336344,525398.0943644425,483366.24681528716,-42031.847549155354,42031.847549155354,7.99999999999999
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9219044.4,312501.46875,161499466.94000003,104974653.51,364.2743,265626.25,46875.22,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.50440625,341508.7613336344,525398.0943644425,483366.24681528716,-42031.847549155354,42031.847549155354,7.99999999999999
2026-08-30,30,2026-08-01,True,TOLIMA,7668236.36,312501.46875,161499466.94000003,104974653.51,364.2743,265626.25,46875.22,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.50440625,341508.7613336344,525398.0943644425,483366.24681528716,-42031.847549155354,42031.847549155354,7.99999999999999
2026-08-31,31,2026-08-01,True,ANTIOQUIA,30632081.52,442007.4325,192595831.09,125187290.21,364.9592,375706.32,66301.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.0222975,483944.036877762,744529.2874953282,684966.944495702,-59562.342999626184,59562.342999626184,7.99999999999999
2026-08-31,31,2026-08-01,True,BOGOTA,42623431.45,442007.4325,192595831.09,125187290.21,364.9592,375706.32,66301.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.0222975,483944.036877762,744529.2874953282,684966.944495702,-59562.342999626184,59562.342999626184,7.99999999999999
2026-08-31,31,2026-08-01,True,CARIBE_MAR,33978364.47,442007.4325,192595831.09,125187290.21,364.9592,375706.32,66301.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.0222975,483944.036877762,744529.2874953282,684966.944495702,-59562.342999626184,59562.342999626184,7.99999999999999
2026-08-31,31,2026-08-01,True,CARIBE_SOL,26715654.54,442007.4325,192595831.09,125187290.21,364.9592,375706.32,66301.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.0222975,483944.036877762,744529.2874953282,684966.944495702,-59562.342999626184,59562.342999626184,7.99999999999999
2026-08-31,31,2026-08-01,True,VALLE,21939616.62,442007.4325,192595831.09,125187290.21,364.9592,375706.32,66301.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.0222975,483944.036877762,744529.2874953282,684966.944495702,-59562.342999626184,59562.342999626184,7.99999999999999
2026-08-31,31,2026-08-01,True,SANTANDER,16805141.52,442007.4325,192595831.09,125187290.21,364.9592,375706.32,66301.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.0222975,483944.036877762,744529.2874953282,684966.944495702,-59562.342999626184,59562.342999626184,7.99999999999999
2026-08-31,31,2026-08-01,True,CUNDINAMARCA,10799816.54,442007.4325,192595831.09,125187290.21,364.9592,375706.32,66301.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.0222975,483944.036877762,744529.2874953282,684966.944495702,-59562.342999626184,59562.342999626184,7.99999999999999
2026-08-31,31,2026-08-01,True,TOLIMA,9101724.43,442007.4325,192595831.09,125187290.21,364.9592,375706.32,66301.11,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.0222975,483944.036877762,744529.2874953282,684966.944495702,-59562.342999626184,59562.342999626184,7.99999999999999
2026-09-01,1,2026-09-01,True,ANTIOQUIA,29985351.68,438465.085,191052324.45999995,124184010.9,365.6102,372695.32,65769.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.3952550000001,480921.92225960107,739879.8803934281,680689.489961954,-59190.390431474196,59190.390431474196,7.999999999999992
2026-09-01,1,2026-09-01,True,BOGOTA,42245414.37,438465.085,191052324.45999995,124184010.9,365.6102,372695.32,65769.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.3952550000001,480921.92225960107,739879.8803934281,680689.489961954,-59190.390431474196,59190.390431474196,7.999999999999992
2026-09-01,1,2026-09-01,True,CARIBE_MAR,33729585.46,438465.085,191052324.45999995,124184010.9,365.6102,372695.32,65769.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.3952550000001,480921.92225960107,739879.8803934281,680689.489961954,-59190.390431474196,59190.390431474196,7.999999999999992
2026-09-01,1,2026-09-01,True,CARIBE_SOL,26570091.3,438465.085,191052324.45999995,124184010.9,365.6102,372695.32,65769.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.3952550000001,480921.92225960107,739879.8803934281,680689.489961954,-59190.390431474196,59190.390431474196,7.999999999999992
2026-09-01,1,2026-09-01,True,VALLE,21693784.03,438465.085,191052324.45999995,124184010.9,365.6102,372695.32,65769.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.3952550000001,480921.92225960107,739879.8803934281,680689.489961954,-59190.390431474196,59190.390431474196,7.999999999999992
2026-09-01,1,2026-09-01,True,SANTANDER,16728617.09,438465.085,191052324.45999995,124184010.9,365.6102,372695.32,65769.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.3952550000001,480921.92225960107,739879.8803934281,680689.489961954,-59190.390431474196,59190.390431474196,7.999999999999992
2026-09-01,1,2026-09-01,True,CUNDINAMARCA,11024686.61,438465.085,191052324.45999995,124184010.9,365.6102,372695.32,65769.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.3952550000001,480921.92225960107,739879.8803934281,680689.489961954,-59190.390431474196,59190.390431474196,7.999999999999992
2026-09-01,1,2026-09-01,True,TOLIMA,9074793.92,438465.085,191052324.45999995,124184010.9,365.6102,372695.32,65769.76,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.3952550000001,480921.92225960107,739879.8803934281,680689.489961954,-59190.390431474196,59190.390431474196,7.999999999999992
2026-09-02,2,2026-09-01,True,ANTIOQUIA,30003073.89,440379.26125,191886388.33,124726152.41,366.2172,374322.37,66056.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.13778375,483823.37997913046,744343.6615332098,684796.1686105531,-59547.492922656704,59547.492922656704,7.999999999999989
2026-09-02,2,2026-09-01,True,BOGOTA,42647018.32,440379.26125,191886388.33,124726152.41,366.2172,374322.37,66056.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.13778375,483823.37997913046,744343.6615332098,684796.1686105531,-59547.492922656704,59547.492922656704,7.999999999999989
2026-09-02,2,2026-09-01,True,CARIBE_MAR,33912104.95,440379.26125,191886388.33,124726152.41,366.2172,374322.37,66056.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.13778375,483823.37997913046,744343.6615332098,684796.1686105531,-59547.492922656704,59547.492922656704,7.999999999999989
2026-09-02,2,2026-09-01,True,CARIBE_SOL,26497177.72,440379.26125,191886388.33,124726152.41,366.2172,374322.37,66056.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.13778375,483823.37997913046,744343.6615332098,684796.1686105531,-59547.492922656704,59547.492922656704,7.999999999999989
2026-09-02,2,2026-09-01,True,VALLE,21710368.11,440379.26125,191886388.33,124726152.41,366.2172,374322.37,66056.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.13778375,483823.37997913046,744343.6615332098,684796.1686105531,-59547.492922656704,59547.492922656704,7.999999999999989
2026-09-02,2,2026-09-01,True,SANTANDER,17083183.86,440379.26125,191886388.33,124726152.41,366.2172,374322.37,66056.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.13778375,483823.37997913046,744343.6615332098,684796.1686105531,-59547.492922656704,59547.492922656704,7.999999999999989
2026-09-02,2,2026-09-01,True,CUNDINAMARCA,11072987.13,440379.26125,191886388.33,124726152.41,366.2172,374322.37,66056.89,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.13778375,483823.37997913046,744343.6615332098,684796.1686105531,-59547.492922656704,59547.492922656704,7.999999999999989
