Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,44257500.0,37618875.04,6638625.04,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,44552550.0,37869667.52,6682882.48,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,44847600.0,38120460.0,6727140.0,85.0,15.0,47.550000000000004,14196.84,73.14,67.28,-5.840000000000001,5.840000000000001
2024-04-01,HISTORICO,45142650.0,38371252.48,6771397.519999998,85.0,15.0,47.45,13741.810000000001,72.99000000000001,67.15,-5.840000000000001,5.840000000000001
2024-05-01,HISTORICO,45437700.0,38622044.96,6815655.04,85.0,15.0,49.41,13768.24,76.02,69.93,-6.08,6.08
2024-06-01,HISTORICO,45732750.0,38872837.52,6859912.480000002,85.0,15.0,51.85,14422.93,79.78000000000002,73.41,-6.379999999999999,6.379999999999999
2024-07-01,HISTORICO,46027800.0,39123630.0,6904170.0,85.0,15.0,52.449999999999996,15256.71,80.71,74.25999999999999,-6.470000000000001,6.470000000000001
2024-08-01,HISTORICO,46322850.0,39374422.48,6948427.519999998,85.0,15.0,50.66,15569.27,77.93999999999998,71.69,-6.239999999999999,6.239999999999999
2024-09-01,HISTORICO,46617900.0,39625215.04,6992685.04,85.0,15.0,48.379999999999995,15233.6,74.44,68.49,-5.97,5.97
2024-10-01,HISTORICO,46912950.0,39876007.52,7036942.480000002,85.0,15.0,47.67999999999999,14718.060000000001,73.36,67.47,-5.88,5.88
2024-11-01,HISTORICO,47208000.0,40126800.0,7081200.0,85.0,15.0,49.08,14570.72,75.52,69.47,-6.040000000000001,6.040000000000001
2024-12-01,HISTORICO,47503050.0,40377592.48,7125457.519999998,85.0,15.0,51.529999999999994,15068.73,79.25,72.91,-6.34,6.34
2025-01-01,HISTORICO,47798100.0,40628384.96,7169715.04,85.0,15.0,52.76,15931.250000000002,81.17,74.67999999999999,-6.49,6.49
2025-02-01,HISTORICO,48093150.0,40879177.52,7213972.480000002,85.0,15.0,51.580000000000005,16441.97,79.34,72.99000000000001,-6.34,6.34
2025-03-01,HISTORICO,48388200.0,41129970.0,7258230.0,85.0,15.0,49.28,16258.15,75.84,69.74,-6.07,6.07
2025-04-01,HISTORICO,48683250.0,41380762.48,7302487.519999998,85.0,15.0,48.06,15728.29,73.94,68.02999999999999,-5.910000000000001,5.910000000000001
2025-05-01,HISTORICO,48978300.0,41631555.04,7346745.04,85.0,15.0,48.870000000000005,15428.179999999998,75.19,69.17,-6.0,6.0
2025-06-01,HISTORICO,49273350.0,41882347.52,7391002.480000002,85.0,15.0,51.099999999999994,15745.52,78.62,72.34,-6.290000000000001,6.290000000000001
2025-07-01,HISTORICO,49568400.0,42133140.0,7435260.0,85.0,15.0,52.82,16573.17,81.27999999999999,74.77000000000001,-6.51,6.51
2025-08-01,HISTORICO,49863450.0,42383932.48,7479517.519999998,85.0,15.0,52.30999999999999,17252.46,80.49000000000001,74.03999999999999,-6.4399999999999995,6.4399999999999995
2025-09-01,HISTORICO,50158500.0,42634724.96,7523775.04,85.0,15.0,50.21,17255.120000000003,77.23,71.05000000000001,-6.17,6.17
2025-10-01,HISTORICO,50453550.0,42885517.52,7568032.480000002,85.0,15.0,48.58,16761.1,74.72999999999999,68.74,-5.9799999999999995,5.9799999999999995
2025-11-01,HISTORICO,50748600.0,43136310.0,7612290.0,85.0,15.0,48.790000000000006,16338.74,75.06,69.06000000000002,-6.0,6.0
2025-12-01,HISTORICO,51043650.0,43387102.48,7656547.519999998,85.0,15.0,50.709999999999994,16465.849999999995,77.99999999999999,71.76,-6.239999999999999,6.239999999999999
2026-01-01,HISTORICO,51338700.0,43637895.04,7700805.04,85.0,15.0,52.68000000000001,17200.98,81.07,74.59,-6.49,6.49
2026-02-01,HISTORICO,51633750.0,43888687.52,7745062.480000002,85.0,15.0,52.86,18001.77,81.33999999999999,74.83,-6.51,6.51
2026-03-01,HISTORICO,51928800.0,44139480.0,7789320.0,85.0,15.0,51.08999999999999,18210.27,78.61000000000001,72.32,-6.290000000000001,6.290000000000001
2026-04-01,HISTORICO,52223850.0,44390272.48,7833577.519999998,85.0,15.0,49.19999999999999,17803.08,75.69999999999999,69.64,-6.0600000000000005,6.0600000000000005
