Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30337393.12,440342.1975,191870238.52000004,124715655.04,362.8469,374290.87,66051.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.0265925,479330.4039061883,737431.3906130793,678436.879364033,-58994.51124904631,58994.51124904631,7.999999999999995
2026-08-28,28,2026-08-01,True,BOGOTA,42367643.83,440342.1975,191870238.52000004,124715655.04,362.8469,374290.87,66051.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.0265925,479330.4039061883,737431.3906130793,678436.879364033,-58994.51124904631,58994.51124904631,7.999999999999995
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33979327.01,440342.1975,191870238.52000004,124715655.04,362.8469,374290.87,66051.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.0265925,479330.4039061883,737431.3906130793,678436.879364033,-58994.51124904631,58994.51124904631,7.999999999999995
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26532138.7,440342.1975,191870238.52000004,124715655.04,362.8469,374290.87,66051.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.0265925,479330.4039061883,737431.3906130793,678436.879364033,-58994.51124904631,58994.51124904631,7.999999999999995
2026-08-28,28,2026-08-01,True,VALLE,21436359.5,440342.1975,191870238.52000004,124715655.04,362.8469,374290.87,66051.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.0265925,479330.4039061883,737431.3906130793,678436.879364033,-58994.51124904631,58994.51124904631,7.999999999999995
2026-08-28,28,2026-08-01,True,SANTANDER,17135754.44,440342.1975,191870238.52000004,124715655.04,362.8469,374290.87,66051.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.0265925,479330.4039061883,737431.3906130793,678436.879364033,-58994.51124904631,58994.51124904631,7.999999999999995
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,11010772.84,440342.1975,191870238.52000004,124715655.04,362.8469,374290.87,66051.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.0265925,479330.4039061883,737431.3906130793,678436.879364033,-58994.51124904631,58994.51124904631,7.999999999999995
2026-08-28,28,2026-08-01,True,TOLIMA,9070849.08,440342.1975,191870238.52000004,124715655.04,362.8469,374290.87,66051.33,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.0265925,479330.4039061883,737431.3906130793,678436.879364033,-58994.51124904631,58994.51124904631,7.999999999999995
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25678010.93,314246.5125,162401298.13,105560843.78,363.5664,267109.54,47136.98,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.7395375000001,342748.41978654003,527305.2612325402,485120.840333937,-42184.42089860322,42184.42089860322,8.0
2026-08-29,29,2026-08-01,True,BOGOTA,36277094.88,314246.5125,162401298.13,105560843.78,363.5664,267109.54,47136.98,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.7395375000001,342748.41978654003,527305.2612325402,485120.840333937,-42184.42089860322,42184.42089860322,8.0
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28354369.99,314246.5125,162401298.13,105560843.78,363.5664,267109.54,47136.98,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.7395375000001,342748.41978654003,527305.2612325402,485120.840333937,-42184.42089860322,42184.42089860322,8.0
