Código Agente,Nombre Comercializador,Rol Regulado PUI (CIOR/CNIOR),Código Mercado Comercialización,Mercado Comercialización,Período (Mes),Tipo de Registro,Es Pronóstico (Sí/No),Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos (Compras Contrato) [kWh],Exposición Energía en Bolsa Spot (Compras Bolsa) [kWh],Porcentaje Cobertura por Contratos [%],Porcentaje Exposición en Bolsa Spot [%],Estado Cobertura de Demanda Agente,Días Activos Mes,Promedio Diario Agente [kWh/día],Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Comercial Mercado Total (VR - DemaCome) [kWh],Demanda Total Sistema (Todos Agentes) [kWh],Demanda Total Sistema (CNIORs) [kWh],Participación Agente en Total Sistema [%],Participación Agente entre CNIORs [%],Ranking Demanda Agente en el Mes,Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales Rezago m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Unitario Transitorio (CRPUI) [COP/kWh],Cargo Unitario Fijo Competitivo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Ingresos PUI Facturados Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%],Código Comercializador CIOR,Nombre Comercializador CIOR,Demanda Acumulada CIOR [kWh],Total Giros Recibidos CIOR [COP],Parámetro Prima Riesgo Cartera (rcpui) [COP/kWh],Parámetro % Áreas Especiales [%],Parámetro Factor Recaudo CNIOR [%],Parámetro Cargo Competitivo (cfpui) [COP/kWh],Parámetro Esquema Competitivo [Sí/No]
GWOC,GWOC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-01-01,HISTORICO,False,8658750.0,7359937.5,1298812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,288625.0,280.0,25000000.0,1500000000.0,975000000.0,4.618,7.1046,12,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-01-01,HISTORICO,False,8658750.0,7359937.5,1298812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,288625.0,280.0,35000000.0,1500000000.0,975000000.0,4.618,7.1046,12,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-01-01,HISTORICO,False,8658750.0,7359937.5,1298812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,288625.0,280.0,28000000.0,1500000000.0,975000000.0,4.618,7.1046,12,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-01-01,HISTORICO,False,8658750.0,7359937.5,1298812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,288625.0,280.0,22000000.0,1500000000.0,975000000.0,4.618,7.1046,12,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-01-01,HISTORICO,False,8658750.0,7359937.5,1298812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,288625.0,280.0,9000000.0,1500000000.0,975000000.0,4.618,7.1046,12,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-01-01,HISTORICO,False,8658750.0,7359937.5,1298812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,288625.0,280.0,14000000.0,1500000000.0,975000000.0,4.618,7.1046,12,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-01-01,HISTORICO,False,8658750.0,7359937.5,1298812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,288625.0,280.0,7500000.0,1500000000.0,975000000.0,4.618,7.1046,12,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-01-01,HISTORICO,False,8658750.0,7359937.5,1298812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,288625.0,280.0,18000000.0,1500000000.0,975000000.0,4.618,7.1046,12,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-02-01,HISTORICO,False,8716475.0,7409003.75,1307471.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,290549.17,295.1221,25250000.0,1510000000.0,981500000.0,4.618,7.1046,12,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-02-01,HISTORICO,False,8716475.0,7409003.75,1307471.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,290549.17,295.1221,35350000.0,1510000000.0,981500000.0,4.618,7.1046,12,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-02-01,HISTORICO,False,8716475.0,7409003.75,1307471.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,290549.17,295.1221,28280000.0,1510000000.0,981500000.0,4.618,7.1046,12,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-02-01,HISTORICO,False,8716475.0,7409003.75,1307471.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,290549.17,295.1221,22220000.0,1510000000.0,981500000.0,4.618,7.1046,12,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-02-01,HISTORICO,False,8716475.0,7409003.75,1307471.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,290549.17,295.1221,9090000.0,1510000000.0,981500000.0,4.618,7.1046,12,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-02-01,HISTORICO,False,8716475.0,7409003.75,1307471.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,290549.17,295.1221,14140000.0,1510000000.0,981500000.0,4.618,7.1046,12,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-02-01,HISTORICO,False,8716475.0,7409003.75,1307471.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,290549.17,295.1221,7575000.0,1510000000.0,981500000.0,4.618,7.1046,12,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-02-01,HISTORICO,False,8716475.0,7409003.75,1307471.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,290549.17,295.1221,18180000.0,1510000000.0,981500000.0,4.618,7.1046,12,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-03-01,HISTORICO,False,8774200.0,7458070.0,1316130.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,292473.33,298.6395,25500000.0,1520000000.0,988000000.0,4.618,7.1046,12,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,11.74,3504.78,11.74,18.06,16.61,-1.44,1.44,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-03-01,HISTORICO,False,8774200.0,7458070.0,1316130.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,292473.33,298.6395,35700000.0,1520000000.0,988000000.0,4.618,7.1046,12,35350000.0,3535000.0,295.1221,35000000.0,3570000.0,1.017e-05,0.0,355.78,355.78,327.32,16.43,4906.69,16.43,25.28,23.25,-2.02,2.02,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-03-01,HISTORICO,False,8774200.0,7458070.0,1316130.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,292473.33,298.6395,28560000.0,1520000000.0,988000000.0,4.618,7.1046,12,28280000.0,2828000.0,295.1221,28000000.0,2856000.0,1.017e-05,0.0,284.63,284.63,261.86,13.14,3925.35,13.14,20.22,18.6,-1.62,1.62,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-03-01,HISTORICO,False,8774200.0,7458070.0,1316130.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,292473.33,298.6395,22440000.0,1520000000.0,988000000.0,4.618,7.1046,12,22220000.0,2222000.0,295.1221,22000000.0,2244000.0,1.017e-05,0.0,223.64,223.64,205.75,10.33,3084.21,10.33,15.89,14.62,-1.27,1.27,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-03-01,HISTORICO,False,8774200.0,7458070.0,1316130.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,292473.33,298.6395,9180000.0,1520000000.0,988000000.0,4.618,7.1046,12,9090000.0,909000.0,295.1221,9000000.0,918000.0,1.017e-05,0.0,91.49,91.49,84.17,4.22,1261.72,4.22,6.5,5.98,-0.52,0.52,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-03-01,HISTORICO,False,8774200.0,7458070.0,1316130.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,292473.33,298.6395,14280000.0,1520000000.0,988000000.0,4.618,7.1046,12,14140000.0,1414000.0,295.1221,14000000.0,1428000.0,1.017e-05,0.0,142.31,142.31,130.93,6.57,1962.68,6.57,10.11,9.3,-0.81,0.81,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-03-01,HISTORICO,False,8774200.0,7458070.0,1316130.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,292473.33,298.6395,7650000.0,1520000000.0,988000000.0,4.618,7.1046,12,7575000.0,757500.0,295.1221,7500000.0,765000.0,1.017e-05,0.0,76.24,76.24,70.14,3.52,1051.43,3.52,5.42,4.98,-0.43,0.43,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-03-01,HISTORICO,False,8774200.0,7458070.0,1316130.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,292473.33,298.6395,18360000.0,1520000000.0,988000000.0,4.618,7.1046,12,18180000.0,1818000.0,295.1221,18000000.0,1836000.0,1.017e-05,0.0,182.98,182.98,168.34,8.45,2523.44,8.45,13.0,11.96,-1.04,1.04,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-04-01,HISTORICO,False,8831925.0,7507136.25,1324788.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,294397.5,289.6168,25750000.0,1530000000.0,994500000.0,4.618,7.1046,12,25500000.0,2550000.0,298.6395,25250000.0,2575000.0,1.005e-05,0.0,253.65,253.65,233.36,11.71,3392.45,11.71,18.02,16.58,-1.44,1.44,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-04-01,HISTORICO,False,8831925.0,7507136.25,1324788.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,294397.5,289.6168,36050000.0,1530000000.0,994500000.0,4.618,7.1046,12,35700000.0,3570000.0,298.6395,35350000.0,3605000.0,1.005e-05,0.0,355.11,355.11,326.7,16.4,4749.43,16.4,25.23,23.21,-2.02,2.02,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
GWOC,GWOC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-04-01,HISTORICO,False,8831925.0,7507136.25,1324788.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,294397.5,289.6168,28840000.0,1530000000.0,994500000.0,4.618,7.1046,12,28560000.0,2856000.0,298.6395,28280000.0,2884000.0,1.005e-05,0.0,284.09,284.09,261.36,13.12,3799.54,13.12,20.18,18.57,-1.61,1.61,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
