Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,69270000.0,58879500.0,10390500.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,69731800.0,59272030.0,10459770.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,70193600.0,59664560.0,10529040.0,85.0,15.0,74.4,22220.3,114.48,105.30000000000001,-9.149999999999999,9.149999999999999
2024-04-01,HISTORICO,70655400.0,60057090.0,10598310.0,85.0,15.0,74.25999999999999,21508.11,114.25999999999999,105.11,-9.14,9.14
2024-05-01,HISTORICO,71117200.0,60449620.0,10667580.0,85.0,15.0,77.33,21549.479999999996,118.98000000000002,109.46000000000001,-9.51,9.51
2024-06-01,HISTORICO,71579000.0,60842150.0,10736850.0,85.0,15.0,81.17,22574.170000000002,124.87,114.89,-9.990000000000002,9.990000000000002
2024-07-01,HISTORICO,72040800.0,61234680.0,10806120.0,85.0,15.0,82.11999999999999,23879.160000000003,126.34,116.21999999999998,-10.100000000000001,10.100000000000001
2024-08-01,HISTORICO,72502600.0,61627210.0,10875390.0,85.0,15.0,79.28,24368.350000000002,121.97,112.21000000000001,-9.74,9.74
2024-09-01,HISTORICO,72964400.0,62019740.0,10944660.0,85.0,15.0,75.71999999999998,23842.990000000005,116.51000000000002,107.2,-9.32,9.32
2024-10-01,HISTORICO,73426200.0,62412270.0,11013930.0,85.0,15.0,74.63000000000001,23036.09,114.81,105.63,-9.169999999999998,9.169999999999998
2024-11-01,HISTORICO,73888000.0,62804800.0,11083200.0,85.0,15.0,76.83,22805.48,118.19,108.72999999999999,-9.46,9.46
2024-12-01,HISTORICO,74349800.0,63197330.0,11152470.0,85.0,15.0,80.63999999999999,23584.949999999997,124.05000000000001,114.12,-9.93,9.93
2025-01-01,HISTORICO,74811600.0,63589860.0,11221740.0,85.0,15.0,82.58999999999999,24934.93,127.03,116.88000000000001,-10.160000000000002,10.160000000000002
2025-02-01,HISTORICO,75273400.0,63982390.0,11291010.0,85.0,15.0,80.71,25734.29,124.18999999999998,114.25999999999999,-9.940000000000001,9.940000000000001
2025-03-01,HISTORICO,75735200.0,64374920.0,11360280.0,85.0,15.0,77.14000000000001,25446.58,118.69000000000001,109.19000000000001,-9.51,9.51
2025-04-01,HISTORICO,76197000.0,64767450.0,11429550.0,85.0,15.0,75.21000000000001,24617.270000000004,115.72,106.47000000000001,-9.270000000000001,9.270000000000001
2025-05-01,HISTORICO,76658800.0,65159980.0,11498820.0,85.0,15.0,76.5,24147.550000000003,117.67,108.28,-9.41,9.41
2025-06-01,HISTORICO,77120600.0,65552510.0,11568090.0,85.0,15.0,79.99000000000001,24644.22,123.07000000000001,113.22999999999999,-9.850000000000001,9.850000000000001
2025-07-01,HISTORICO,77582400.0,65945040.0,11637360.0,85.0,15.0,82.67999999999999,25939.61,127.21,117.02000000000001,-10.190000000000001,10.190000000000001
2025-08-01,HISTORICO,78044200.0,66337570.0,11706630.0,85.0,15.0,81.89,27002.84,125.99,115.9,-10.080000000000002,10.080000000000002
2025-09-01,HISTORICO,78506000.0,66730100.0,11775900.0,85.0,15.0,78.57000000000001,27006.989999999998,120.89,111.21999999999998,-9.68,9.68
2025-10-01,HISTORICO,78967800.0,67122630.0,11845170.0,85.0,15.0,76.03,26233.789999999997,116.96,107.61000000000001,-9.36,9.36
2025-11-01,HISTORICO,79429600.0,67515160.0,11914440.0,85.0,15.0,76.37,25572.690000000006,117.48,108.09,-9.39,9.39
2025-12-01,HISTORICO,79891400.0,67907690.0,11983710.0,85.0,15.0,79.34,25771.649999999998,122.05999999999999,112.30000000000001,-9.77,9.77
2026-01-01,HISTORICO,80353200.0,68300220.0,12052980.0,85.0,15.0,82.48,26922.23,126.88999999999999,116.73,-10.150000000000002,10.150000000000002
2026-02-01,HISTORICO,80815000.0,68692750.0,12122250.0,85.0,15.0,82.76,28175.64,127.29999999999998,117.11000000000001,-10.190000000000001,10.190000000000001
2026-03-01,HISTORICO,81276800.0,69085280.0,12191520.0,85.0,15.0,79.96,28501.97,123.03,113.17999999999999,-9.850000000000001,9.850000000000001
