Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30257471.43,439088.18125,191323826.03,124360486.92,362.8469,373224.95,65863.23,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.26454375,477965.3561796019,735331.3171964311,676504.8118207166,-58826.50537571451,58826.50537571451,8.000000000000004
2026-08-28,28,2026-08-01,True,BOGOTA,42170548.58,439088.18125,191323826.03,124360486.92,362.8469,373224.95,65863.23,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.26454375,477965.3561796019,735331.3171964311,676504.8118207166,-58826.50537571451,58826.50537571451,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34030663.61,439088.18125,191323826.03,124360486.92,362.8469,373224.95,65863.23,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.26454375,477965.3561796019,735331.3171964311,676504.8118207166,-58826.50537571451,58826.50537571451,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26515140.56,439088.18125,191323826.03,124360486.92,362.8469,373224.95,65863.23,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.26454375,477965.3561796019,735331.3171964311,676504.8118207166,-58826.50537571451,58826.50537571451,8.000000000000004
2026-08-28,28,2026-08-01,True,VALLE,21645171.55,439088.18125,191323826.03,124360486.92,362.8469,373224.95,65863.23,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.26454375,477965.3561796019,735331.3171964311,676504.8118207166,-58826.50537571451,58826.50537571451,8.000000000000004
2026-08-28,28,2026-08-01,True,SANTANDER,16845884.36,439088.18125,191323826.03,124360486.92,362.8469,373224.95,65863.23,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.26454375,477965.3561796019,735331.3171964311,676504.8118207166,-58826.50537571451,58826.50537571451,8.000000000000004
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10795957.86,439088.18125,191323826.03,124360486.92,362.8469,373224.95,65863.23,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.26454375,477965.3561796019,735331.3171964311,676504.8118207166,-58826.50537571451,58826.50537571451,8.000000000000004
2026-08-28,28,2026-08-01,True,TOLIMA,9062988.08,439088.18125,191323826.03,124360486.92,362.8469,373224.95,65863.23,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.26454375,477965.3561796019,735331.3171964311,676504.8118207166,-58826.50537571451,58826.50537571451,8.000000000000004
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25800441.41,314108.0525,162329742.89999998,105514332.88,363.5664,266991.84,47116.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3241575,342597.40157530794,527072.9255254501,484907.0914834142,-42165.834042035975,42165.834042035975,7.999999999999993
2026-08-29,29,2026-08-01,True,BOGOTA,35966249.43,314108.0525,162329742.89999998,105514332.88,363.5664,266991.84,47116.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3241575,342597.40157530794,527072.9255254501,484907.0914834142,-42165.834042035975,42165.834042035975,7.999999999999993
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28814661.21,314108.0525,162329742.89999998,105514332.88,363.5664,266991.84,47116.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3241575,342597.40157530794,527072.9255254501,484907.0914834142,-42165.834042035975,42165.834042035975,7.999999999999993
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22574756.07,314108.0525,162329742.89999998,105514332.88,363.5664,266991.84,47116.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3241575,342597.40157530794,527072.9255254501,484907.0914834142,-42165.834042035975,42165.834042035975,7.999999999999993
2026-08-29,29,2026-08-01,True,VALLE,18359635.8,314108.0525,162329742.89999998,105514332.88,363.5664,266991.84,47116.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3241575,342597.40157530794,527072.9255254501,484907.0914834142,-42165.834042035975,42165.834042035975,7.999999999999993
2026-08-29,29,2026-08-01,True,SANTANDER,14145247.84,314108.0525,162329742.89999998,105514332.88,363.5664,266991.84,47116.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3241575,342597.40157530794,527072.9255254501,484907.0914834142,-42165.834042035975,42165.834042035975,7.999999999999993
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9035879.17,314108.0525,162329742.89999998,105514332.88,363.5664,266991.84,47116.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3241575,342597.40157530794,527072.9255254501,484907.0914834142,-42165.834042035975,42165.834042035975,7.999999999999993
