Período (Mes),Tipo de Registro,Código Agente,Rol PUI,Código Mercado,Mercado Comercialización,Demanda Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Mercado Actual (VR) [kWh],Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Transitorio Unitario (CRPUI) [COP/kWh],Cargo Competitivo Fijo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Participación Agente CNIOR [%],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%]
2024-01-01,HISTORICO,IAEC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,12193125.0,10364156.25,1828968.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,25000000.0,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,IAEC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,12193125.0,10364156.25,1828968.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,35000000.0,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,IAEC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,12193125.0,10364156.25,1828968.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,28000000.0,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,IAEC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,12193125.0,10364156.25,1828968.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,22000000.0,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,IAEC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,12193125.0,10364156.25,1828968.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,9000000.0,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,IAEC,CNIOR,SANTANDER,ESSA - SANTANDER,12193125.0,10364156.25,1828968.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,14000000.0,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,IAEC,CNIOR,TOLIMA,ELET - TOLIMA,12193125.0,10364156.25,1828968.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,7500000.0,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,IAEC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,12193125.0,10364156.25,1828968.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,18000000.0,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,IAEC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,12274412.5,10433250.62,1841161.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,25250000.0,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,IAEC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,12274412.5,10433250.62,1841161.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,35350000.0,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,IAEC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,12274412.5,10433250.62,1841161.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,28280000.0,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,IAEC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,12274412.5,10433250.62,1841161.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,22220000.0,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,IAEC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,12274412.5,10433250.62,1841161.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,9090000.0,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,IAEC,CNIOR,SANTANDER,ESSA - SANTANDER,12274412.5,10433250.62,1841161.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,14140000.0,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,IAEC,CNIOR,TOLIMA,ELET - TOLIMA,12274412.5,10433250.62,1841161.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,7575000.0,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,IAEC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,12274412.5,10433250.62,1841161.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,18180000.0,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,10.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,IAEC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,12355700.0,10502345.0,1853355.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,25500000.0,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,10.0046,16.53,4935.38,25.42,23.39,-2.03,2.03,8.0
