Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,97545000.0,82913250.0,14631750.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,98195300.0,83466004.96,14729295.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,98845600.0,84018760.0,14826840.0,85.0,15.0,104.78,31290.290000000005,161.19000000000003,148.3,-12.89,12.89
2024-04-01,HISTORICO,99495900.0,84571515.04,14924385.039999995,85.0,15.0,104.57999999999998,30287.409999999996,160.89000000000001,148.02,-12.870000000000001,12.870000000000001
2024-05-01,HISTORICO,100146200.0,85124270.0,15021930.0,85.0,15.0,108.91000000000003,30345.66,167.56000000000003,154.11999999999998,-13.39,13.39
2024-06-01,HISTORICO,100796500.0,85677024.96,15119475.039999995,85.0,15.0,114.29999999999998,31788.619999999995,175.83999999999997,161.79,-14.08,14.08
2024-07-01,HISTORICO,101446800.0,86229780.0,15217020.0,85.0,15.0,115.63,33626.29,177.89,163.66000000000003,-14.23,14.23
2024-08-01,HISTORICO,102097100.0,86782535.04,15314565.039999995,85.0,15.0,111.63999999999999,34315.159999999996,171.75999999999996,158.01999999999998,-13.739999999999998,13.739999999999998
2024-09-01,HISTORICO,102747400.0,87335290.0,15412110.0,85.0,15.0,106.65,33575.36,164.06,150.93,-13.129999999999999,13.129999999999999
2024-10-01,HISTORICO,103397700.0,87888044.96,15509655.039999995,85.0,15.0,105.09,32439.090000000004,161.67000000000002,148.76,-12.930000000000001,12.930000000000001
2024-11-01,HISTORICO,104048000.0,88440800.0,15607200.0,85.0,15.0,108.19,32114.34,166.43,153.12,-13.32,13.32
2024-12-01,HISTORICO,104698300.0,88993555.04,15704745.039999995,85.0,15.0,113.54000000000002,33211.979999999996,174.69000000000003,160.72,-13.969999999999999,13.969999999999999
2025-01-01,HISTORICO,105348600.0,89546310.0,15802290.0,85.0,15.0,116.28,35113.009999999995,178.91,164.59999999999997,-14.32,14.32
