Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30063880.27,439453.78,191483128.76999998,124464033.7,362.8469,373535.71,65918.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.3613400000002,478363.32529884606,735943.5773857965,677068.0911949328,-58875.48619086365,58875.48619086365,7.99999999999999
2026-08-28,28,2026-08-01,True,BOGOTA,41819684.36,439453.78,191483128.76999998,124464033.7,362.8469,373535.71,65918.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.3613400000002,478363.32529884606,735943.5773857965,677068.0911949328,-58875.48619086365,58875.48619086365,7.99999999999999
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34063891.92,439453.78,191483128.76999998,124464033.7,362.8469,373535.71,65918.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.3613400000002,478363.32529884606,735943.5773857965,677068.0911949328,-58875.48619086365,58875.48619086365,7.99999999999999
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26512482.46,439453.78,191483128.76999998,124464033.7,362.8469,373535.71,65918.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.3613400000002,478363.32529884606,735943.5773857965,677068.0911949328,-58875.48619086365,58875.48619086365,7.99999999999999
2026-08-28,28,2026-08-01,True,VALLE,21990971.14,439453.78,191483128.76999998,124464033.7,362.8469,373535.71,65918.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.3613400000002,478363.32529884606,735943.5773857965,677068.0911949328,-58875.48619086365,58875.48619086365,7.99999999999999
2026-08-28,28,2026-08-01,True,SANTANDER,17035359.18,439453.78,191483128.76999998,124464033.7,362.8469,373535.71,65918.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.3613400000002,478363.32529884606,735943.5773857965,677068.0911949328,-58875.48619086365,58875.48619086365,7.99999999999999
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10947953.06,439453.78,191483128.76999998,124464033.7,362.8469,373535.71,65918.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.3613400000002,478363.32529884606,735943.5773857965,677068.0911949328,-58875.48619086365,58875.48619086365,7.99999999999999
2026-08-28,28,2026-08-01,True,TOLIMA,9048906.38,439453.78,191483128.76999998,124464033.7,362.8469,373535.71,65918.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.3613400000002,478363.32529884606,735943.5773857965,677068.0911949328,-58875.48619086365,58875.48619086365,7.99999999999999
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25817528.35,313632.74375,162084105.32999998,105354668.46,363.5664,266587.83,47044.91,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8982312500001,342078.98270193004,526275.3580254479,484173.32938341214,-42102.02864203579,42102.02864203579,7.999999999999992
2026-08-29,29,2026-08-01,True,BOGOTA,35508231.99,313632.74375,162084105.32999998,105354668.46,363.5664,266587.83,47044.91,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8982312500001,342078.98270193004,526275.3580254479,484173.32938341214,-42102.02864203579,42102.02864203579,7.999999999999992
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28378977.77,313632.74375,162084105.32999998,105354668.46,363.5664,266587.83,47044.91,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8982312500001,342078.98270193004,526275.3580254479,484173.32938341214,-42102.02864203579,42102.02864203579,7.999999999999992
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22695068.05,313632.74375,162084105.32999998,105354668.46,363.5664,266587.83,47044.91,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8982312500001,342078.98270193004,526275.3580254479,484173.32938341214,-42102.02864203579,42102.02864203579,7.999999999999992
2026-08-29,29,2026-08-01,True,VALLE,18310970.63,313632.74375,162084105.32999998,105354668.46,363.5664,266587.83,47044.91,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8982312500001,342078.98270193004,526275.3580254479,484173.32938341214,-42102.02864203579,42102.02864203579,7.999999999999992
2026-08-29,29,2026-08-01,True,SANTANDER,14282086.4,313632.74375,162084105.32999998,105354668.46,363.5664,266587.83,47044.91,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8982312500001,342078.98270193004,526275.3580254479,484173.32938341214,-42102.02864203579,42102.02864203579,7.999999999999992
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9285513.01,313632.74375,162084105.32999998,105354668.46,363.5664,266587.83,47044.91,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8982312500001,342078.98270193004,526275.3580254479,484173.32938341214,-42102.02864203579,42102.02864203579,7.999999999999992
2026-08-29,29,2026-08-01,True,TOLIMA,7805729.13,313632.74375,162084105.32999998,105354668.46,363.5664,266587.83,47044.91,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8982312500001,342078.98270193004,526275.3580254479,484173.32938341214,-42102.02864203579,42102.02864203579,7.999999999999992
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25913754.51,313620.2025,162077624.0,105350455.6,364.2743,266577.17,47043.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8606075,342731.33919463726,527278.983376365,485096.66470625583,-42182.318670109205,42182.318670109205,8.0
2026-08-30,30,2026-08-01,True,BOGOTA,35942072.74,313620.2025,162077624.0,105350455.6,364.2743,266577.17,47043.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8606075,342731.33919463726,527278.983376365,485096.66470625583,-42182.318670109205,42182.318670109205,8.0
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28431372.51,313620.2025,162077624.0,105350455.6,364.2743,266577.17,47043.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8606075,342731.33919463726,527278.983376365,485096.66470625583,-42182.318670109205,42182.318670109205,8.0
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22525623.08,313620.2025,162077624.0,105350455.6,364.2743,266577.17,47043.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8606075,342731.33919463726,527278.983376365,485096.66470625583,-42182.318670109205,42182.318670109205,8.0
2026-08-30,30,2026-08-01,True,VALLE,18188960.84,313620.2025,162077624.0,105350455.6,364.2743,266577.17,47043.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8606075,342731.33919463726,527278.983376365,485096.66470625583,-42182.318670109205,42182.318670109205,8.0
2026-08-30,30,2026-08-01,True,SANTANDER,14234106.41,313620.2025,162077624.0,105350455.6,364.2743,266577.17,47043.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8606075,342731.33919463726,527278.983376365,485096.66470625583,-42182.318670109205,42182.318670109205,8.0
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9234397.61,313620.2025,162077624.0,105350455.6,364.2743,266577.17,47043.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8606075,342731.33919463726,527278.983376365,485096.66470625583,-42182.318670109205,42182.318670109205,8.0
2026-08-30,30,2026-08-01,True,TOLIMA,7607336.3,313620.2025,162077624.0,105350455.6,364.2743,266577.17,47043.03,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.8606075,342731.33919463726,527278.983376365,485096.66470625583,-42182.318670109205,42182.318670109205,8.0
2026-08-31,31,2026-08-01,True,ANTIOQUIA,30205528.79,442023.55125,192602854.57,125191855.47,364.9592,375720.02,66303.53,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.07065375,483961.68493607704,744556.4383661691,684991.9232968756,-59564.51506929356,59564.51506929356,8.000000000000004
2026-08-31,31,2026-08-01,True,BOGOTA,42701390.22,442023.55125,192602854.57,125191855.47,364.9592,375720.02,66303.53,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.07065375,483961.68493607704,744556.4383661691,684991.9232968756,-59564.51506929356,59564.51506929356,8.000000000000004
2026-08-31,31,2026-08-01,True,CARIBE_MAR,33904599.39,442023.55125,192602854.57,125191855.47,364.9592,375720.02,66303.53,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.07065375,483961.68493607704,744556.4383661691,684991.9232968756,-59564.51506929356,59564.51506929356,8.000000000000004
2026-08-31,31,2026-08-01,True,CARIBE_SOL,26989041.11,442023.55125,192602854.57,125191855.47,364.9592,375720.02,66303.53,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.07065375,483961.68493607704,744556.4383661691,684991.9232968756,-59564.51506929356,59564.51506929356,8.000000000000004
2026-08-31,31,2026-08-01,True,VALLE,21686060.34,442023.55125,192602854.57,125191855.47,364.9592,375720.02,66303.53,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.07065375,483961.68493607704,744556.4383661691,684991.9232968756,-59564.51506929356,59564.51506929356,8.000000000000004
