Período (Mes),Tipo de Registro,Código Agente,Rol PUI,Código Mercado,Mercado Comercialización,Demanda Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Mercado Actual (VR) [kWh],Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Transitorio Unitario (CRPUI) [COP/kWh],Cargo Competitivo Fijo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Participación Agente CNIOR [%],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%]
2024-01-01,HISTORICO,ITLC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,25134375.0,21364218.75,3770156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,25000000.0,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,ITLC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,25134375.0,21364218.75,3770156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,35000000.0,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,ITLC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,25134375.0,21364218.75,3770156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,28000000.0,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,ITLC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,25134375.0,21364218.75,3770156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,22000000.0,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,ITLC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,25134375.0,21364218.75,3770156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,9000000.0,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,ITLC,CNIOR,SANTANDER,ESSA - SANTANDER,25134375.0,21364218.75,3770156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,14000000.0,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,ITLC,CNIOR,TOLIMA,ELET - TOLIMA,25134375.0,21364218.75,3770156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,7500000.0,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,ITLC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,25134375.0,21364218.75,3770156.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,18000000.0,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,ITLC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,25301937.5,21506646.88,3795290.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,25250000.0,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,ITLC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,25301937.5,21506646.88,3795290.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,35350000.0,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,ITLC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,25301937.5,21506646.88,3795290.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,28280000.0,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,ITLC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,25301937.5,21506646.88,3795290.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,22220000.0,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,ITLC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,25301937.5,21506646.88,3795290.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,9090000.0,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,ITLC,CNIOR,SANTANDER,ESSA - SANTANDER,25301937.5,21506646.88,3795290.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,14140000.0,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,ITLC,CNIOR,TOLIMA,ELET - TOLIMA,25301937.5,21506646.88,3795290.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,7575000.0,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,ITLC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,25301937.5,21506646.88,3795290.63,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,18180000.0,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,20.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,ITLC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,25469500.0,21649075.0,3820425.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,25500000.0,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,20.6231,34.07,10173.58,52.41,48.22,-4.19,4.19,8.0
2024-03-01,HISTORICO,ITLC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,25469500.0,21649075.0,3820425.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,35700000.0,35350000.0,3535000.0,295.1221,35000000.0,3570000.0,1.017e-05,0.0,355.78,355.78,327.32,20.6231,47.69,14243.01,73.37,67.5,-5.87,5.87,8.0
2024-03-01,HISTORICO,ITLC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,25469500.0,21649075.0,3820425.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,28560000.0,28280000.0,2828000.0,295.1221,28000000.0,2856000.0,1.017e-05,0.0,284.63,284.63,261.86,20.6231,38.15,11394.4,58.7,54.0,-4.7,4.7,8.0
2024-03-01,HISTORICO,ITLC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,25469500.0,21649075.0,3820425.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,22440000.0,22220000.0,2222000.0,295.1221,22000000.0,2244000.0,1.017e-05,0.0,223.64,223.64,205.75,20.6231,29.98,8952.75,46.12,42.43,-3.69,3.69,8.0
2024-03-01,HISTORICO,ITLC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,25469500.0,21649075.0,3820425.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,9180000.0,9090000.0,909000.0,295.1221,9000000.0,918000.0,1.017e-05,0.0,91.49,91.49,84.17,20.6231,12.26,3662.49,18.87,17.36,-1.51,1.51,8.0
2024-03-01,HISTORICO,ITLC,CNIOR,SANTANDER,ESSA - SANTANDER,25469500.0,21649075.0,3820425.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,14280000.0,14140000.0,1414000.0,295.1221,14000000.0,1428000.0,1.017e-05,0.0,142.31,142.31,130.93,20.6231,19.08,5697.2,29.35,27.0,-2.35,2.35,8.0
2024-03-01,HISTORICO,ITLC,CNIOR,TOLIMA,ELET - TOLIMA,25469500.0,21649075.0,3820425.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,7650000.0,7575000.0,757500.0,295.1221,7500000.0,765000.0,1.017e-05,0.0,76.24,76.24,70.14,20.6231,10.22,3052.07,15.72,14.47,-1.26,1.26,8.0
2024-03-01,HISTORICO,ITLC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,25469500.0,21649075.0,3820425.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,18360000.0,18180000.0,1818000.0,295.1221,18000000.0,1836000.0,1.017e-05,0.0,182.98,182.98,168.34,20.6231,24.53,7324.97,37.74,34.72,-3.02,3.02,8.0
2024-04-01,HISTORICO,ITLC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,25637062.5,21791503.12,3845559.38,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,25750000.0,25500000.0,2550000.0,298.6395,25250000.0,2575000.0,1.005e-05,0.0,253.65,253.65,233.36,20.6231,34.0,9847.5,52.31,48.13,-4.18,4.18,8.0
