Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,201075000.0,170913750.0,30161250.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,202415500.0,172053175.04,30362325.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,203756000.0,173192600.0,30563400.0,85.0,15.0,215.97999999999996,64500.469999999994,332.2800000000001,305.70000000000005,-26.590000000000007,26.590000000000007
2024-04-01,HISTORICO,205096500.0,174332024.96,30764475.039999995,85.0,15.0,215.55999999999997,62433.149999999994,331.63,305.12999999999994,-26.53,26.53
2024-05-01,HISTORICO,206437000.0,175471450.0,30965550.0,85.0,15.0,224.49,62553.229999999996,345.36,317.72999999999996,-27.630000000000003,27.630000000000003
2024-06-01,HISTORICO,207777500.0,176610875.04,31166625.039999995,85.0,15.0,235.60999999999999,65527.67,362.46999999999997,333.48999999999995,-28.99,28.99
2024-07-01,HISTORICO,209118000.0,177750300.0,31367700.0,85.0,15.0,238.35000000000002,69315.78,366.69,337.36999999999995,-29.340000000000003,29.340000000000003
2024-08-01,HISTORICO,210458500.0,178889724.96,31568775.039999995,85.0,15.0,230.14999999999998,70735.76,354.05999999999995,325.73,-28.319999999999997,28.319999999999997
2024-09-01,HISTORICO,211799000.0,180029150.0,31769850.0,85.0,15.0,219.81,69210.76,338.17999999999995,311.15000000000003,-27.060000000000002,27.060000000000002
2024-10-01,HISTORICO,213139500.0,181168575.04,31970925.039999995,85.0,15.0,216.63,66868.51,333.27,306.60999999999996,-26.660000000000004,26.660000000000004
2024-11-01,HISTORICO,214480000.0,182308000.0,32172000.0,85.0,15.0,223.01999999999998,66199.11,343.09000000000003,315.65000000000003,-27.450000000000003,27.450000000000003
2024-12-01,HISTORICO,215820500.0,183447424.96,32373075.039999995,85.0,15.0,234.06,68461.72,360.09000000000003,331.27000000000004,-28.8,28.8
2025-01-01,HISTORICO,217161000.0,184586850.0,32574150.0,85.0,15.0,239.70000000000005,72380.42,368.78000000000003,339.2800000000001,-29.509999999999998,29.509999999999998
2025-02-01,HISTORICO,218501500.0,185726275.04,32775225.039999995,85.0,15.0,234.32,74700.75,360.48999999999995,331.63,-28.84,28.84
2025-03-01,HISTORICO,219842000.0,186865700.0,32976300.0,85.0,15.0,223.94000000000003,73865.58,344.5,316.95000000000005,-27.56,27.56
2025-04-01,HISTORICO,221182500.0,188005124.96,33177375.039999995,85.0,15.0,218.36,71458.31,335.94,309.07000000000005,-26.87,26.87
2025-05-01,HISTORICO,222523000.0,189144550.0,33378450.0,85.0,15.0,222.04999999999998,70094.83,341.6,314.28000000000003,-27.310000000000002,27.310000000000002
2025-06-01,HISTORICO,223863500.0,190283975.04,33579525.04,85.0,15.0,232.19,71536.58000000002,357.2199999999999,328.65,-28.580000000000002,28.580000000000002
2025-07-01,HISTORICO,225204000.0,191423400.0,33780600.0,85.0,15.0,240.01999999999998,75296.79999999999,369.2300000000001,339.68999999999994,-29.54,29.54
2025-08-01,HISTORICO,226544500.0,192562824.96,33981675.04,85.0,15.0,237.70000000000002,78383.09,365.69000000000005,336.45,-29.24,29.24
2025-09-01,HISTORICO,227885000.0,193702250.0,34182750.0,85.0,15.0,228.08999999999997,78395.12999999999,350.9200000000001,322.8399999999999,-28.080000000000002,28.080000000000002
2025-10-01,HISTORICO,229225500.0,194841675.04,34383825.04,85.0,15.0,220.68,76150.69,339.53999999999996,312.37,-27.159999999999997,27.159999999999997
