Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30806917.04,441111.27625,192205349.11,124933476.92,362.8469,374944.58,66166.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.33382875,480167.57742706843,738719.349896667,679621.8019049336,-59097.5479917333,59097.5479917333,7.999999999999992
2026-08-28,28,2026-08-01,True,BOGOTA,42236196.56,441111.27625,192205349.11,124933476.92,362.8469,374944.58,66166.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.33382875,480167.57742706843,738719.349896667,679621.8019049336,-59097.5479917333,59097.5479917333,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33933476.18,441111.27625,192205349.11,124933476.92,362.8469,374944.58,66166.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.33382875,480167.57742706843,738719.349896667,679621.8019049336,-59097.5479917333,59097.5479917333,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26631030.93,441111.27625,192205349.11,124933476.92,362.8469,374944.58,66166.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.33382875,480167.57742706843,738719.349896667,679621.8019049336,-59097.5479917333,59097.5479917333,7.999999999999992
2026-08-28,28,2026-08-01,True,VALLE,21976577.94,441111.27625,192205349.11,124933476.92,362.8469,374944.58,66166.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.33382875,480167.57742706843,738719.349896667,679621.8019049336,-59097.5479917333,59097.5479917333,7.999999999999992
2026-08-28,28,2026-08-01,True,SANTANDER,16797055.74,441111.27625,192205349.11,124933476.92,362.8469,374944.58,66166.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.33382875,480167.57742706843,738719.349896667,679621.8019049336,-59097.5479917333,59097.5479917333,7.999999999999992
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10884637.0,441111.27625,192205349.11,124933476.92,362.8469,374944.58,66166.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.33382875,480167.57742706843,738719.349896667,679621.8019049336,-59097.5479917333,59097.5479917333,7.999999999999992
2026-08-28,28,2026-08-01,True,TOLIMA,8939457.72,441111.27625,192205349.11,124933476.92,362.8469,374944.58,66166.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.33382875,480167.57742706843,738719.349896667,679621.8019049336,-59097.5479917333,59097.5479917333,7.999999999999992
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25324170.71,312232.3025,161360363.15,104884236.05,363.5664,265397.46,46834.85,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.6969075,340551.522550908,523925.4192966011,482011.38575287303,-41914.03354372806,41914.03354372806,7.999999999999995
2026-08-29,29,2026-08-01,True,BOGOTA,35575563.07,312232.3025,161360363.15,104884236.05,363.5664,265397.46,46834.85,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.6969075,340551.522550908,523925.4192966011,482011.38575287303,-41914.03354372806,41914.03354372806,7.999999999999995
