Período (Mes),Tipo de Registro,Código Agente,Rol PUI,Código Mercado,Mercado Comercialización,Demanda Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Mercado Actual (VR) [kWh],Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Transitorio Unitario (CRPUI) [COP/kWh],Cargo Competitivo Fijo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Participación Agente CNIOR [%],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%]
2024-01-01,HISTORICO,JRDC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,14830312.5,12605765.62,2224546.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,25000000.0,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,JRDC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,14830312.5,12605765.62,2224546.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,35000000.0,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,JRDC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,14830312.5,12605765.62,2224546.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,28000000.0,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,JRDC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,14830312.5,12605765.62,2224546.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,22000000.0,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,JRDC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,14830312.5,12605765.62,2224546.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,9000000.0,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,JRDC,CNIOR,SANTANDER,ESSA - SANTANDER,14830312.5,12605765.62,2224546.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,14000000.0,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,JRDC,CNIOR,TOLIMA,ELET - TOLIMA,14830312.5,12605765.62,2224546.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,7500000.0,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,JRDC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,14830312.5,12605765.62,2224546.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,18000000.0,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,JRDC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,14929181.25,12689804.06,2239377.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,25250000.0,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,JRDC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,14929181.25,12689804.06,2239377.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,35350000.0,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,JRDC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,14929181.25,12689804.06,2239377.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,28280000.0,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,JRDC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,14929181.25,12689804.06,2239377.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,22220000.0,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,JRDC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,14929181.25,12689804.06,2239377.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,9090000.0,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,JRDC,CNIOR,SANTANDER,ESSA - SANTANDER,14929181.25,12689804.06,2239377.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,14140000.0,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,JRDC,CNIOR,TOLIMA,ELET - TOLIMA,14929181.25,12689804.06,2239377.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,7575000.0,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,JRDC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,14929181.25,12689804.06,2239377.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,18180000.0,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,12.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,JRDC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,15028050.0,12773842.5,2254207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,25500000.0,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,12.1685,20.1,6002.83,30.92,28.45,-2.47,2.47,8.0
2024-03-01,HISTORICO,JRDC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,15028050.0,12773842.5,2254207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,35700000.0,35350000.0,3535000.0,295.1221,35000000.0,3570000.0,1.017e-05,0.0,355.78,355.78,327.32,12.1685,28.14,8403.96,43.29,39.83,-3.46,3.46,8.0
2024-03-01,HISTORICO,JRDC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,15028050.0,12773842.5,2254207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,28560000.0,28280000.0,2828000.0,295.1221,28000000.0,2856000.0,1.017e-05,0.0,284.63,284.63,261.86,12.1685,22.51,6723.17,34.63,31.86,-2.77,2.77,8.0
2024-03-01,HISTORICO,JRDC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,15028050.0,12773842.5,2254207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,22440000.0,22220000.0,2222000.0,295.1221,22000000.0,2244000.0,1.017e-05,0.0,223.64,223.64,205.75,12.1685,17.69,5282.49,27.21,25.04,-2.18,2.18,8.0
2024-03-01,HISTORICO,JRDC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,15028050.0,12773842.5,2254207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,9180000.0,9090000.0,909000.0,295.1221,9000000.0,918000.0,1.017e-05,0.0,91.49,91.49,84.17,12.1685,7.24,2161.02,11.13,10.24,-0.89,0.89,8.0
2024-03-01,HISTORICO,JRDC,CNIOR,SANTANDER,ESSA - SANTANDER,15028050.0,12773842.5,2254207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,14280000.0,14140000.0,1414000.0,295.1221,14000000.0,1428000.0,1.017e-05,0.0,142.31,142.31,130.93,12.1685,11.26,3361.58,17.32,15.93,-1.39,1.39,8.0
2024-03-01,HISTORICO,JRDC,CNIOR,TOLIMA,ELET - TOLIMA,15028050.0,12773842.5,2254207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,7650000.0,7575000.0,757500.0,295.1221,7500000.0,765000.0,1.017e-05,0.0,76.24,76.24,70.14,12.1685,6.03,1800.85,9.28,8.54,-0.74,0.74,8.0
2024-03-01,HISTORICO,JRDC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,15028050.0,12773842.5,2254207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,18360000.0,18180000.0,1818000.0,295.1221,18000000.0,1836000.0,1.017e-05,0.0,182.98,182.98,168.34,12.1685,14.47,4322.04,22.27,20.48,-1.78,1.78,8.0
2024-04-01,HISTORICO,JRDC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,15126918.75,12857880.94,2269037.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,25750000.0,25500000.0,2550000.0,298.6395,25250000.0,2575000.0,1.005e-05,0.0,253.65,253.65,233.36,12.1685,20.06,5810.43,30.87,28.4,-2.47,2.47,8.0
2024-04-01,HISTORICO,JRDC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,15126918.75,12857880.94,2269037.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,36050000.0,35700000.0,3570000.0,298.6395,35350000.0,3605000.0,1.005e-05,0.0,355.11,355.11,326.7,12.1685,28.09,8134.6,43.21,39.75,-3.46,3.46,8.0
2024-04-01,HISTORICO,JRDC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,15126918.75,12857880.94,2269037.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,28840000.0,28560000.0,2856000.0,298.6395,28280000.0,2884000.0,1.005e-05,0.0,284.09,284.09,261.36,12.1685,22.47,6507.68,34.57,31.8,-2.77,2.77,8.0
2024-04-01,HISTORICO,JRDC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,15126918.75,12857880.94,2269037.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,22660000.0,22440000.0,2244000.0,298.6395,22220000.0,2266000.0,1.005e-05,0.0,223.21,223.21,205.36,12.1685,17.65,5113.18,27.16,24.99,-2.17,2.17,8.0
2024-04-01,HISTORICO,JRDC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,15126918.75,12857880.94,2269037.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,9270000.0,9180000.0,918000.0,298.6395,9090000.0,927000.0,1.005e-05,0.0,91.31,91.31,84.01,12.1685,7.22,2091.75,11.11,10.22,-0.89,0.89,8.0
2024-04-01,HISTORICO,JRDC,CNIOR,SANTANDER,ESSA - SANTANDER,15126918.75,12857880.94,2269037.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,14420000.0,14280000.0,1428000.0,298.6395,14140000.0,1442000.0,1.005e-05,0.0,142.04,142.04,130.68,12.1685,11.23,3253.84,17.28,15.9,-1.38,1.38,8.0
2024-04-01,HISTORICO,JRDC,CNIOR,TOLIMA,ELET - TOLIMA,15126918.75,12857880.94,2269037.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,7725000.0,7650000.0,765000.0,298.6395,7575000.0,772500.0,1.005e-05,0.0,76.1,76.1,70.01,12.1685,6.02,1743.13,9.26,8.52,-0.74,0.74,8.0
2024-04-01,HISTORICO,JRDC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,15126918.75,12857880.94,2269037.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,18540000.0,18360000.0,1836000.0,298.6395,18180000.0,1854000.0,1.005e-05,0.0,182.63,182.63,168.02,12.1685,14.44,4183.51,22.22,20.45,-1.78,1.78,8.0
2024-05-01,HISTORICO,JRDC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,15225787.5,12941919.38,2283868.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,26000000.0,25750000.0,2575000.0,289.6168,25500000.0,2600000.0,1.036e-05,0.0,264.14,264.14,243.01,12.1685,20.89,5821.6,32.14,29.57,-2.57,2.57,8.0
2024-05-01,HISTORICO,JRDC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,15225787.5,12941919.38,2283868.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,36400000.0,36050000.0,3605000.0,289.6168,35700000.0,3640000.0,1.036e-05,0.0,369.8,369.8,340.22,12.1685,29.25,8150.25,45.0,41.4,-3.6,3.6,8.0
2024-05-01,HISTORICO,JRDC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,15225787.5,12941919.38,2283868.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,29120000.0,28840000.0,2884000.0,289.6168,28560000.0,2912000.0,1.036e-05,0.0,295.84,295.84,272.17,12.1685,23.4,6520.2,36.0,33.12,-2.88,2.88,8.0
2024-05-01,HISTORICO,JRDC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,15225787.5,12941919.38,2283868.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,22880000.0,22660000.0,2266000.0,289.6168,22440000.0,2288000.0,1.036e-05,0.0,232.45,232.45,213.85,12.1685,18.39,5123.01,28.28,26.02,-2.26,2.26,8.0
2024-05-01,HISTORICO,JRDC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,15225787.5,12941919.38,2283868.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,9360000.0,9270000.0,927000.0,289.6168,9180000.0,936000.0,1.036e-05,0.0,95.09,95.09,87.48,12.1685,7.52,2095.78,11.57,10.65,-0.93,0.93,8.0
2024-05-01,HISTORICO,JRDC,CNIOR,SANTANDER,ESSA - SANTANDER,15225787.5,12941919.38,2283868.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,14560000.0,14420000.0,1442000.0,289.6168,14280000.0,1456000.0,1.036e-05,0.0,147.92,147.92,136.09,12.1685,11.7,3260.1,18.0,16.56,-1.44,1.44,8.0
2024-05-01,HISTORICO,JRDC,CNIOR,TOLIMA,ELET - TOLIMA,15225787.5,12941919.38,2283868.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,7800000.0,7725000.0,772500.0,289.6168,7650000.0,780000.0,1.036e-05,0.0,79.24,79.24,72.9,12.1685,6.27,1746.48,9.64,8.87,-0.77,0.77,8.0
2024-05-01,HISTORICO,JRDC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,15225787.5,12941919.38,2283868.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,18720000.0,18540000.0,1854000.0,289.6168,18360000.0,1872000.0,1.036e-05,0.0,190.18,190.18,174.97,12.1685,15.04,4191.55,23.14,21.29,-1.85,1.85,8.0
2024-06-01,HISTORICO,JRDC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,15324656.25,13025957.81,2298698.44,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,26250000.0,26000000.0,2600000.0,278.648,25750000.0,2625000.0,1.077e-05,0.0,277.23,277.23,255.05,12.1685,21.93,6098.43,33.73,31.04,-2.7,2.7,8.0
2024-06-01,HISTORICO,JRDC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,15324656.25,13025957.81,2298698.44,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,36750000.0,36400000.0,3640000.0,278.648,36050000.0,3675000.0,1.077e-05,0.0,388.12,388.12,357.07,12.1685,30.7,8537.8,47.23,43.45,-3.78,3.78,8.0
2024-06-01,HISTORICO,JRDC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,15324656.25,13025957.81,2298698.44,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,29400000.0,29120000.0,2912000.0,278.648,28840000.0,2940000.0,1.077e-05,0.0,310.5,310.5,285.66,12.1685,24.56,6830.24,37.78,34.76,-3.02,3.02,8.0
2024-06-01,HISTORICO,JRDC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,15324656.25,13025957.81,2298698.44,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,23100000.0,22880000.0,2288000.0,278.648,22660000.0,2310000.0,1.077e-05,0.0,243.96,243.96,224.45,12.1685,19.3,5366.61,29.69,27.31,-2.37,2.37,8.0
