Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,118642500.0,100846124.96000001,17796375.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,119433450.0,101518432.48,17915017.52,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,120224400.0,102190740.0,18033660.0,85.0,15.0,127.44,38057.939999999995,196.05,180.37,-15.68,15.68
2024-04-01,HISTORICO,121015350.0,102863047.52,18152302.48,85.0,15.0,127.18,36838.12,195.68,180.03,-15.66,15.66
2024-05-01,HISTORICO,121806300.0,103535355.03999999,18270945.039999995,85.0,15.0,132.45999999999998,36908.969999999994,203.76999999999998,187.48000000000002,-16.3,16.3
2024-06-01,HISTORICO,122597250.0,104207662.48,18389587.52,85.0,15.0,139.03,38664.030000000006,213.86999999999998,196.76999999999998,-17.1,17.1
2024-07-01,HISTORICO,123388200.0,104879970.0,18508230.0,85.0,15.0,140.63,40899.15,216.37,199.06,-17.31,17.31
2024-08-01,HISTORICO,124179150.0,105552277.52,18626872.48,85.0,15.0,135.79999999999998,41737.00000000001,208.92,192.2,-16.72,16.72
2024-09-01,HISTORICO,124970100.0,106224584.96000001,18745515.039999995,85.0,15.0,129.71,40837.19,199.54,183.59,-15.98,15.98
2024-10-01,HISTORICO,125761050.0,106896892.48,18864157.52,85.0,15.0,127.82,39455.17,196.64,180.92000000000002,-15.720000000000002,15.720000000000002
2024-11-01,HISTORICO,126552000.0,107569200.0,18982800.0,85.0,15.0,131.59,39060.18,202.44,186.25,-16.2,16.2
2024-12-01,HISTORICO,127342950.0,108241507.52,19101442.48,85.0,15.0,138.10000000000002,40395.24,212.46000000000004,195.47,-16.990000000000002,16.990000000000002
2025-01-01,HISTORICO,128133900.0,108913815.03999999,19220085.039999995,85.0,15.0,141.42999999999998,42707.42,217.60000000000002,200.19,-17.42,17.42
2025-02-01,HISTORICO,128924850.0,109586122.48,19338727.52,85.0,15.0,138.25,44076.51,212.71,195.68,-17.02,17.02
2025-03-01,HISTORICO,129715800.0,110258430.0,19457370.0,85.0,15.0,132.13,43583.73,203.26,187.03000000000003,-16.259999999999998,16.259999999999998
2025-04-01,HISTORICO,130506750.0,110930737.52,19576012.48,85.0,15.0,128.83999999999997,42163.32000000001,198.21999999999997,182.35,-15.850000000000001,15.850000000000001
2025-05-01,HISTORICO,131297700.0,111603044.96000001,19694655.039999995,85.0,15.0,131.0,41358.82000000001,201.57,185.44000000000003,-16.119999999999997,16.119999999999997
2025-06-01,HISTORICO,132088650.0,112275352.48,19813297.52,85.0,15.0,137.0,42209.51,210.79999999999998,193.92999999999998,-16.86,16.86
2025-07-01,HISTORICO,132879600.0,112947660.0,19931940.0,85.0,15.0,141.62,44428.19,217.86000000000004,200.41999999999996,-17.43,17.43
2025-08-01,HISTORICO,133670550.0,113619967.52,20050582.48,85.0,15.0,140.26,46249.24,215.77,198.50000000000003,-17.26,17.26
2025-09-01,HISTORICO,134461500.0,114292275.03999999,20169225.039999995,85.0,15.0,134.59,46256.350000000006,207.05999999999997,190.48999999999995,-16.56,16.56
2025-10-01,HISTORICO,135252450.0,114964582.48,20287867.52,85.0,15.0,130.2,44932.030000000006,200.34999999999997,184.31000000000003,-16.03,16.03
2025-11-01,HISTORICO,136043400.0,115636890.0,20406510.0,85.0,15.0,130.79000000000002,43799.75,201.22000000000003,185.11999999999998,-16.08,16.08
2025-12-01,HISTORICO,136834350.0,116309197.52,20525152.48,85.0,15.0,135.89000000000001,44140.5,209.07000000000005,192.33999999999997,-16.72,16.72
2026-01-01,HISTORICO,137625300.0,116981504.96000001,20643795.039999995,85.0,15.0,141.26,46111.18,217.33,199.94,-17.38,17.38
2026-02-01,HISTORICO,138416250.0,117653812.48,20762437.52,85.0,15.0,141.72,48257.939999999995,218.03999999999996,200.59000000000003,-17.439999999999998,17.439999999999998
2026-03-01,HISTORICO,139207200.0,118326120.0,20881080.0,85.0,15.0,136.95000000000002,48816.87,210.70000000000002,193.84999999999997,-16.86,16.86
2026-04-01,HISTORICO,139998150.0,118998427.52,20999722.48,85.0,15.0,131.89,47725.25,202.90999999999997,186.67,-16.220000000000002,16.220000000000002
2026-05-01,HISTORICO,140789100.0,119670735.03999999,21118365.039999995,85.0,15.0,130.98,46369.04,201.48000000000002,185.37000000000003,-16.119999999999997,16.119999999999997
2026-06-01,HISTORICO,141580050.0,120343042.48,21237007.52,85.0,15.0,134.9,46210.46,207.53999999999996,190.94,-16.61,16.61
2026-07-01,HISTORICO,142371000.0,121015350.0,21355650.0,85.0,15.0,140.54000000000002,47807.84999999999,216.21,198.9,-17.3,17.3
2026-08-01,HISTORICO,155201814.4,131921542.24000001,23280272.160000004,85.0,15.0,36262.229999999996,13194411.97,20222203.5,18604427.22,-1617776.28,1617776.28
2026-09-01,HISTORICO,241910537.44000003,205623956.79999998,36286580.63999999,85.0,15.0,294012.0,107714679.37000002,165636283.48000002,152385380.75,-13250902.629999999,13250902.629999999
2026-10-01,HISTORICO,246110213.11999995,209193681.12000003,36916532.0,85.0,15.0,304232.9,112923167.13000001,173650458.14,159758421.51,-13892036.629999997,13892036.629999997
2026-11-01,HISTORICO,244257322.16000003,207618723.84,36638598.32,85.0,15.0,296299.1,110600641.96000002,170079582.63999996,156473216.05999997,-13606366.590000002,13606366.590000002
2026-12-01,HISTORICO,250514959.03999996,212937715.20000002,37577243.839999996,85.0,15.0,312701.73999999993,118616241.45000002,182412223.55,167819245.68,-14592977.87,14592977.87
2027-01-01,HISTORICO,250172245.35999995,212646408.63999996,37525836.879999995,85.0,15.0,309306.20999999996,119211702.33,183326578.41000003,168660452.10999998,-14666126.290000001,14666126.290000001
2027-02-01,HISTORICO,242960480.88000005,206516408.72,36444072.160000004,85.0,15.0,285301.45999999996,110429554.52000003,169812030.99999997,156227068.53,-13584962.48,13584962.48
