Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30350051.44,439500.36,191503424.82000002,124477226.13,362.8469,373575.31,65925.05,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.50108,478414.029524652,736021.5839018188,677139.8571896733,-58881.72671214549,58881.72671214549,7.999999999999999
2026-08-28,28,2026-08-01,True,BOGOTA,41849100.99,439500.36,191503424.82000002,124477226.13,362.8469,373575.31,65925.05,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.50108,478414.029524652,736021.5839018188,677139.8571896733,-58881.72671214549,58881.72671214549,7.999999999999999
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33597410.83,439500.36,191503424.82000002,124477226.13,362.8469,373575.31,65925.05,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.50108,478414.029524652,736021.5839018188,677139.8571896733,-58881.72671214549,58881.72671214549,7.999999999999999
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26623208.56,439500.36,191503424.82000002,124477226.13,362.8469,373575.31,65925.05,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.50108,478414.029524652,736021.5839018188,677139.8571896733,-58881.72671214549,58881.72671214549,7.999999999999999
2026-08-28,28,2026-08-01,True,VALLE,21767843.94,439500.36,191503424.82000002,124477226.13,362.8469,373575.31,65925.05,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.50108,478414.029524652,736021.5839018188,677139.8571896733,-58881.72671214549,58881.72671214549,7.999999999999999
2026-08-28,28,2026-08-01,True,SANTANDER,17155228.06,439500.36,191503424.82000002,124477226.13,362.8469,373575.31,65925.05,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.50108,478414.029524652,736021.5839018188,677139.8571896733,-58881.72671214549,58881.72671214549,7.999999999999999
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10967820.88,439500.36,191503424.82000002,124477226.13,362.8469,373575.31,65925.05,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.50108,478414.029524652,736021.5839018188,677139.8571896733,-58881.72671214549,58881.72671214549,7.999999999999999
2026-08-28,28,2026-08-01,True,TOLIMA,9192760.12,439500.36,191503424.82000002,124477226.13,362.8469,373575.31,65925.05,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.50108,478414.029524652,736021.5839018188,677139.8571896733,-58881.72671214549,58881.72671214549,7.999999999999999
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25546462.4,313332.35125,161928863.88,105253761.52,363.5664,266332.5,46999.85,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.9970537500001,341751.344842494,525771.2997676736,483709.59578625974,-42061.703981413855,42061.703981413855,7.999999999999993
2026-08-29,29,2026-08-01,True,BOGOTA,36159523.82,313332.35125,161928863.88,105253761.52,363.5664,266332.5,46999.85,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.9970537500001,341751.344842494,525771.2997676736,483709.59578625974,-42061.703981413855,42061.703981413855,7.999999999999993
