Período (Mes),Tipo de Registro,Código Agente,Rol PUI,Código Mercado,Mercado Comercialización,Demanda Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Mercado Actual (VR) [kWh],Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Transitorio Unitario (CRPUI) [COP/kWh],Cargo Competitivo Fijo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Participación Agente CNIOR [%],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%]
2024-01-01,HISTORICO,LESC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,25000000.0,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,LESC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,35000000.0,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,LESC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,28000000.0,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,LESC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,22000000.0,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,LESC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,9000000.0,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,LESC,CNIOR,SANTANDER,ESSA - SANTANDER,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,14000000.0,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,LESC,CNIOR,TOLIMA,ELET - TOLIMA,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,7500000.0,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,LESC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,18000000.0,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,LESC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,25250000.0,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,LESC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,35350000.0,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,LESC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,28280000.0,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,LESC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,22220000.0,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,LESC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,9090000.0,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,LESC,CNIOR,SANTANDER,ESSA - SANTANDER,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,14140000.0,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,LESC,CNIOR,TOLIMA,ELET - TOLIMA,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,7575000.0,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,LESC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,18180000.0,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,2.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,LESC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2740750.0,2329637.5,411112.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,25500000.0,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,2.2192,3.67,1094.77,5.64,5.19,-0.45,0.45,8.0
2024-03-01,HISTORICO,LESC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2740750.0,2329637.5,411112.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,35700000.0,35350000.0,3535000.0,295.1221,35000000.0,3570000.0,1.017e-05,0.0,355.78,355.78,327.32,2.2192,5.13,1532.68,7.9,7.26,-0.63,0.63,8.0
2024-03-01,HISTORICO,LESC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2740750.0,2329637.5,411112.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,28560000.0,28280000.0,2828000.0,295.1221,28000000.0,2856000.0,1.017e-05,0.0,284.63,284.63,261.86,2.2192,4.11,1226.14,6.32,5.81,-0.51,0.51,8.0
2024-03-01,HISTORICO,LESC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2740750.0,2329637.5,411112.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,22440000.0,22220000.0,2222000.0,295.1221,22000000.0,2244000.0,1.017e-05,0.0,223.64,223.64,205.75,2.2192,3.23,963.4,4.96,4.57,-0.4,0.4,8.0
