Código Agente,Nombre Comercializador,Rol Regulado PUI (CIOR/CNIOR),Código Mercado Comercialización,Mercado Comercialización,Período (Mes),Tipo de Registro,Es Pronóstico (Sí/No),Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos (Compras Contrato) [kWh],Exposición Energía en Bolsa Spot (Compras Bolsa) [kWh],Porcentaje Cobertura por Contratos [%],Porcentaje Exposición en Bolsa Spot [%],Estado Cobertura de Demanda Agente,Días Activos Mes,Promedio Diario Agente [kWh/día],Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Comercial Mercado Total (VR - DemaCome) [kWh],Demanda Total Sistema (Todos Agentes) [kWh],Demanda Total Sistema (CNIORs) [kWh],Participación Agente en Total Sistema [%],Participación Agente entre CNIORs [%],Ranking Demanda Agente en el Mes,Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales Rezago m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Unitario Transitorio (CRPUI) [COP/kWh],Cargo Unitario Fijo Competitivo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Ingresos PUI Facturados Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%],Código Comercializador CIOR,Nombre Comercializador CIOR,Demanda Acumulada CIOR [kWh],Total Giros Recibidos CIOR [COP],Parámetro Prima Riesgo Cartera (rcpui) [COP/kWh],Parámetro % Áreas Especiales [%],Parámetro Factor Recaudo CNIOR [%],Parámetro Cargo Competitivo (cfpui) [COP/kWh],Parámetro Esquema Competitivo [Sí/No]
LESC,LESC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-01-01,HISTORICO,False,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90156.25,280.0,25000000.0,1500000000.0,975000000.0,1.4425,2.2192,12,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-01-01,HISTORICO,False,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90156.25,280.0,35000000.0,1500000000.0,975000000.0,1.4425,2.2192,12,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-01-01,HISTORICO,False,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90156.25,280.0,28000000.0,1500000000.0,975000000.0,1.4425,2.2192,12,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-01-01,HISTORICO,False,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90156.25,280.0,22000000.0,1500000000.0,975000000.0,1.4425,2.2192,12,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-01-01,HISTORICO,False,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90156.25,280.0,9000000.0,1500000000.0,975000000.0,1.4425,2.2192,12,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-01-01,HISTORICO,False,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90156.25,280.0,14000000.0,1500000000.0,975000000.0,1.4425,2.2192,12,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-01-01,HISTORICO,False,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90156.25,280.0,7500000.0,1500000000.0,975000000.0,1.4425,2.2192,12,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-01-01,HISTORICO,False,2704687.5,2298984.38,405703.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90156.25,280.0,18000000.0,1500000000.0,975000000.0,1.4425,2.2192,12,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-02-01,HISTORICO,False,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90757.29,295.1221,25250000.0,1510000000.0,981500000.0,1.4425,2.2192,12,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-02-01,HISTORICO,False,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90757.29,295.1221,35350000.0,1510000000.0,981500000.0,1.4425,2.2192,12,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-02-01,HISTORICO,False,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90757.29,295.1221,28280000.0,1510000000.0,981500000.0,1.4425,2.2192,12,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-02-01,HISTORICO,False,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90757.29,295.1221,22220000.0,1510000000.0,981500000.0,1.4425,2.2192,12,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-02-01,HISTORICO,False,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90757.29,295.1221,9090000.0,1510000000.0,981500000.0,1.4425,2.2192,12,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-02-01,HISTORICO,False,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90757.29,295.1221,14140000.0,1510000000.0,981500000.0,1.4425,2.2192,12,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-02-01,HISTORICO,False,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90757.29,295.1221,7575000.0,1510000000.0,981500000.0,1.4425,2.2192,12,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-02-01,HISTORICO,False,2722718.75,2314310.94,408407.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,90757.29,295.1221,18180000.0,1510000000.0,981500000.0,1.4425,2.2192,12,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-03-01,HISTORICO,False,2740750.0,2329637.5,411112.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,91358.33,298.6395,25500000.0,1520000000.0,988000000.0,1.4425,2.2192,12,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,3.67,1094.77,3.67,5.64,5.19,-0.45,0.45,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-03-01,HISTORICO,False,2740750.0,2329637.5,411112.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,91358.33,298.6395,35700000.0,1520000000.0,988000000.0,1.4425,2.2192,12,35350000.0,3535000.0,295.1221,35000000.0,3570000.0,1.017e-05,0.0,355.78,355.78,327.32,5.13,1532.68,5.13,7.9,7.26,-0.63,0.63,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-03-01,HISTORICO,False,2740750.0,2329637.5,411112.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,91358.33,298.6395,28560000.0,1520000000.0,988000000.0,1.4425,2.2192,12,28280000.0,2828000.0,295.1221,28000000.0,2856000.0,1.017e-05,0.0,284.63,284.63,261.86,4.11,1226.14,4.11,6.32,5.81,-0.51,0.51,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-03-01,HISTORICO,False,2740750.0,2329637.5,411112.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,91358.33,298.6395,22440000.0,1520000000.0,988000000.0,1.4425,2.2192,12,22220000.0,2222000.0,295.1221,22000000.0,2244000.0,1.017e-05,0.0,223.64,223.64,205.75,3.23,963.4,3.23,4.96,4.57,-0.4,0.4,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-03-01,HISTORICO,False,2740750.0,2329637.5,411112.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,91358.33,298.6395,9180000.0,1520000000.0,988000000.0,1.4425,2.2192,12,9090000.0,909000.0,295.1221,9000000.0,918000.0,1.017e-05,0.0,91.49,91.49,84.17,1.32,394.12,1.32,2.03,1.87,-0.16,0.16,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-03-01,HISTORICO,False,2740750.0,2329637.5,411112.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,91358.33,298.6395,14280000.0,1520000000.0,988000000.0,1.4425,2.2192,12,14140000.0,1414000.0,295.1221,14000000.0,1428000.0,1.017e-05,0.0,142.31,142.31,130.93,2.05,613.07,2.05,3.16,2.91,-0.25,0.25,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-03-01,HISTORICO,False,2740750.0,2329637.5,411112.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,91358.33,298.6395,7650000.0,1520000000.0,988000000.0,1.4425,2.2192,12,7575000.0,757500.0,295.1221,7500000.0,765000.0,1.017e-05,0.0,76.24,76.24,70.14,1.1,328.43,1.1,1.69,1.56,-0.14,0.14,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-03-01,HISTORICO,False,2740750.0,2329637.5,411112.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,91358.33,298.6395,18360000.0,1520000000.0,988000000.0,1.4425,2.2192,12,18180000.0,1818000.0,295.1221,18000000.0,1836000.0,1.017e-05,0.0,182.98,182.98,168.34,2.64,788.23,2.64,4.06,3.74,-0.32,0.32,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-04-01,HISTORICO,False,2758781.25,2344964.06,413817.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,91959.38,289.6168,25750000.0,1530000000.0,994500000.0,1.4425,2.2192,12,25500000.0,2550000.0,298.6395,25250000.0,2575000.0,1.005e-05,0.0,253.65,253.65,233.36,3.66,1059.68,3.66,5.63,5.18,-0.45,0.45,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
LESC,LESC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-04-01,HISTORICO,False,2758781.25,2344964.06,413817.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,91959.38,289.6168,36050000.0,1530000000.0,994500000.0,1.4425,2.2192,12,35700000.0,3570000.0,298.6395,35350000.0,3605000.0,1.005e-05,0.0,355.11,355.11,326.7,5.12,1483.55,5.12,7.88,7.25,-0.63,0.63,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
