Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,21637500.0,18391875.039999995,3245625.0399999996,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,21781750.0,18514487.52,3267262.48,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,21926000.0,18637100.0,3288900.0,85.0,15.0,23.250000000000004,6940.84,35.760000000000005,32.91,-2.8600000000000003,2.8600000000000003
2024-04-01,HISTORICO,22070250.0,18759712.48,3310537.52,85.0,15.0,23.200000000000003,6718.36,35.68,32.83,-2.85,2.85
2024-05-01,HISTORICO,22214500.0,18882324.960000005,3332175.0399999996,85.0,15.0,24.14,6731.300000000001,37.17,34.190000000000005,-2.98,2.98
2024-06-01,HISTORICO,22358750.0,19004937.52,3353812.48,85.0,15.0,25.36,7051.37,39.0,35.89,-3.12,3.12
2024-07-01,HISTORICO,22503000.0,19127550.0,3375450.0,85.0,15.0,25.650000000000002,7459.009999999999,39.459999999999994,36.309999999999995,-3.17,3.17
2024-08-01,HISTORICO,22647250.0,19250162.48,3397087.52,85.0,15.0,24.77,7611.81,38.099999999999994,35.06,-3.04,3.04
2024-09-01,HISTORICO,22791500.0,19372775.039999995,3418725.0399999996,85.0,15.0,23.650000000000002,7447.71,36.39000000000001,33.46999999999999,-2.9100000000000006,2.9100000000000006
2024-10-01,HISTORICO,22935750.0,19495387.52,3440362.48,85.0,15.0,23.319999999999997,7195.67,35.879999999999995,32.989999999999995,-2.8700000000000006,2.8700000000000006
2024-11-01,HISTORICO,23080000.0,19618000.0,3462000.0,85.0,15.0,24.01,7123.63,36.910000000000004,33.97,-2.9600000000000004,2.9600000000000004
2024-12-01,HISTORICO,23224250.0,19740612.48,3483637.52,85.0,15.0,25.18,7367.09,38.75,35.65,-3.1,3.1
2025-01-01,HISTORICO,23368500.0,19863224.960000005,3505275.0399999996,85.0,15.0,25.799999999999997,7788.79,39.69,36.51,-3.17,3.17
2025-02-01,HISTORICO,23512750.0,19985837.52,3526912.48,85.0,15.0,25.21,8038.48,38.8,35.68,-3.1100000000000003,3.1100000000000003
2025-03-01,HISTORICO,23657000.0,20108450.0,3548550.0,85.0,15.0,24.1,7948.610000000001,37.080000000000005,34.1,-2.9600000000000004,2.9600000000000004
2025-04-01,HISTORICO,23801250.0,20231062.48,3570187.52,85.0,15.0,23.5,7689.549999999999,36.15,33.27,-2.900000000000001,2.900000000000001
2025-05-01,HISTORICO,23945500.0,20353675.039999995,3591825.0399999996,85.0,15.0,23.9,7542.84,36.76,33.81,-2.94,2.94
2025-06-01,HISTORICO,24089750.0,20476287.52,3613462.48,85.0,15.0,24.99,7697.99,38.449999999999996,35.370000000000005,-3.08,3.08
2025-07-01,HISTORICO,24234000.0,20598900.0,3635100.0,85.0,15.0,25.809999999999995,8102.620000000001,39.73,36.56,-3.17,3.17
