Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30192340.37,439149.94125,191350737.09000003,124377979.11,362.8469,373277.45,65872.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.44982375,478032.58445323387,735434.7453037982,676599.9656794944,-58834.7796243038,58834.7796243038,7.999999999999992
2026-08-28,28,2026-08-01,True,BOGOTA,42161589.67,439149.94125,191350737.09000003,124377979.11,362.8469,373277.45,65872.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.44982375,478032.58445323387,735434.7453037982,676599.9656794944,-58834.7796243038,58834.7796243038,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33775619.85,439149.94125,191350737.09000003,124377979.11,362.8469,373277.45,65872.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.44982375,478032.58445323387,735434.7453037982,676599.9656794944,-58834.7796243038,58834.7796243038,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26585269.38,439149.94125,191350737.09000003,124377979.11,362.8469,373277.45,65872.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.44982375,478032.58445323387,735434.7453037982,676599.9656794944,-58834.7796243038,58834.7796243038,7.999999999999992
2026-08-28,28,2026-08-01,True,VALLE,21666449.24,439149.94125,191350737.09000003,124377979.11,362.8469,373277.45,65872.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.44982375,478032.58445323387,735434.7453037982,676599.9656794944,-58834.7796243038,58834.7796243038,7.999999999999992
2026-08-28,28,2026-08-01,True,SANTANDER,17040949.87,439149.94125,191350737.09000003,124377979.11,362.8469,373277.45,65872.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.44982375,478032.58445323387,735434.7453037982,676599.9656794944,-58834.7796243038,58834.7796243038,7.999999999999992
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10838176.9,439149.94125,191350737.09000003,124377979.11,362.8469,373277.45,65872.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.44982375,478032.58445323387,735434.7453037982,676599.9656794944,-58834.7796243038,58834.7796243038,7.999999999999992
2026-08-28,28,2026-08-01,True,TOLIMA,9090341.81,439149.94125,191350737.09000003,124377979.11,362.8469,373277.45,65872.49,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.44982375,478032.58445323387,735434.7453037982,676599.9656794944,-58834.7796243038,58834.7796243038,7.999999999999992
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25581846.39,312176.51,161331529.79,104865494.36,363.5664,265350.03,46826.48,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.52953,340490.669715792,523831.7995802404,481925.25561382115,-41906.54396641924,41906.54396641924,8.000000000000002
2026-08-29,29,2026-08-01,True,BOGOTA,35321411.17,312176.51,161331529.79,104865494.36,363.5664,265350.03,46826.48,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.52953,340490.669715792,523831.7995802404,481925.25561382115,-41906.54396641924,41906.54396641924,8.000000000000002
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28686075.27,312176.51,161331529.79,104865494.36,363.5664,265350.03,46826.48,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.52953,340490.669715792,523831.7995802404,481925.25561382115,-41906.54396641924,41906.54396641924,8.000000000000002
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22361100.48,312176.51,161331529.79,104865494.36,363.5664,265350.03,46826.48,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.52953,340490.669715792,523831.7995802404,481925.25561382115,-41906.54396641924,41906.54396641924,8.000000000000002
2026-08-29,29,2026-08-01,True,VALLE,18281451.64,312176.51,161331529.79,104865494.36,363.5664,265350.03,46826.48,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.52953,340490.669715792,523831.7995802404,481925.25561382115,-41906.54396641924,41906.54396641924,8.000000000000002
2026-08-29,29,2026-08-01,True,SANTANDER,14266892.49,312176.51,161331529.79,104865494.36,363.5664,265350.03,46826.48,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.52953,340490.669715792,523831.7995802404,481925.25561382115,-41906.54396641924,41906.54396641924,8.000000000000002
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9222022.93,312176.51,161331529.79,104865494.36,363.5664,265350.03,46826.48,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.52953,340490.669715792,523831.7995802404,481925.25561382115,-41906.54396641924,41906.54396641924,8.000000000000002
2026-08-29,29,2026-08-01,True,TOLIMA,7610729.42,312176.51,161331529.79,104865494.36,363.5664,265350.03,46826.48,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.52953,340490.669715792,523831.7995802404,481925.25561382115,-41906.54396641924,41906.54396641924,8.000000000000002
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25596730.56,313531.32375,162031691.94,105320599.76,364.2743,266501.63,47029.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.59397125,342634.21046131384,527129.5545608724,484959.1901960026,-42170.364364869776,42170.364364869776,7.999999999999997
