Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,76882500.0,65350124.95999999,11532375.04,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,77395050.0,65785792.480000004,11609257.519999998,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,77907600.0,66221460.0,11686140.0,85.0,15.0,82.58999999999999,24662.230000000003,127.03999999999999,116.88000000000001,-10.160000000000002,10.160000000000002
2024-04-01,HISTORICO,78420150.0,66657127.519999996,11763022.480000002,85.0,15.0,82.42,23871.769999999997,126.80000000000001,116.64999999999999,-10.150000000000002,10.150000000000002
2024-05-01,HISTORICO,78932700.0,67092795.04000001,11839905.04,85.0,15.0,85.82,23917.679999999997,132.06,121.49,-10.569999999999999,10.569999999999999
2024-06-01,HISTORICO,79445250.0,67528462.48,11916787.519999998,85.0,15.0,90.08000000000001,25054.99,138.6,127.51,-11.09,11.09
2024-07-01,HISTORICO,79957800.0,67964130.0,11993670.0,85.0,15.0,91.11999999999999,26503.379999999997,140.2,128.98,-11.22,11.22
2024-08-01,HISTORICO,80470350.0,68399797.52,12070552.480000002,85.0,15.0,87.98999999999998,27046.340000000004,135.38,124.53999999999999,-10.819999999999999,10.819999999999999
2024-09-01,HISTORICO,80982900.0,68835464.96,12147435.04,85.0,15.0,84.06,26463.230000000003,129.31000000000003,118.97000000000001,-10.34,10.34
2024-10-01,HISTORICO,81495450.0,69271132.48,12224317.519999998,85.0,15.0,82.83,25567.67,127.44,117.24,-10.190000000000001,10.190000000000001
2024-11-01,HISTORICO,82008000.0,69706800.0,12301200.0,85.0,15.0,85.26000000000002,25311.71,131.19,120.68999999999997,-10.51,10.51
2024-12-01,HISTORICO,82520550.0,70142467.52,12378082.480000002,85.0,15.0,89.48000000000002,26176.840000000004,137.68,126.65999999999998,-11.020000000000001,11.020000000000001
2025-01-01,HISTORICO,83033100.0,70578135.04,12454965.04,85.0,15.0,91.66,27675.18,141.0,129.74,-11.28,11.28
2025-02-01,HISTORICO,83545650.0,71013802.48,12531847.519999998,85.0,15.0,89.58999999999999,28562.38,137.82999999999998,126.80000000000001,-11.020000000000001,11.020000000000001
2025-03-01,HISTORICO,84058200.0,71449470.0,12608730.0,85.0,15.0,85.61,28243.039999999997,131.73000000000002,121.17,-10.54,10.54
2025-04-01,HISTORICO,84570750.0,71885137.52,12685612.480000002,85.0,15.0,83.49000000000001,27322.6,128.45,118.16999999999999,-10.29,10.29
2025-05-01,HISTORICO,85083300.0,72320804.96,12762495.04,85.0,15.0,84.9,26801.27,130.61,120.17,-10.450000000000001,10.450000000000001
2025-06-01,HISTORICO,85595850.0,72756472.48,12839377.519999998,85.0,15.0,88.77000000000001,27352.53,136.57999999999998,125.66999999999999,-10.93,10.93
2025-07-01,HISTORICO,86108400.0,73192140.0,12916260.0,85.0,15.0,91.76,28790.289999999997,141.19,129.89,-11.29,11.29
2025-08-01,HISTORICO,86620950.0,73627807.52,12993142.480000002,85.0,15.0,90.9,29970.350000000002,139.82999999999998,128.65,-11.19,11.19
2025-09-01,HISTORICO,87133500.0,74063475.04,13070025.04,85.0,15.0,87.22000000000001,29974.96,134.17,123.44000000000001,-10.74,10.74
2025-10-01,HISTORICO,87646050.0,74499142.48,13146907.519999998,85.0,15.0,84.36999999999999,29116.789999999997,129.82000000000002,119.43,-10.379999999999999,10.379999999999999
2025-11-01,HISTORICO,88158600.0,74934810.0,13223790.0,85.0,15.0,84.75999999999999,28383.04,130.4,119.96000000000001,-10.42,10.42
2025-12-01,HISTORICO,88671150.0,75370477.52,13300672.480000002,85.0,15.0,88.07000000000001,28603.85,135.49,124.65,-10.83,10.83
2026-01-01,HISTORICO,89183700.0,75806144.96,13377555.04,85.0,15.0,91.55000000000001,29880.87,140.82999999999998,129.56,-11.27,11.27
2026-02-01,HISTORICO,89696250.0,76241812.48,13454437.519999998,85.0,15.0,91.84,31272.020000000004,141.29999999999998,129.97,-11.299999999999999,11.299999999999999
2026-03-01,HISTORICO,90208800.0,76677480.0,13531320.0,85.0,15.0,88.76,31634.209999999995,136.54,125.61999999999998,-10.92,10.92
2026-04-01,HISTORICO,90721350.0,77113147.52,13608202.480000002,85.0,15.0,85.46000000000001,30926.849999999995,131.49,120.96999999999998,-10.52,10.52
2026-05-01,HISTORICO,91233900.0,77548815.04,13685085.039999995,85.0,15.0,84.88,30047.980000000003,130.55,120.11,-10.450000000000001,10.450000000000001
2026-06-01,HISTORICO,91746450.0,77984482.48,13761967.519999998,85.0,15.0,87.41,29945.22,134.49,123.73,-10.76,10.76
2026-07-01,HISTORICO,92259000.0,78420150.0,13838850.0,85.0,15.0,91.06,30980.37,140.12,128.9,-11.22,11.22
2026-08-01,HISTORICO,104798357.44000003,89078603.84,15719753.600000003,85.0,15.0,36172.83,13162534.2,20200225.24,18584207.22,-1616018.01,1616018.01
2026-09-01,HISTORICO,191158955.68000004,162485112.32,28673843.35999999,85.0,15.0,293714.72,107605467.13,165495933.18,152256258.57,-13239674.62,13239674.62
2026-10-01,HISTORICO,195172720.55999997,165896812.48000002,29275908.080000002,85.0,15.0,304214.93000000005,112916275.50999999,173667131.13,159773760.64,-13893370.500000002,13893370.500000002
2026-11-01,HISTORICO,192905993.04,163970094.08,28935898.960000005,85.0,15.0,295875.62000000005,110443394.3,169864150.13999996,156275018.15,-13589132.019999996,13589132.019999996
2026-12-01,HISTORICO,199023282.72000003,169169790.31999996,29853492.39999999,85.0,15.0,312691.47000000003,118612533.85,182432672.36,167838058.62999997,-14594613.810000002,14594613.810000002
2027-01-01,HISTORICO,198407090.79999998,168646027.2,29761063.680000007,85.0,15.0,309308.85000000003,119214643.08999997,183357867.54000005,168689238.18,-14668629.379999997,14668629.379999997
2027-02-01,HISTORICO,190755426.4,162142112.4,28613314.0,85.0,15.0,284818.4,110244542.96,169555412.61,155990979.61999997,-13564432.999999996,13564432.999999996
