Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30392969.45,440080.02625,191756002.78,124641401.81,362.8469,374068.02,66012.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.24007875,479045.0198301934,736992.3381825589,678032.9511279542,-58959.38705460471,58959.38705460471,8.0
2026-08-28,28,2026-08-01,True,BOGOTA,42515874.59,440080.02625,191756002.78,124641401.81,362.8469,374068.02,66012.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.24007875,479045.0198301934,736992.3381825589,678032.9511279542,-58959.38705460471,58959.38705460471,8.0
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33645531.71,440080.02625,191756002.78,124641401.81,362.8469,374068.02,66012.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.24007875,479045.0198301934,736992.3381825589,678032.9511279542,-58959.38705460471,58959.38705460471,8.0
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26377208.08,440080.02625,191756002.78,124641401.81,362.8469,374068.02,66012.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.24007875,479045.0198301934,736992.3381825589,678032.9511279542,-58959.38705460471,58959.38705460471,8.0
2026-08-28,28,2026-08-01,True,VALLE,21889464.63,440080.02625,191756002.78,124641401.81,362.8469,374068.02,66012.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.24007875,479045.0198301934,736992.3381825589,678032.9511279542,-58959.38705460471,58959.38705460471,8.0
2026-08-28,28,2026-08-01,True,SANTANDER,16937410.96,440080.02625,191756002.78,124641401.81,362.8469,374068.02,66012.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.24007875,479045.0198301934,736992.3381825589,678032.9511279542,-58959.38705460471,58959.38705460471,8.0
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10800640.48,440080.02625,191756002.78,124641401.81,362.8469,374068.02,66012.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.24007875,479045.0198301934,736992.3381825589,678032.9511279542,-58959.38705460471,58959.38705460471,8.0
2026-08-28,28,2026-08-01,True,TOLIMA,9196902.88,440080.02625,191756002.78,124641401.81,362.8469,374068.02,66012.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.24007875,479045.0198301934,736992.3381825589,678032.9511279542,-58959.38705460471,58959.38705460471,8.0
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25426457.45,310848.8175,160645383.43000004,104419499.23,363.5664,264221.49,46627.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),932.5464525,339042.556568196,521603.9331793425,479875.6185249951,-41728.31465434737,41728.31465434737,7.999999999999995
2026-08-29,29,2026-08-01,True,BOGOTA,35188968.86,310848.8175,160645383.43000004,104419499.23,363.5664,264221.49,46627.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),932.5464525,339042.556568196,521603.9331793425,479875.6185249951,-41728.31465434737,41728.31465434737,7.999999999999995
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28151035.4,310848.8175,160645383.43000004,104419499.23,363.5664,264221.49,46627.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),932.5464525,339042.556568196,521603.9331793425,479875.6185249951,-41728.31465434737,41728.31465434737,7.999999999999995
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22413763.56,310848.8175,160645383.43000004,104419499.23,363.5664,264221.49,46627.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),932.5464525,339042.556568196,521603.9331793425,479875.6185249951,-41728.31465434737,41728.31465434737,7.999999999999995
2026-08-29,29,2026-08-01,True,VALLE,18374839.37,310848.8175,160645383.43000004,104419499.23,363.5664,264221.49,46627.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),932.5464525,339042.556568196,521603.9331793425,479875.6185249951,-41728.31465434737,41728.31465434737,7.999999999999995
2026-08-29,29,2026-08-01,True,SANTANDER,14344143.15,310848.8175,160645383.43000004,104419499.23,363.5664,264221.49,46627.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),932.5464525,339042.556568196,521603.9331793425,479875.6185249951,-41728.31465434737,41728.31465434737,7.999999999999995
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9165994.77,310848.8175,160645383.43000004,104419499.23,363.5664,264221.49,46627.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),932.5464525,339042.556568196,521603.9331793425,479875.6185249951,-41728.31465434737,41728.31465434737,7.999999999999995
2026-08-29,29,2026-08-01,True,TOLIMA,7580180.87,310848.8175,160645383.43000004,104419499.23,363.5664,264221.49,46627.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),932.5464525,339042.556568196,521603.9331793425,479875.6185249951,-41728.31465434737,41728.31465434737,7.999999999999995
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25493472.86,311926.91625,161202540.37999997,104781651.25,364.2743,265137.88,46789.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.78074875,340880.87720438215,524432.1187609574,482477.5492600808,-41954.56950087659,41954.56950087659,8.0
2026-08-30,30,2026-08-01,True,BOGOTA,35247338.69,311926.91625,161202540.37999997,104781651.25,364.2743,265137.88,46789.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.78074875,340880.87720438215,524432.1187609574,482477.5492600808,-41954.56950087659,41954.56950087659,8.0
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28722069.25,311926.91625,161202540.37999997,104781651.25,364.2743,265137.88,46789.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.78074875,340880.87720438215,524432.1187609574,482477.5492600808,-41954.56950087659,41954.56950087659,8.0
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22504010.15,311926.91625,161202540.37999997,104781651.25,364.2743,265137.88,46789.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.78074875,340880.87720438215,524432.1187609574,482477.5492600808,-41954.56950087659,41954.56950087659,8.0
2026-08-30,30,2026-08-01,True,VALLE,18298700.05,311926.91625,161202540.37999997,104781651.25,364.2743,265137.88,46789.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.78074875,340880.87720438215,524432.1187609574,482477.5492600808,-41954.56950087659,41954.56950087659,8.0
2026-08-30,30,2026-08-01,True,SANTANDER,14227473.08,311926.91625,161202540.37999997,104781651.25,364.2743,265137.88,46789.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.78074875,340880.87720438215,524432.1187609574,482477.5492600808,-41954.56950087659,41954.56950087659,8.0
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9067055.13,311926.91625,161202540.37999997,104781651.25,364.2743,265137.88,46789.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.78074875,340880.87720438215,524432.1187609574,482477.5492600808,-41954.56950087659,41954.56950087659,8.0
2026-08-30,30,2026-08-01,True,TOLIMA,7642421.17,311926.91625,161202540.37999997,104781651.25,364.2743,265137.88,46789.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.78074875,340880.87720438215,524432.1187609574,482477.5492600808,-41954.56950087659,41954.56950087659,8.0
2026-08-31,31,2026-08-01,True,ANTIOQUIA,30189062.98,440495.17,191936893.26000002,124758980.62,364.9592,374420.89,66074.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.48551,482288.294541192,741981.9915958865,682623.4322682157,-59358.55932767084,59358.55932767084,7.999999999999989
2026-08-31,31,2026-08-01,True,BOGOTA,42170520.0,440495.17,191936893.26000002,124758980.62,364.9592,374420.89,66074.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.48551,482288.294541192,741981.9915958865,682623.4322682157,-59358.55932767084,59358.55932767084,7.999999999999989
2026-08-31,31,2026-08-01,True,CARIBE_MAR,33986327.66,440495.17,191936893.26000002,124758980.62,364.9592,374420.89,66074.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.48551,482288.294541192,741981.9915958865,682623.4322682157,-59358.55932767084,59358.55932767084,7.999999999999989
2026-08-31,31,2026-08-01,True,CARIBE_SOL,26500942.43,440495.17,191936893.26000002,124758980.62,364.9592,374420.89,66074.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.48551,482288.294541192,741981.9915958865,682623.4322682157,-59358.55932767084,59358.55932767084,7.999999999999989
2026-08-31,31,2026-08-01,True,VALLE,21983000.36,440495.17,191936893.26000002,124758980.62,364.9592,374420.89,66074.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.48551,482288.294541192,741981.9915958865,682623.4322682157,-59358.55932767084,59358.55932767084,7.999999999999989
2026-08-31,31,2026-08-01,True,SANTANDER,17096841.03,440495.17,191936893.26000002,124758980.62,364.9592,374420.89,66074.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.48551,482288.294541192,741981.9915958865,682623.4322682157,-59358.55932767084,59358.55932767084,7.999999999999989
2026-08-31,31,2026-08-01,True,CUNDINAMARCA,10837141.0,440495.17,191936893.26000002,124758980.62,364.9592,374420.89,66074.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.48551,482288.294541192,741981.9915958865,682623.4322682157,-59358.55932767084,59358.55932767084,7.999999999999989
2026-08-31,31,2026-08-01,True,TOLIMA,9173057.8,440495.17,191936893.26000002,124758980.62,364.9592,374420.89,66074.28,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.48551,482288.294541192,741981.9915958865,682623.4322682157,-59358.55932767084,59358.55932767084,7.999999999999989
2026-09-01,1,2026-09-01,True,ANTIOQUIA,29828223.66,438488.065,191062337.72,124190519.52,365.6102,372714.86,65773.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.464195,480947.127426789,739918.6575677596,680725.1649623389,-59193.49260542076,59193.49260542076,7.999999999999999
2026-09-01,1,2026-09-01,True,BOGOTA,42109433.09,438488.065,191062337.72,124190519.52,365.6102,372714.86,65773.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.464195,480947.127426789,739918.6575677596,680725.1649623389,-59193.49260542076,59193.49260542076,7.999999999999999
2026-09-01,1,2026-09-01,True,CARIBE_MAR,34178679.5,438488.065,191062337.72,124190519.52,365.6102,372714.86,65773.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.464195,480947.127426789,739918.6575677596,680725.1649623389,-59193.49260542076,59193.49260542076,7.999999999999999
2026-09-01,1,2026-09-01,True,CARIBE_SOL,26602081.28,438488.065,191062337.72,124190519.52,365.6102,372714.86,65773.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.464195,480947.127426789,739918.6575677596,680725.1649623389,-59193.49260542076,59193.49260542076,7.999999999999999
