Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,17505000.0,14879250.0,2625750.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,17621700.0,14978444.960000005,2643255.0399999996,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,17738400.0,15077640.0,2660760.0,85.0,15.0,18.810000000000002,5615.209999999999,28.939999999999998,26.610000000000007,-2.3100000000000005,2.3100000000000005
2024-04-01,HISTORICO,17855100.0,15176835.039999995,2678265.0399999996,85.0,15.0,18.77,5435.24,28.880000000000003,26.580000000000005,-2.3,2.3
2024-05-01,HISTORICO,17971800.0,15276030.0,2695770.0,85.0,15.0,19.540000000000003,5445.700000000001,30.06,27.66,-2.39,2.39
2024-06-01,HISTORICO,18088500.0,15375224.960000005,2713275.0399999996,85.0,15.0,20.509999999999998,5704.65,31.549999999999997,29.03,-2.5300000000000007,2.5300000000000007
2024-07-01,HISTORICO,18205200.0,15474420.0,2730780.0,85.0,15.0,20.749999999999996,6034.429999999999,31.93,29.380000000000003,-2.5500000000000003,2.5500000000000003
2024-08-01,HISTORICO,18321900.0,15573615.039999995,2748285.0399999996,85.0,15.0,20.040000000000003,6158.05,30.830000000000002,28.349999999999998,-2.4700000000000006,2.4700000000000006
2024-09-01,HISTORICO,18438600.0,15672810.0,2765790.0,85.0,15.0,19.15,6025.28,29.430000000000003,27.089999999999996,-2.36,2.36
2024-10-01,HISTORICO,18555300.0,15772004.960000005,2783295.0399999996,85.0,15.0,18.85,5821.370000000002,29.02,26.69,-2.3200000000000003,2.3200000000000003
2024-11-01,HISTORICO,18672000.0,15871200.0,2800800.0,85.0,15.0,19.4,5763.1,29.880000000000003,27.47,-2.39,2.39
2024-12-01,HISTORICO,18788700.0,15970395.039999995,2818305.0399999996,85.0,15.0,20.37,5960.080000000002,31.34,28.84,-2.500000000000001,2.500000000000001
2025-01-01,HISTORICO,18905400.0,16069590.0,2835810.0,85.0,15.0,20.87,6301.240000000001,32.11,29.54,-2.58,2.58
2025-02-01,HISTORICO,19022100.0,16168784.960000005,2853315.0399999996,85.0,15.0,20.4,6503.24,31.369999999999997,28.880000000000003,-2.5100000000000007,2.5100000000000007
2025-03-01,HISTORICO,19138800.0,16267980.0,2870820.0,85.0,15.0,19.48,6430.5199999999995,29.99,27.59,-2.39,2.39
2025-04-01,HISTORICO,19255500.0,16367175.039999995,2888325.0399999996,85.0,15.0,19.02,6220.950000000001,29.24,26.9,-2.34,2.34
