Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30158729.97,437582.085,190667574.92999998,123933923.7,362.8469,371944.77,65637.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.746255,476325.9091133595,732809.090970238,674184.3636926189,-58624.727277619066,58624.727277619066,8.000000000000004
2026-08-28,28,2026-08-01,True,BOGOTA,41954767.71,437582.085,190667574.92999998,123933923.7,362.8469,371944.77,65637.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.746255,476325.9091133595,732809.090970238,674184.3636926189,-58624.727277619066,58624.727277619066,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33575978.08,437582.085,190667574.92999998,123933923.7,362.8469,371944.77,65637.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.746255,476325.9091133595,732809.090970238,674184.3636926189,-58624.727277619066,58624.727277619066,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26400023.64,437582.085,190667574.92999998,123933923.7,362.8469,371944.77,65637.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.746255,476325.9091133595,732809.090970238,674184.3636926189,-58624.727277619066,58624.727277619066,8.000000000000004
2026-08-28,28,2026-08-01,True,VALLE,21695915.48,437582.085,190667574.92999998,123933923.7,362.8469,371944.77,65637.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.746255,476325.9091133595,732809.090970238,674184.3636926189,-58624.727277619066,58624.727277619066,8.000000000000004
2026-08-28,28,2026-08-01,True,SANTANDER,16967900.32,437582.085,190667574.92999998,123933923.7,362.8469,371944.77,65637.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.746255,476325.9091133595,732809.090970238,674184.3636926189,-58624.727277619066,58624.727277619066,8.000000000000004
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10878404.35,437582.085,190667574.92999998,123933923.7,362.8469,371944.77,65637.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.746255,476325.9091133595,732809.090970238,674184.3636926189,-58624.727277619066,58624.727277619066,8.000000000000004
2026-08-28,28,2026-08-01,True,TOLIMA,9035855.38,437582.085,190667574.92999998,123933923.7,362.8469,371944.77,65637.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.746255,476325.9091133595,732809.090970238,674184.3636926189,-58624.727277619066,58624.727277619066,8.000000000000004
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25239437.41,311930.3075,161204292.96,104782790.42,363.5664,265140.76,46789.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7909225,340222.136846004,523418.67209075653,481545.178323496,-41873.493767260516,41873.493767260516,7.999999999999999
2026-08-29,29,2026-08-01,True,BOGOTA,35389135.43,311930.3075,161204292.96,104782790.42,363.5664,265140.76,46789.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7909225,340222.136846004,523418.67209075653,481545.178323496,-41873.493767260516,41873.493767260516,7.999999999999999
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28669985.39,311930.3075,161204292.96,104782790.42,363.5664,265140.76,46789.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7909225,340222.136846004,523418.67209075653,481545.178323496,-41873.493767260516,41873.493767260516,7.999999999999999
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22384391.49,311930.3075,161204292.96,104782790.42,363.5664,265140.76,46789.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7909225,340222.136846004,523418.67209075653,481545.178323496,-41873.493767260516,41873.493767260516,7.999999999999999
2026-08-29,29,2026-08-01,True,VALLE,18518486.36,311930.3075,161204292.96,104782790.42,363.5664,265140.76,46789.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7909225,340222.136846004,523418.67209075653,481545.178323496,-41873.493767260516,41873.493767260516,7.999999999999999
2026-08-29,29,2026-08-01,True,SANTANDER,14224029.48,311930.3075,161204292.96,104782790.42,363.5664,265140.76,46789.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7909225,340222.136846004,523418.67209075653,481545.178323496,-41873.493767260516,41873.493767260516,7.999999999999999
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9143123.03,311930.3075,161204292.96,104782790.42,363.5664,265140.76,46789.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7909225,340222.136846004,523418.67209075653,481545.178323496,-41873.493767260516,41873.493767260516,7.999999999999999
2026-08-29,29,2026-08-01,True,TOLIMA,7635704.37,311930.3075,161204292.96,104782790.42,363.5664,265140.76,46789.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7909225,340222.136846004,523418.67209075653,481545.178323496,-41873.493767260516,41873.493767260516,7.999999999999999
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25385569.7,312200.84,161344103.63000003,104873667.36,364.2743,265370.71,46830.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.6025200000001,341180.22735123604,524892.6574609376,482901.24486406264,-41991.41259687499,41991.41259687499,7.9999999999999964
2026-08-30,30,2026-08-01,True,BOGOTA,35457696.43,312200.84,161344103.63000003,104873667.36,364.2743,265370.71,46830.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.6025200000001,341180.22735123604,524892.6574609376,482901.24486406264,-41991.41259687499,41991.41259687499,7.9999999999999964
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28546898.56,312200.84,161344103.63000003,104873667.36,364.2743,265370.71,46830.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.6025200000001,341180.22735123604,524892.6574609376,482901.24486406264,-41991.41259687499,41991.41259687499,7.9999999999999964
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22391776.59,312200.84,161344103.63000003,104873667.36,364.2743,265370.71,46830.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.6025200000001,341180.22735123604,524892.6574609376,482901.24486406264,-41991.41259687499,41991.41259687499,7.9999999999999964
2026-08-30,30,2026-08-01,True,VALLE,18466778.64,312200.84,161344103.63000003,104873667.36,364.2743,265370.71,46830.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.6025200000001,341180.22735123604,524892.6574609376,482901.24486406264,-41991.41259687499,41991.41259687499,7.9999999999999964
2026-08-30,30,2026-08-01,True,SANTANDER,14190576.0,312200.84,161344103.63000003,104873667.36,364.2743,265370.71,46830.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.6025200000001,341180.22735123604,524892.6574609376,482901.24486406264,-41991.41259687499,41991.41259687499,7.9999999999999964
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9248047.34,312200.84,161344103.63000003,104873667.36,364.2743,265370.71,46830.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.6025200000001,341180.22735123604,524892.6574609376,482901.24486406264,-41991.41259687499,41991.41259687499,7.9999999999999964
2026-08-30,30,2026-08-01,True,TOLIMA,7656760.37,312200.84,161344103.63000003,104873667.36,364.2743,265370.71,46830.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.6025200000001,341180.22735123604,524892.6574609376,482901.24486406264,-41991.41259687499,41991.41259687499,7.9999999999999964
2026-08-31,31,2026-08-01,True,ANTIOQUIA,29778538.6,441286.96625,192281902.39000002,124983236.55,364.9592,375093.92,66193.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.86089875,483155.214519081,743315.7146655559,683850.4574923114,-59465.25717324449,59465.25717324449,8.000000000000004
2026-08-31,31,2026-08-01,True,BOGOTA,42908910.27,441286.96625,192281902.39000002,124983236.55,364.9592,375093.92,66193.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.86089875,483155.214519081,743315.7146655559,683850.4574923114,-59465.25717324449,59465.25717324449,8.000000000000004
2026-08-31,31,2026-08-01,True,CARIBE_MAR,34219853.43,441286.96625,192281902.39000002,124983236.55,364.9592,375093.92,66193.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.86089875,483155.214519081,743315.7146655559,683850.4574923114,-59465.25717324449,59465.25717324449,8.000000000000004
2026-08-31,31,2026-08-01,True,CARIBE_SOL,26570249.05,441286.96625,192281902.39000002,124983236.55,364.9592,375093.92,66193.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.86089875,483155.214519081,743315.7146655559,683850.4574923114,-59465.25717324449,59465.25717324449,8.000000000000004
2026-08-31,31,2026-08-01,True,VALLE,21985519.25,441286.96625,192281902.39000002,124983236.55,364.9592,375093.92,66193.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.86089875,483155.214519081,743315.7146655559,683850.4574923114,-59465.25717324449,59465.25717324449,8.000000000000004
2026-08-31,31,2026-08-01,True,SANTANDER,16916354.59,441286.96625,192281902.39000002,124983236.55,364.9592,375093.92,66193.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.86089875,483155.214519081,743315.7146655559,683850.4574923114,-59465.25717324449,59465.25717324449,8.000000000000004
2026-08-31,31,2026-08-01,True,CUNDINAMARCA,10877037.23,441286.96625,192281902.39000002,124983236.55,364.9592,375093.92,66193.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.86089875,483155.214519081,743315.7146655559,683850.4574923114,-59465.25717324449,59465.25717324449,8.000000000000004
2026-08-31,31,2026-08-01,True,TOLIMA,9025439.97,441286.96625,192281902.39000002,124983236.55,364.9592,375093.92,66193.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.86089875,483155.214519081,743315.7146655559,683850.4574923114,-59465.25717324449,59465.25717324449,8.000000000000004
2026-09-01,1,2026-09-01,True,ANTIOQUIA,30454696.17,440232.05875,191822247.62000003,124684460.95,365.6102,374197.25,66034.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.69617625,482859.9931379978,742861.527922486,683432.6056886871,-59428.92223379889,59428.92223379889,8.000000000000002
2026-09-01,1,2026-09-01,True,BOGOTA,42553197.57,440232.05875,191822247.62000003,124684460.95,365.6102,374197.25,66034.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.69617625,482859.9931379978,742861.527922486,683432.6056886871,-59428.92223379889,59428.92223379889,8.000000000000002
2026-09-01,1,2026-09-01,True,CARIBE_MAR,33734206.93,440232.05875,191822247.62000003,124684460.95,365.6102,374197.25,66034.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.69617625,482859.9931379978,742861.527922486,683432.6056886871,-59428.92223379889,59428.92223379889,8.000000000000002
2026-09-01,1,2026-09-01,True,CARIBE_SOL,26472803.79,440232.05875,191822247.62000003,124684460.95,365.6102,374197.25,66034.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.69617625,482859.9931379978,742861.527922486,683432.6056886871,-59428.92223379889,59428.92223379889,8.000000000000002
2026-09-01,1,2026-09-01,True,VALLE,21693537.59,440232.05875,191822247.62000003,124684460.95,365.6102,374197.25,66034.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.69617625,482859.9931379978,742861.527922486,683432.6056886871,-59428.92223379889,59428.92223379889,8.000000000000002
2026-09-01,1,2026-09-01,True,SANTANDER,16947019.17,440232.05875,191822247.62000003,124684460.95,365.6102,374197.25,66034.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.69617625,482859.9931379978,742861.527922486,683432.6056886871,-59428.92223379889,59428.92223379889,8.000000000000002
2026-09-01,1,2026-09-01,True,CUNDINAMARCA,10901832.46,440232.05875,191822247.62000003,124684460.95,365.6102,374197.25,66034.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.69617625,482859.9931379978,742861.527922486,683432.6056886871,-59428.92223379889,59428.92223379889,8.000000000000002
2026-09-01,1,2026-09-01,True,TOLIMA,9064953.94,440232.05875,191822247.62000003,124684460.95,365.6102,374197.25,66034.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.69617625,482859.9931379978,742861.527922486,683432.6056886871,-59428.92223379889,59428.92223379889,8.000000000000002
2026-09-02,2,2026-09-01,True,ANTIOQUIA,30455750.02,442122.15125,192645817.64000002,125219781.47,366.2172,375803.83,66318.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.3664537500001,485738.20886625454,747289.5520780587,687506.387911814,-59783.16416624468,59783.16416624468,7.999999999999997
2026-09-02,2,2026-09-01,True,BOGOTA,42484237.37,442122.15125,192645817.64000002,125219781.47,366.2172,375803.83,66318.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.3664537500001,485738.20886625454,747289.5520780587,687506.387911814,-59783.16416624468,59783.16416624468,7.999999999999997
2026-09-02,2,2026-09-01,True,CARIBE_MAR,34217647.35,442122.15125,192645817.64000002,125219781.47,366.2172,375803.83,66318.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.3664537500001,485738.20886625454,747289.5520780587,687506.387911814,-59783.16416624468,59783.16416624468,7.999999999999997
2026-09-02,2,2026-09-01,True,CARIBE_SOL,26563564.0,442122.15125,192645817.64000002,125219781.47,366.2172,375803.83,66318.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.3664537500001,485738.20886625454,747289.5520780587,687506.387911814,-59783.16416624468,59783.16416624468,7.999999999999997
2026-09-02,2,2026-09-01,True,VALLE,21720633.05,442122.15125,192645817.64000002,125219781.47,366.2172,375803.83,66318.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.3664537500001,485738.20886625454,747289.5520780587,687506.387911814,-59783.16416624468,59783.16416624468,7.999999999999997
2026-09-02,2,2026-09-01,True,SANTANDER,17087221.79,442122.15125,192645817.64000002,125219781.47,366.2172,375803.83,66318.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.3664537500001,485738.20886625454,747289.5520780587,687506.387911814,-59783.16416624468,59783.16416624468,7.999999999999997
2026-09-02,2,2026-09-01,True,CUNDINAMARCA,10996568.18,442122.15125,192645817.64000002,125219781.47,366.2172,375803.83,66318.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.3664537500001,485738.20886625454,747289.5520780587,687506.387911814,-59783.16416624468,59783.16416624468,7.999999999999997
2026-09-02,2,2026-09-01,True,TOLIMA,9120195.88,442122.15125,192645817.64000002,125219781.47,366.2172,375803.83,66318.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1326.3664537500001,485738.20886625454,747289.5520780587,687506.387911814,-59783.16416624468,59783.16416624468,7.999999999999997
2026-09-03,3,2026-09-01,True,ANTIOQUIA,30040576.95,438378.97875,191014805.77,124159623.75,366.7708,372622.13,65756.85,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.13693625,482353.8262179615,742082.809569083,682716.1848035564,-59366.62476552662,59366.62476552662,7.999999999999997
2026-09-03,3,2026-09-01,True,BOGOTA,41962095.26,438378.97875,191014805.77,124159623.75,366.7708,372622.13,65756.85,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.13693625,482353.8262179615,742082.809569083,682716.1848035564,-59366.62476552662,59366.62476552662,7.999999999999997
2026-09-03,3,2026-09-01,True,CARIBE_MAR,33733546.06,438378.97875,191014805.77,124159623.75,366.7708,372622.13,65756.85,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.13693625,482353.8262179615,742082.809569083,682716.1848035564,-59366.62476552662,59366.62476552662,7.999999999999997
2026-09-03,3,2026-09-01,True,CARIBE_SOL,26358798.67,438378.97875,191014805.77,124159623.75,366.7708,372622.13,65756.85,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.13693625,482353.8262179615,742082.809569083,682716.1848035564,-59366.62476552662,59366.62476552662,7.999999999999997
2026-09-03,3,2026-09-01,True,VALLE,21995825.71,438378.97875,191014805.77,124159623.75,366.7708,372622.13,65756.85,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.13693625,482353.8262179615,742082.809569083,682716.1848035564,-59366.62476552662,59366.62476552662,7.999999999999997
2026-09-03,3,2026-09-01,True,SANTANDER,17077085.64,438378.97875,191014805.77,124159623.75,366.7708,372622.13,65756.85,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.13693625,482353.8262179615,742082.809569083,682716.1848035564,-59366.62476552662,59366.62476552662,7.999999999999997
2026-09-03,3,2026-09-01,True,CUNDINAMARCA,10832052.81,438378.97875,191014805.77,124159623.75,366.7708,372622.13,65756.85,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.13693625,482353.8262179615,742082.809569083,682716.1848035564,-59366.62476552662,59366.62476552662,7.999999999999997
2026-09-03,3,2026-09-01,True,TOLIMA,9014824.67,438378.97875,191014805.77,124159623.75,366.7708,372622.13,65756.85,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.13693625,482353.8262179615,742082.809569083,682716.1848035564,-59366.62476552662,59366.62476552662,7.999999999999997
2026-09-04,4,2026-09-01,True,ANTIOQUIA,30462766.06,444441.26125,193656322.75000003,125876609.79,367.2628,377775.07,66666.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1333.32378375,489680.22612661956,753354.194025991,693085.8585039118,-60268.33552207926,60268.33552207926,7.999999999999997
2026-09-04,4,2026-09-01,True,BOGOTA,43868351.92,444441.26125,193656322.75000003,125876609.79,367.2628,377775.07,66666.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1333.32378375,489680.22612661956,753354.194025991,693085.8585039118,-60268.33552207926,60268.33552207926,7.999999999999997
2026-09-04,4,2026-09-01,True,CARIBE_MAR,33929590.95,444441.26125,193656322.75000003,125876609.79,367.2628,377775.07,66666.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1333.32378375,489680.22612661956,753354.194025991,693085.8585039118,-60268.33552207926,60268.33552207926,7.999999999999997
2026-09-04,4,2026-09-01,True,CARIBE_SOL,26802264.34,444441.26125,193656322.75000003,125876609.79,367.2628,377775.07,66666.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1333.32378375,489680.22612661956,753354.194025991,693085.8585039118,-60268.33552207926,60268.33552207926,7.999999999999997
2026-09-04,4,2026-09-01,True,VALLE,21796088.8,444441.26125,193656322.75000003,125876609.79,367.2628,377775.07,66666.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1333.32378375,489680.22612661956,753354.194025991,693085.8585039118,-60268.33552207926,60268.33552207926,7.999999999999997
2026-09-04,4,2026-09-01,True,SANTANDER,16813770.49,444441.26125,193656322.75000003,125876609.79,367.2628,377775.07,66666.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1333.32378375,489680.22612661956,753354.194025991,693085.8585039118,-60268.33552207926,60268.33552207926,7.999999999999997
2026-09-04,4,2026-09-01,True,CUNDINAMARCA,11058315.82,444441.26125,193656322.75000003,125876609.79,367.2628,377775.07,66666.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1333.32378375,489680.22612661956,753354.194025991,693085.8585039118,-60268.33552207926,60268.33552207926,7.999999999999997
2026-09-04,4,2026-09-01,True,TOLIMA,8925174.37,444441.26125,193656322.75000003,125876609.79,367.2628,377775.07,66666.19,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1333.32378375,489680.22612661956,753354.194025991,693085.8585039118,-60268.33552207926,60268.33552207926,7.999999999999997
2026-09-05,5,2026-09-01,True,ANTIOQUIA,25752770.34,314091.45875,162321167.07,105508758.6,367.6862,266977.74,47113.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.27437625,346461.2847607327,533017.3611476246,490375.9722558146,-42641.38889180997,42641.38889180997,8.000000000000002
2026-09-05,5,2026-09-01,True,BOGOTA,35512269.32,314091.45875,162321167.07,105508758.6,367.6862,266977.74,47113.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.27437625,346461.2847607327,533017.3611476246,490375.9722558146,-42641.38889180997,42641.38889180997,8.000000000000002
2026-09-05,5,2026-09-01,True,CARIBE_MAR,29087671.3,314091.45875,162321167.07,105508758.6,367.6862,266977.74,47113.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.27437625,346461.2847607327,533017.3611476246,490375.9722558146,-42641.38889180997,42641.38889180997,8.000000000000002
