Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,186937500.0,158896875.04,28040625.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,188183750.0,159956187.52,28227562.479999997,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,189430000.0,161015500.0,28414500.0,85.0,15.0,200.79000000000002,59965.47,308.90999999999997,284.21999999999997,-24.719999999999995,24.719999999999995
2024-04-01,HISTORICO,190676250.0,162074812.48,28601437.520000003,85.0,15.0,200.40999999999997,58043.51,308.34,283.66,-24.669999999999998,24.669999999999998
2024-05-01,HISTORICO,191922500.0,163134124.96,28788375.039999995,85.0,15.0,208.70999999999998,58155.130000000005,321.06999999999994,295.39000000000004,-25.699999999999996,25.699999999999996
2024-06-01,HISTORICO,193168750.0,164193437.52,28975312.479999997,85.0,15.0,219.04999999999995,60920.45999999999,337.00999999999993,310.02,-26.95,26.95
2024-07-01,HISTORICO,194415000.0,165252750.0,29162250.0,85.0,15.0,221.60000000000002,64442.22,340.91999999999996,313.64,-27.28,27.28
2024-08-01,HISTORICO,195661250.0,166312062.48,29349187.520000003,85.0,15.0,213.97000000000003,65762.36,329.17999999999995,302.84,-26.35,26.35
2024-09-01,HISTORICO,196907500.0,167371375.04,29536125.039999995,85.0,15.0,204.37,64344.59,314.40999999999997,289.2800000000001,-25.150000000000002,25.150000000000002
2024-10-01,HISTORICO,198153750.0,168430687.52,29723062.479999997,85.0,15.0,201.39999999999998,62167.020000000004,309.84,285.07,-24.779999999999998,24.779999999999998
