Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30294375.03,438780.075,191189575.26999998,124273223.93,362.8469,372963.06,65817.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.3402250000001,477629.96998655255,734815.3384142419,676030.1113411026,-58785.22707313928,58785.22707313928,7.99999999999999
2026-08-28,28,2026-08-01,True,BOGOTA,42582435.63,438780.075,191189575.26999998,124273223.93,362.8469,372963.06,65817.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.3402250000001,477629.96998655255,734815.3384142419,676030.1113411026,-58785.22707313928,58785.22707313928,7.99999999999999
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33155901.12,438780.075,191189575.26999998,124273223.93,362.8469,372963.06,65817.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.3402250000001,477629.96998655255,734815.3384142419,676030.1113411026,-58785.22707313928,58785.22707313928,7.99999999999999
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26722408.3,438780.075,191189575.26999998,124273223.93,362.8469,372963.06,65817.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.3402250000001,477629.96998655255,734815.3384142419,676030.1113411026,-58785.22707313928,58785.22707313928,7.99999999999999
2026-08-28,28,2026-08-01,True,VALLE,21466814.08,438780.075,191189575.26999998,124273223.93,362.8469,372963.06,65817.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.3402250000001,477629.96998655255,734815.3384142419,676030.1113411026,-58785.22707313928,58785.22707313928,7.99999999999999
2026-08-28,28,2026-08-01,True,SANTANDER,16994808.65,438780.075,191189575.26999998,124273223.93,362.8469,372963.06,65817.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.3402250000001,477629.96998655255,734815.3384142419,676030.1113411026,-58785.22707313928,58785.22707313928,7.99999999999999
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10850998.01,438780.075,191189575.26999998,124273223.93,362.8469,372963.06,65817.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.3402250000001,477629.96998655255,734815.3384142419,676030.1113411026,-58785.22707313928,58785.22707313928,7.99999999999999
2026-08-28,28,2026-08-01,True,TOLIMA,9121834.45,438780.075,191189575.26999998,124273223.93,362.8469,372963.06,65817.01,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.3402250000001,477629.96998655255,734815.3384142419,676030.1113411026,-58785.22707313928,58785.22707313928,7.99999999999999
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25415661.64,312529.65125,161514031.73000002,104984120.62,363.5664,265650.2,46879.45,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.58895375,340875.840594654,524424.3701681003,482470.42055465234,-41953.949613448,41953.949613448,7.999999999999995
2026-08-29,29,2026-08-01,True,BOGOTA,35954551.8,312529.65125,161514031.73000002,104984120.62,363.5664,265650.2,46879.45,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.58895375,340875.840594654,524424.3701681003,482470.42055465234,-41953.949613448,41953.949613448,7.999999999999995
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28323762.62,312529.65125,161514031.73000002,104984120.62,363.5664,265650.2,46879.45,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.58895375,340875.840594654,524424.3701681003,482470.42055465234,-41953.949613448,41953.949613448,7.999999999999995
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22343753.98,312529.65125,161514031.73000002,104984120.62,363.5664,265650.2,46879.45,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.58895375,340875.840594654,524424.3701681003,482470.42055465234,-41953.949613448,41953.949613448,7.999999999999995
2026-08-29,29,2026-08-01,True,VALLE,18496247.96,312529.65125,161514031.73000002,104984120.62,363.5664,265650.2,46879.45,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.58895375,340875.840594654,524424.3701681003,482470.42055465234,-41953.949613448,41953.949613448,7.999999999999995
2026-08-29,29,2026-08-01,True,SANTANDER,14223805.37,312529.65125,161514031.73000002,104984120.62,363.5664,265650.2,46879.45,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.58895375,340875.840594654,524424.3701681003,482470.42055465234,-41953.949613448,41953.949613448,7.999999999999995
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9183842.15,312529.65125,161514031.73000002,104984120.62,363.5664,265650.2,46879.45,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.58895375,340875.840594654,524424.3701681003,482470.42055465234,-41953.949613448,41953.949613448,7.999999999999995
2026-08-29,29,2026-08-01,True,TOLIMA,7572406.21,312529.65125,161514031.73000002,104984120.62,363.5664,265650.2,46879.45,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.58895375,340875.840594654,524424.3701681003,482470.42055465234,-41953.949613448,41953.949613448,7.999999999999995
