Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,148222500.0,125989124.96000001,22233375.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,149210650.0,126829052.48,22381597.520000003,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,150198800.0,127668980.0,22529820.0,85.0,15.0,159.20999999999998,47546.54000000001,244.95000000000002,225.34,-19.599999999999998,19.599999999999998
2024-04-01,HISTORICO,151186950.0,128508907.52,22678042.479999997,85.0,15.0,158.91000000000003,46022.619999999995,244.45999999999998,224.92,-19.56,19.56
2024-05-01,HISTORICO,152175100.0,129348835.03999999,22826265.039999995,85.0,15.0,165.48000000000002,46111.119999999995,254.60000000000002,234.22,-20.37,20.37
2024-06-01,HISTORICO,153163250.0,130188762.48,22974487.520000003,85.0,15.0,173.67000000000002,48303.75000000001,267.19,245.82000000000005,-21.380000000000003,21.380000000000003
2024-07-01,HISTORICO,154151400.0,131028690.0,23122710.0,85.0,15.0,175.7,51096.15000000001,270.32,248.70000000000005,-21.630000000000003,21.630000000000003
2024-08-01,HISTORICO,155139550.0,131868617.52,23270932.479999997,85.0,15.0,169.65,52142.890000000014,261.0,240.10999999999999,-20.88,20.88
2024-09-01,HISTORICO,156127700.0,132708544.96000001,23419155.039999995,85.0,15.0,162.04,51018.75,249.3,229.37,-19.93,19.93
2024-10-01,HISTORICO,157115850.0,133548472.48,23567377.520000003,85.0,15.0,159.67999999999998,49292.149999999994,245.67,226.01000000000005,-19.66,19.66
2024-11-01,HISTORICO,158104000.0,134388400.0,23715600.0,85.0,15.0,164.39,48798.67999999999,252.91,232.67000000000002,-20.240000000000002,20.240000000000002
2024-12-01,HISTORICO,159092150.0,135228327.52,23863822.479999997,85.0,15.0,172.53000000000003,50466.590000000004,265.43,244.22,-21.240000000000002,21.240000000000002
2025-01-01,HISTORICO,160080300.0,136068255.04,24012045.039999995,85.0,15.0,176.70999999999998,53355.259999999995,271.84,250.09000000000003,-21.740000000000002,21.740000000000002
2025-02-01,HISTORICO,161068450.0,136908182.48,24160267.520000003,85.0,15.0,172.71999999999997,55065.69,265.71999999999997,244.45999999999998,-21.26,21.26
2025-03-01,HISTORICO,162056600.0,137748110.0,24308490.0,85.0,15.0,165.07000000000002,54450.030000000006,253.96,233.64000000000001,-20.310000000000002,20.310000000000002
2025-04-01,HISTORICO,163044750.0,138588037.52,24456712.479999997,85.0,15.0,160.96,52675.520000000004,247.63000000000002,227.82000000000002,-19.8,19.8
2025-05-01,HISTORICO,164032900.0,139427964.96,24604935.039999995,85.0,15.0,163.68,51670.42,251.82,231.67000000000002,-20.150000000000002,20.150000000000002
2025-06-01,HISTORICO,165021050.0,140267892.48,24753157.520000003,85.0,15.0,171.18,52733.21,263.34,242.26999999999998,-21.060000000000002,21.060000000000002
2025-07-01,HISTORICO,166009200.0,141107820.0,24901380.0,85.0,15.0,176.92000000000002,55505.04999999999,272.18,250.42,-21.769999999999996,21.769999999999996
2025-08-01,HISTORICO,166997350.0,141947747.52,25049602.479999997,85.0,15.0,175.21999999999997,57780.119999999995,269.58000000000004,248.02000000000004,-21.549999999999997,21.549999999999997
2025-09-01,HISTORICO,167985500.0,142787675.04,25197825.039999995,85.0,15.0,168.14000000000001,57789.0,258.68,237.98,-20.7,20.7
2025-10-01,HISTORICO,168973650.0,143627602.48,25346047.520000003,85.0,15.0,162.68999999999997,56134.51,250.28000000000003,230.27,-20.03,20.03
2025-11-01,HISTORICO,169961800.0,144467530.0,25494270.0,85.0,15.0,163.4,54719.909999999996,251.39000000000001,231.28,-20.1,20.1
2025-12-01,HISTORICO,170949950.0,145307457.52,25642492.479999997,85.0,15.0,169.78000000000003,55145.64000000001,261.19,240.3,-20.9,20.9
2026-01-01,HISTORICO,171938100.0,146147384.96,25790715.039999995,85.0,15.0,176.49,57607.630000000005,271.52,249.79000000000002,-21.729999999999997,21.729999999999997
2026-02-01,HISTORICO,172926250.0,146987312.48,25938937.520000003,85.0,15.0,177.07,60289.619999999995,272.39,250.61000000000004,-21.78,21.78
2026-03-01,HISTORICO,173914400.0,147827240.0,26087160.0,85.0,15.0,171.10999999999999,60987.90000000001,263.24,242.17,-21.060000000000002,21.060000000000002
2026-04-01,HISTORICO,174902550.0,148667167.52,26235382.479999997,85.0,15.0,164.78000000000003,59624.15999999999,253.49999999999997,233.23000000000002,-20.270000000000003,20.270000000000003
2026-05-01,HISTORICO,175890700.0,149507095.04,26383605.039999995,85.0,15.0,163.61,57929.8,251.70999999999998,231.57999999999998,-20.150000000000002,20.150000000000002
2026-06-01,HISTORICO,176878850.0,150347022.48,26531827.520000003,85.0,15.0,168.53000000000003,57731.67,259.29,238.56,-20.74,20.74
2026-07-01,HISTORICO,177867000.0,151186950.0,26680050.0,85.0,15.0,175.58,59727.34999999999,270.13,248.51000000000002,-21.61,21.61
2026-08-01,HISTORICO,190895881.35999998,162261499.20000002,28634382.16,85.0,15.0,36300.340000000004,13207881.86,20223755.57,18605855.150000002,-1617900.4100000001,1617900.4100000001
2026-09-01,HISTORICO,277745636.96,236083791.36000007,41661845.6,85.0,15.0,293880.82999999996,107667046.64,165543403.72,152299931.45,-13243472.259999998,13243472.259999998
2026-10-01,HISTORICO,282215191.03999996,239882912.40000004,42332278.71999999,85.0,15.0,304318.34,112955007.16,173680122.64999998,159785712.81000003,-13894409.770000001,13894409.770000001
2026-11-01,HISTORICO,280554624.48,238471430.79999995,42083193.68000001,85.0,15.0,296369.32,110627436.85000001,170102043.89,156493880.38,-13608163.52,13608163.52
2026-12-01,HISTORICO,286912005.35999995,243875204.55999997,43036800.8,85.0,15.0,312480.36,118530961.47999999,182262498.68,167681498.77,-14580999.89,14580999.89
2027-01-01,HISTORICO,286814898.24,243792663.59999993,43022234.8,85.0,15.0,309231.31,119181566.36999999,183261256.99,168600356.41,-14660900.600000001,14660900.600000001
2027-02-01,HISTORICO,279856688.32,237878185.03999996,41978503.279999994,85.0,15.0,285396.52,110465821.09,169847981.98,156260143.45999998,-13587838.54,13587838.54
