Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30329234.16,438593.3275,191108203.54000002,124220332.3,362.8469,372804.33,65789.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.7799825,477426.68773217924,734502.5965169581,675742.3887956014,-58760.20772135665,58760.20772135665,8.0
2026-08-28,28,2026-08-01,True,BOGOTA,41695493.71,438593.3275,191108203.54000002,124220332.3,362.8469,372804.33,65789.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.7799825,477426.68773217924,734502.5965169581,675742.3887956014,-58760.20772135665,58760.20772135665,8.0
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34004210.02,438593.3275,191108203.54000002,124220332.3,362.8469,372804.33,65789.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.7799825,477426.68773217924,734502.5965169581,675742.3887956014,-58760.20772135665,58760.20772135665,8.0
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26613137.93,438593.3275,191108203.54000002,124220332.3,362.8469,372804.33,65789.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.7799825,477426.68773217924,734502.5965169581,675742.3887956014,-58760.20772135665,58760.20772135665,8.0
2026-08-28,28,2026-08-01,True,VALLE,21874704.56,438593.3275,191108203.54000002,124220332.3,362.8469,372804.33,65789.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.7799825,477426.68773217924,734502.5965169581,675742.3887956014,-58760.20772135665,58760.20772135665,8.0
2026-08-28,28,2026-08-01,True,SANTANDER,16707854.34,438593.3275,191108203.54000002,124220332.3,362.8469,372804.33,65789.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.7799825,477426.68773217924,734502.5965169581,675742.3887956014,-58760.20772135665,58760.20772135665,8.0
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10906242.57,438593.3275,191108203.54000002,124220332.3,362.8469,372804.33,65789.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.7799825,477426.68773217924,734502.5965169581,675742.3887956014,-58760.20772135665,58760.20772135665,8.0
2026-08-28,28,2026-08-01,True,TOLIMA,8977326.25,438593.3275,191108203.54000002,124220332.3,362.8469,372804.33,65789.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.7799825,477426.68773217924,734502.5965169581,675742.3887956014,-58760.20772135665,58760.20772135665,8.0
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25705578.02,313869.43625,162206427.29,105434177.74,363.5664,266789.02,47080.42,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.6083087500001,342337.14302232605,526672.5277191625,484538.7255016295,-42133.802217533,42133.802217533,7.999999999999999
2026-08-29,29,2026-08-01,True,BOGOTA,35656318.55,313869.43625,162206427.29,105434177.74,363.5664,266789.02,47080.42,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.6083087500001,342337.14302232605,526672.5277191625,484538.7255016295,-42133.802217533,42133.802217533,7.999999999999999
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28449284.61,313869.43625,162206427.29,105434177.74,363.5664,266789.02,47080.42,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.6083087500001,342337.14302232605,526672.5277191625,484538.7255016295,-42133.802217533,42133.802217533,7.999999999999999
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22548785.09,313869.43625,162206427.29,105434177.74,363.5664,266789.02,47080.42,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.6083087500001,342337.14302232605,526672.5277191625,484538.7255016295,-42133.802217533,42133.802217533,7.999999999999999
2026-08-29,29,2026-08-01,True,VALLE,18649887.63,313869.43625,162206427.29,105434177.74,363.5664,266789.02,47080.42,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.6083087500001,342337.14302232605,526672.5277191625,484538.7255016295,-42133.802217533,42133.802217533,7.999999999999999
2026-08-29,29,2026-08-01,True,SANTANDER,14248131.92,313869.43625,162206427.29,105434177.74,363.5664,266789.02,47080.42,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.6083087500001,342337.14302232605,526672.5277191625,484538.7255016295,-42133.802217533,42133.802217533,7.999999999999999
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9283634.33,313869.43625,162206427.29,105434177.74,363.5664,266789.02,47080.42,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.6083087500001,342337.14302232605,526672.5277191625,484538.7255016295,-42133.802217533,42133.802217533,7.999999999999999
2026-08-29,29,2026-08-01,True,TOLIMA,7664807.14,313869.43625,162206427.29,105434177.74,363.5664,266789.02,47080.42,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.6083087500001,342337.14302232605,526672.5277191625,484538.7255016295,-42133.802217533,42133.802217533,7.999999999999999
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25292686.15,312561.195,161530333.54999998,104994716.81,364.2743,265677.02,46884.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.683585,341574.0315473655,525498.5100603574,483458.62925552885,-42039.88080482854,42039.88080482854,7.99999999999999
2026-08-30,30,2026-08-01,True,BOGOTA,35739418.1,312561.195,161530333.54999998,104994716.81,364.2743,265677.02,46884.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.683585,341574.0315473655,525498.5100603574,483458.62925552885,-42039.88080482854,42039.88080482854,7.99999999999999
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28863763.3,312561.195,161530333.54999998,104994716.81,364.2743,265677.02,46884.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.683585,341574.0315473655,525498.5100603574,483458.62925552885,-42039.88080482854,42039.88080482854,7.99999999999999
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22413592.09,312561.195,161530333.54999998,104994716.81,364.2743,265677.02,46884.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.683585,341574.0315473655,525498.5100603574,483458.62925552885,-42039.88080482854,42039.88080482854,7.99999999999999
2026-08-30,30,2026-08-01,True,VALLE,18192706.19,312561.195,161530333.54999998,104994716.81,364.2743,265677.02,46884.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.683585,341574.0315473655,525498.5100603574,483458.62925552885,-42039.88080482854,42039.88080482854,7.99999999999999
2026-08-30,30,2026-08-01,True,SANTANDER,14143142.31,312561.195,161530333.54999998,104994716.81,364.2743,265677.02,46884.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.683585,341574.0315473655,525498.5100603574,483458.62925552885,-42039.88080482854,42039.88080482854,7.99999999999999
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9258371.34,312561.195,161530333.54999998,104994716.81,364.2743,265677.02,46884.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.683585,341574.0315473655,525498.5100603574,483458.62925552885,-42039.88080482854,42039.88080482854,7.99999999999999
2026-08-30,30,2026-08-01,True,TOLIMA,7626654.07,312561.195,161530333.54999998,104994716.81,364.2743,265677.02,46884.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),937.683585,341574.0315473655,525498.5100603574,483458.62925552885,-42039.88080482854,42039.88080482854,7.99999999999999
2026-08-31,31,2026-08-01,True,ANTIOQUIA,30543869.02,440067.46,191750527.38,124637842.8,364.9592,374057.34,66010.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.2023800000002,481820.00444289605,741261.5452789211,681960.6216566075,-59300.923622313654,59300.923622313654,7.999999999999995
2026-08-31,31,2026-08-01,True,BOGOTA,42408425.65,440067.46,191750527.38,124637842.8,364.9592,374057.34,66010.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.2023800000002,481820.00444289605,741261.5452789211,681960.6216566075,-59300.923622313654,59300.923622313654,7.999999999999995
2026-08-31,31,2026-08-01,True,CARIBE_MAR,33725337.95,440067.46,191750527.38,124637842.8,364.9592,374057.34,66010.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.2023800000002,481820.00444289605,741261.5452789211,681960.6216566075,-59300.923622313654,59300.923622313654,7.999999999999995
2026-08-31,31,2026-08-01,True,CARIBE_SOL,26706773.26,440067.46,191750527.38,124637842.8,364.9592,374057.34,66010.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.2023800000002,481820.00444289605,741261.5452789211,681960.6216566075,-59300.923622313654,59300.923622313654,7.999999999999995
2026-08-31,31,2026-08-01,True,VALLE,21797917.73,440067.46,191750527.38,124637842.8,364.9592,374057.34,66010.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.2023800000002,481820.00444289605,741261.5452789211,681960.6216566075,-59300.923622313654,59300.923622313654,7.999999999999995
2026-08-31,31,2026-08-01,True,SANTANDER,16729245.6,440067.46,191750527.38,124637842.8,364.9592,374057.34,66010.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.2023800000002,481820.00444289605,741261.5452789211,681960.6216566075,-59300.923622313654,59300.923622313654,7.999999999999995
