Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,161707500.0,137451375.04,24256125.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,162785550.0,138367717.52,24417832.479999997,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,163863600.0,139284060.0,24579540.0,85.0,15.0,173.7,51872.229999999996,267.22,245.85000000000002,-21.380000000000003,21.380000000000003
2024-04-01,HISTORICO,164941650.0,140200402.48,24741247.520000003,85.0,15.0,173.35,50209.659999999996,266.72,245.37,-21.33,21.33
2024-05-01,HISTORICO,166019700.0,141116744.96,24902955.039999995,85.0,15.0,180.54,50306.24,277.74,255.53,-22.21,22.21
2024-06-01,HISTORICO,167097750.0,142033087.52,25064662.479999997,85.0,15.0,189.49,52698.32,291.51000000000005,268.2,-23.319999999999997,23.319999999999997
2024-07-01,HISTORICO,168175800.0,142949430.0,25226370.0,85.0,15.0,191.68,55744.78999999999,294.91,271.31,-23.59,23.59
2024-08-01,HISTORICO,169253850.0,143865772.48,25388077.520000003,85.0,15.0,185.09,56886.75,284.74,261.98,-22.77,22.77
2024-09-01,HISTORICO,170331900.0,144782115.04,25549785.039999995,85.0,15.0,176.8,55660.32,271.98,250.22000000000003,-21.75,21.75
2024-10-01,HISTORICO,171409950.0,145698457.52,25711492.479999997,85.0,15.0,174.21,53776.65999999999,268.01,246.57999999999998,-21.44,21.44
2024-11-01,HISTORICO,172488000.0,146614800.0,25873200.0,85.0,15.0,179.34,53238.29,275.93,253.83999999999997,-22.060000000000002,22.060000000000002
2024-12-01,HISTORICO,173566050.0,147531142.48,26034907.520000003,85.0,15.0,188.25,55057.939999999995,289.59999999999997,266.41999999999996,-23.18,23.18
2025-01-01,HISTORICO,174644100.0,148447484.96,26196615.039999995,85.0,15.0,192.79000000000002,58209.399999999994,296.58,272.85,-23.720000000000006,23.720000000000006
2025-02-01,HISTORICO,175722150.0,149363827.52,26358322.479999997,85.0,15.0,188.44,60075.450000000004,289.9100000000001,266.72,-23.200000000000003,23.200000000000003
2025-03-01,HISTORICO,176800200.0,150280170.0,26520030.0,85.0,15.0,180.1,59403.8,277.04999999999995,254.89,-22.180000000000003,22.180000000000003
2025-04-01,HISTORICO,177878250.0,151196512.48,26681737.520000003,85.0,15.0,175.6,57467.83,270.15999999999997,248.54,-21.61,21.61
2025-05-01,HISTORICO,178956300.0,152112855.04,26843445.039999995,85.0,15.0,178.57999999999998,56371.299999999996,274.71999999999997,252.74,-21.98,21.98
2025-06-01,HISTORICO,180034350.0,153029197.52,27005152.479999997,85.0,15.0,186.74000000000004,57530.770000000004,287.29,264.32,-23.0,23.0
2025-07-01,HISTORICO,181112400.0,153945540.0,27166860.0,85.0,15.0,193.01,60554.8,296.94999999999993,273.19,-23.770000000000003,23.770000000000003
2025-08-01,HISTORICO,182190450.0,154861882.48,27328567.520000003,85.0,15.0,191.16,63036.85,294.10999999999996,270.58000000000004,-23.54,23.54
2025-09-01,HISTORICO,183268500.0,155778224.96,27490275.039999995,85.0,15.0,183.44,63046.54,282.20000000000005,259.64,-22.57,22.57
2025-10-01,HISTORICO,184346550.0,156694567.52,27651982.479999997,85.0,15.0,177.49,61241.520000000004,273.06,251.21,-21.84,21.84
2025-11-01,HISTORICO,185424600.0,157610910.0,27813690.0,85.0,15.0,178.27999999999997,59698.25,274.2699999999999,252.34,-21.96,21.96
2025-12-01,HISTORICO,186502650.0,158527252.48,27975397.520000003,85.0,15.0,185.23,60162.67,284.96,262.16999999999996,-22.789999999999996,22.789999999999996
2026-01-01,HISTORICO,187580700.0,159443595.04,28137105.039999995,85.0,15.0,192.54000000000002,62848.67000000001,296.21999999999997,272.52,-23.700000000000003,23.700000000000003
2026-02-01,HISTORICO,188658750.0,160359937.52,28298812.479999997,85.0,15.0,193.16000000000003,65774.66,297.17,273.40000000000003,-23.770000000000003,23.770000000000003
2026-03-01,HISTORICO,189736800.0,161276280.0,28460520.0,85.0,15.0,186.67,66536.48,287.19,264.19000000000005,-22.97,22.97
2026-04-01,HISTORICO,190814850.0,162192622.48,28622227.520000003,85.0,15.0,179.78000000000003,65048.630000000005,276.57,254.44999999999996,-22.130000000000003,22.130000000000003
2026-05-01,HISTORICO,191892900.0,163108964.96,28783935.039999995,85.0,15.0,178.51,63200.12000000001,274.61,252.64999999999998,-21.97,21.97
2026-06-01,HISTORICO,192970950.0,164025307.52,28945642.479999997,85.0,15.0,183.85999999999999,62983.99,282.88,260.24,-22.630000000000003,22.630000000000003
2026-07-01,HISTORICO,194049000.0,164941650.0,29107350.0,85.0,15.0,191.55,65161.23,294.67999999999995,271.10999999999996,-23.580000000000002,23.580000000000002
2026-08-01,HISTORICO,207203632.72000003,176123087.76,31080544.96,85.0,15.0,36424.15000000001,13252702.969999999,20283971.540000003,18661253.86,-1622717.7599999998,1622717.7599999998
2026-09-01,HISTORICO,294076447.52,249964980.48000002,44111467.2,85.0,15.0,293803.70000000007,107638377.33999997,165490362.51000002,152251133.5,-13239229.009999998,13239229.009999998
2026-10-01,HISTORICO,298687630.24,253884485.68000004,44803144.480000004,85.0,15.0,304395.79,112982191.94,173713137.66000003,159816086.64000002,-13897051.000000002,13897051.000000002
2026-11-01,HISTORICO,296921124.40000004,252382955.76,44538168.63999999,85.0,15.0,295859.0,110437270.42999999,169800927.14,156216852.9,-13584074.139999997,13584074.139999997
2026-12-01,HISTORICO,303574966.8,258038721.76,45536245.04,85.0,15.0,312589.93,118572991.46999998,182318715.01,167733217.76999995,-14585497.220000003,14585497.220000003
2027-01-01,HISTORICO,303642369.35999995,258096013.92000005,45546355.44,85.0,15.0,309565.44,119309868.65000002,183450002.19,168774001.98000002,-14676000.219999999,14676000.219999999
