Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,181935000.0,154644750.0,27290250.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,183147900.0,155675715.04,27472185.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,184360800.0,156706680.0,27654120.0,85.0,15.0,195.41,58360.770000000004,300.65,276.6,-24.05,24.05
2024-04-01,HISTORICO,185573700.0,157737644.96,27836055.039999995,85.0,15.0,195.06,56490.229999999996,300.08,276.07000000000005,-24.01,24.01
2024-05-01,HISTORICO,186786600.0,158768610.0,28017990.0,85.0,15.0,203.11,56598.89,312.4800000000001,287.48,-24.999999999999996,24.999999999999996
2024-06-01,HISTORICO,187999500.0,159799575.04,28199925.039999995,85.0,15.0,213.2,59290.20999999999,327.97,301.72999999999996,-26.24,26.24
2024-07-01,HISTORICO,189212400.0,160830540.0,28381860.0,85.0,15.0,215.67000000000004,62717.740000000005,331.78999999999996,305.25,-26.540000000000006,26.540000000000006
2024-08-01,HISTORICO,190425300.0,161861504.96,28563795.039999995,85.0,15.0,208.21999999999997,64002.54,320.36,294.74,-25.63,25.63
2024-09-01,HISTORICO,191638200.0,162892470.0,28745730.0,85.0,15.0,198.9,62622.71000000001,306.01,281.53,-24.48,24.48
2024-10-01,HISTORICO,192851100.0,163923435.04,28927665.039999995,85.0,15.0,196.01000000000002,60503.40000000001,301.56,277.43,-24.130000000000003,24.130000000000003
2024-11-01,HISTORICO,194064000.0,164954400.0,29109600.0,85.0,15.0,201.8,59897.70999999999,310.43,285.59999999999997,-24.84,24.84
2024-12-01,HISTORICO,195276900.0,165985364.96,29291535.039999995,85.0,15.0,211.77,61944.97,325.82,299.75000000000006,-26.060000000000002,26.060000000000002
2025-01-01,HISTORICO,196489800.0,167016330.0,29473470.0,85.0,15.0,216.88999999999996,65490.63,333.68,306.99,-26.700000000000003,26.700000000000003
2025-02-01,HISTORICO,197702700.0,168047295.04,29655405.039999995,85.0,15.0,212.01999999999998,67590.09999999999,326.17,300.08,-26.080000000000002,26.080000000000002
2025-03-01,HISTORICO,198915600.0,169078260.0,29837340.0,85.0,15.0,202.61,66834.43,311.71999999999997,286.78,-24.939999999999998,24.939999999999998
2025-04-01,HISTORICO,200128500.0,170109224.96,30019275.039999995,85.0,15.0,197.57,64656.31,303.96,279.64,-24.33,24.33
2025-05-01,HISTORICO,201341400.0,171140190.0,30201210.0,85.0,15.0,200.92,63422.60999999999,309.08000000000004,284.36,-24.719999999999995,24.719999999999995
2025-06-01,HISTORICO,202554300.0,172171155.04,30383145.039999995,85.0,15.0,210.10000000000002,64727.130000000005,323.21999999999997,297.38,-25.86,25.86
2025-07-01,HISTORICO,203767200.0,173202120.0,30565080.0,85.0,15.0,217.15,68129.40999999999,334.08,307.36,-26.73,26.73
2025-08-01,HISTORICO,204980100.0,174233084.96,30747015.039999995,85.0,15.0,215.08,70921.93,330.9,304.41999999999996,-26.479999999999997,26.479999999999997
2025-09-01,HISTORICO,206193000.0,175264050.0,30928950.0,85.0,15.0,206.39000000000001,70932.82,317.51,292.1,-25.4,25.4
2025-10-01,HISTORICO,207405900.0,176295015.04,31110885.039999995,85.0,15.0,199.7,68902.04000000001,307.22,282.63,-24.579999999999995,24.579999999999995
2025-11-01,HISTORICO,208618800.0,177325980.0,31292820.0,85.0,15.0,200.58000000000004,67165.71,308.57000000000005,283.89000000000004,-24.679999999999996,24.679999999999996
2025-12-01,HISTORICO,209831700.0,178356944.96,31474755.039999995,85.0,15.0,208.40000000000003,67688.23000000001,320.61,294.96,-25.650000000000002,25.650000000000002
