Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30299484.48,441058.02,192182144.04999998,124918393.63,362.8469,374899.32,66158.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.17406,480109.60583141405,738630.1628323423,679539.749805755,-59090.41302658734,59090.41302658734,7.999999999999993
2026-08-28,28,2026-08-01,True,BOGOTA,42626392.19,441058.02,192182144.04999998,124918393.63,362.8469,374899.32,66158.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.17406,480109.60583141405,738630.1628323423,679539.749805755,-59090.41302658734,59090.41302658734,7.999999999999993
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34082697.95,441058.02,192182144.04999998,124918393.63,362.8469,374899.32,66158.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.17406,480109.60583141405,738630.1628323423,679539.749805755,-59090.41302658734,59090.41302658734,7.999999999999993
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26636113.44,441058.02,192182144.04999998,124918393.63,362.8469,374899.32,66158.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.17406,480109.60583141405,738630.1628323423,679539.749805755,-59090.41302658734,59090.41302658734,7.999999999999993
2026-08-28,28,2026-08-01,True,VALLE,21614878.58,441058.02,192182144.04999998,124918393.63,362.8469,374899.32,66158.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.17406,480109.60583141405,738630.1628323423,679539.749805755,-59090.41302658734,59090.41302658734,7.999999999999993
2026-08-28,28,2026-08-01,True,SANTANDER,16851541.54,441058.02,192182144.04999998,124918393.63,362.8469,374899.32,66158.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.17406,480109.60583141405,738630.1628323423,679539.749805755,-59090.41302658734,59090.41302658734,7.999999999999993
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10939638.22,441058.02,192182144.04999998,124918393.63,362.8469,374899.32,66158.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.17406,480109.60583141405,738630.1628323423,679539.749805755,-59090.41302658734,59090.41302658734,7.999999999999993
2026-08-28,28,2026-08-01,True,TOLIMA,9131397.65,441058.02,192182144.04999998,124918393.63,362.8469,374899.32,66158.7,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1323.17406,480109.60583141405,738630.1628323423,679539.749805755,-59090.41302658734,59090.41302658734,7.999999999999993
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25443679.93,312672.34625,161587775.64,105032054.17,363.5664,265771.49,46900.85,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.01703875,341031.477916998,524663.8121600158,482690.7071872146,-41973.10497280123,41973.10497280123,7.999999999999993
2026-08-29,29,2026-08-01,True,BOGOTA,35272452.29,312672.34625,161587775.64,105032054.17,363.5664,265771.49,46900.85,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.01703875,341031.477916998,524663.8121600158,482690.7071872146,-41973.10497280123,41973.10497280123,7.999999999999993
