Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,73620000.0,62577000.0,11043000.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,74110800.0,62994180.0,11116620.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,74601600.0,63411360.0,11190240.0,85.0,15.0,79.07,23615.69,121.66999999999999,111.94,-9.74,9.74
2024-04-01,HISTORICO,75092400.0,63828540.0,11263860.0,85.0,15.0,78.92000000000002,22858.77,121.41999999999999,111.72000000000003,-9.72,9.72
2024-05-01,HISTORICO,75583200.0,64245720.0,11337480.0,85.0,15.0,82.19,22902.74,126.44000000000001,116.34,-10.110000000000001,10.110000000000001
2024-06-01,HISTORICO,76074000.0,64662900.0,11411100.0,85.0,15.0,86.27,23991.79,132.72,122.1,-10.61,10.61
2024-07-01,HISTORICO,76564800.0,65080080.0,11484720.0,85.0,15.0,87.26999999999998,25378.730000000003,134.26999999999998,123.51000000000002,-10.74,10.74
2024-08-01,HISTORICO,77055600.0,65497260.0,11558340.0,85.0,15.0,84.26999999999998,25898.630000000005,129.63,119.25,-10.379999999999999,10.379999999999999
2024-09-01,HISTORICO,77546400.0,65914440.0,11631960.0,85.0,15.0,80.48,25340.29,123.82000000000001,113.92,-9.89,9.89
2024-10-01,HISTORICO,78037200.0,66331620.0,11705580.0,85.0,15.0,79.31,24482.72,122.03,112.26,-9.75,9.75
2024-11-01,HISTORICO,78528000.0,66748800.0,11779200.0,85.0,15.0,81.64,24237.61,125.61999999999998,115.57000000000002,-10.060000000000002,10.060000000000002
2024-12-01,HISTORICO,79018800.0,67165980.0,11852820.0,85.0,15.0,85.7,25066.04,131.84,121.28999999999999,-10.54,10.54
2025-01-01,HISTORICO,79509600.0,67583160.0,11926440.0,85.0,15.0,87.75,26500.789999999994,135.03,124.20999999999998,-10.799999999999999,10.799999999999999
2025-02-01,HISTORICO,80000400.0,68000340.0,12000060.0,85.0,15.0,85.78999999999999,27350.339999999997,131.99999999999997,121.41999999999999,-10.569999999999999,10.569999999999999
2025-03-01,HISTORICO,80491200.0,68417520.0,12073680.0,85.0,15.0,81.98,27044.550000000003,126.13,116.05000000000001,-10.090000000000002,10.090000000000002
2025-04-01,HISTORICO,80982000.0,68834700.0,12147300.0,85.0,15.0,79.94,26163.179999999997,122.99000000000001,113.15999999999998,-9.850000000000001,9.850000000000001
2025-05-01,HISTORICO,81472800.0,69251880.0,12220920.0,85.0,15.0,81.28999999999999,25663.959999999995,125.07,115.06,-10.010000000000002,10.010000000000002
2025-06-01,HISTORICO,81963600.0,69669060.0,12294540.0,85.0,15.0,85.01,26191.83,130.79000000000002,120.33,-10.46,10.46
