Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,29996243.82,438642.13,191129468.36,124234154.43,362.8469,372845.81,65796.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.92639,477479.81123969104,734584.3250077916,675817.5790071683,-58766.74600062333,58766.74600062333,8.0
2026-08-28,28,2026-08-01,True,BOGOTA,42404487.1,438642.13,191129468.36,124234154.43,362.8469,372845.81,65796.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.92639,477479.81123969104,734584.3250077916,675817.5790071683,-58766.74600062333,58766.74600062333,8.0
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33902064.16,438642.13,191129468.36,124234154.43,362.8469,372845.81,65796.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.92639,477479.81123969104,734584.3250077916,675817.5790071683,-58766.74600062333,58766.74600062333,8.0
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26165836.07,438642.13,191129468.36,124234154.43,362.8469,372845.81,65796.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.92639,477479.81123969104,734584.3250077916,675817.5790071683,-58766.74600062333,58766.74600062333,8.0
2026-08-28,28,2026-08-01,True,VALLE,21958653.83,438642.13,191129468.36,124234154.43,362.8469,372845.81,65796.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.92639,477479.81123969104,734584.3250077916,675817.5790071683,-58766.74600062333,58766.74600062333,8.0
2026-08-28,28,2026-08-01,True,SANTANDER,16885393.34,438642.13,191129468.36,124234154.43,362.8469,372845.81,65796.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.92639,477479.81123969104,734584.3250077916,675817.5790071683,-58766.74600062333,58766.74600062333,8.0
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10786242.16,438642.13,191129468.36,124234154.43,362.8469,372845.81,65796.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.92639,477479.81123969104,734584.3250077916,675817.5790071683,-58766.74600062333,58766.74600062333,8.0
2026-08-28,28,2026-08-01,True,TOLIMA,9030547.88,438642.13,191129468.36,124234154.43,362.8469,372845.81,65796.32,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.92639,477479.81123969104,734584.3250077916,675817.5790071683,-58766.74600062333,58766.74600062333,8.0
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25379738.79,310668.455,160552173.39000002,104358912.7,363.5664,264068.19,46600.27,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),932.0053650000001,338845.83533373603,521301.28514630813,479597.1823346035,-41704.10281170462,41704.10281170462,7.999999999999995
2026-08-29,29,2026-08-01,True,BOGOTA,35670605.74,310668.455,160552173.39000002,104358912.7,363.5664,264068.19,46600.27,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),932.0053650000001,338845.83533373603,521301.28514630813,479597.1823346035,-41704.10281170462,41704.10281170462,7.999999999999995
