Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30598926.02,439230.80375,191385971.14999998,124400881.25,362.8469,373346.18,65884.62,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.69241125,478120.60657558765,735570.1639476604,676724.5508318476,-58845.61311581277,58845.61311581277,7.999999999999992
2026-08-28,28,2026-08-01,True,BOGOTA,42222994.31,439230.80375,191385971.14999998,124400881.25,362.8469,373346.18,65884.62,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.69241125,478120.60657558765,735570.1639476604,676724.5508318476,-58845.61311581277,58845.61311581277,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33429369.3,439230.80375,191385971.14999998,124400881.25,362.8469,373346.18,65884.62,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.69241125,478120.60657558765,735570.1639476604,676724.5508318476,-58845.61311581277,58845.61311581277,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26740597.33,439230.80375,191385971.14999998,124400881.25,362.8469,373346.18,65884.62,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.69241125,478120.60657558765,735570.1639476604,676724.5508318476,-58845.61311581277,58845.61311581277,7.999999999999992
2026-08-28,28,2026-08-01,True,VALLE,21505807.46,439230.80375,191385971.14999998,124400881.25,362.8469,373346.18,65884.62,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.69241125,478120.60657558765,735570.1639476604,676724.5508318476,-58845.61311581277,58845.61311581277,7.999999999999992
2026-08-28,28,2026-08-01,True,SANTANDER,16989949.32,439230.80375,191385971.14999998,124400881.25,362.8469,373346.18,65884.62,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.69241125,478120.60657558765,735570.1639476604,676724.5508318476,-58845.61311581277,58845.61311581277,7.999999999999992
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10847121.77,439230.80375,191385971.14999998,124400881.25,362.8469,373346.18,65884.62,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.69241125,478120.60657558765,735570.1639476604,676724.5508318476,-58845.61311581277,58845.61311581277,7.999999999999992
2026-08-28,28,2026-08-01,True,TOLIMA,9051205.64,439230.80375,191385971.14999998,124400881.25,362.8469,373346.18,65884.62,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.69241125,478120.60657558765,735570.1639476604,676724.5508318476,-58845.61311581277,58845.61311581277,7.999999999999992
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25777325.31,314123.31,162337627.99,105519458.19,363.5664,267004.81,47118.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3699300000001,342614.042918352,527098.5275841788,484930.64537744457,-42167.88220673427,42167.88220673427,7.999999999999993
2026-08-29,29,2026-08-01,True,BOGOTA,35814045.28,314123.31,162337627.99,105519458.19,363.5664,267004.81,47118.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3699300000001,342614.042918352,527098.5275841788,484930.64537744457,-42167.88220673427,42167.88220673427,7.999999999999993
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28244546.88,314123.31,162337627.99,105519458.19,363.5664,267004.81,47118.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3699300000001,342614.042918352,527098.5275841788,484930.64537744457,-42167.88220673427,42167.88220673427,7.999999999999993
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22710121.02,314123.31,162337627.99,105519458.19,363.5664,267004.81,47118.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3699300000001,342614.042918352,527098.5275841788,484930.64537744457,-42167.88220673427,42167.88220673427,7.999999999999993
2026-08-29,29,2026-08-01,True,VALLE,18467642.23,314123.31,162337627.99,105519458.19,363.5664,267004.81,47118.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3699300000001,342614.042918352,527098.5275841788,484930.64537744457,-42167.88220673427,42167.88220673427,7.999999999999993
2026-08-29,29,2026-08-01,True,SANTANDER,14461541.04,314123.31,162337627.99,105519458.19,363.5664,267004.81,47118.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3699300000001,342614.042918352,527098.5275841788,484930.64537744457,-42167.88220673427,42167.88220673427,7.999999999999993
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9133629.62,314123.31,162337627.99,105519458.19,363.5664,267004.81,47118.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3699300000001,342614.042918352,527098.5275841788,484930.64537744457,-42167.88220673427,42167.88220673427,7.999999999999993
2026-08-29,29,2026-08-01,True,TOLIMA,7728776.61,314123.31,162337627.99,105519458.19,363.5664,267004.81,47118.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.3699300000001,342614.042918352,527098.5275841788,484930.64537744457,-42167.88220673427,42167.88220673427,7.999999999999993
2026-08-30,30,2026-08-01,True,ANTIOQUIA,24881102.6,311644.8,161056744.3,104686883.8,364.2743,264898.08,46746.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.9344,340572.57410592,523957.80629177496,482041.181788433,-41916.62450334197,41916.62450334197,7.999999999999995
2026-08-30,30,2026-08-01,True,BOGOTA,35533672.63,311644.8,161056744.3,104686883.8,364.2743,264898.08,46746.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.9344,340572.57410592,523957.80629177496,482041.181788433,-41916.62450334197,41916.62450334197,7.999999999999995
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28431365.14,311644.8,161056744.3,104686883.8,364.2743,264898.08,46746.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.9344,340572.57410592,523957.80629177496,482041.181788433,-41916.62450334197,41916.62450334197,7.999999999999995
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22590881.19,311644.8,161056744.3,104686883.8,364.2743,264898.08,46746.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.9344,340572.57410592,523957.80629177496,482041.181788433,-41916.62450334197,41916.62450334197,7.999999999999995
