Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,180412500.0,153350624.96,27061875.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,181615250.0,154372962.48,27242287.520000003,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,182818000.0,155395300.0,27422700.0,85.0,15.0,193.79,57872.39000000001,298.13,274.28,-23.849999999999998,23.849999999999998
2024-04-01,HISTORICO,184020750.0,156417637.52,27603112.479999997,85.0,15.0,193.42000000000002,56017.51,297.57,273.75,-23.8,23.8
2024-05-01,HISTORICO,185223500.0,157439975.04,27783525.039999995,85.0,15.0,201.42,56125.229999999996,309.88,285.09000000000003,-24.79,24.79
2024-06-01,HISTORICO,186426250.0,158462312.48,27963937.520000003,85.0,15.0,211.39,58794.04,325.22999999999996,299.21000000000004,-26.02,26.02
2024-07-01,HISTORICO,187629000.0,159484650.0,28144350.0,85.0,15.0,213.85,62192.869999999995,329.01000000000005,302.69,-26.310000000000002,26.310000000000002
2024-08-01,HISTORICO,188831750.0,160506987.52,28324762.479999997,85.0,15.0,206.5,63466.939999999995,317.67999999999995,292.28,-25.41,25.41
2024-09-01,HISTORICO,190034500.0,161529324.96,28505175.039999995,85.0,15.0,197.23000000000002,62098.65,303.45,279.17,-24.28,24.28
2024-10-01,HISTORICO,191237250.0,162551662.48,28685587.520000003,85.0,15.0,194.38,59997.100000000006,299.00999999999993,275.1,-23.919999999999998,23.919999999999998
2024-11-01,HISTORICO,192440000.0,163574000.0,28866000.0,85.0,15.0,200.09000000000003,59396.47,307.84999999999997,283.21000000000004,-24.639999999999997,24.639999999999997
2024-12-01,HISTORICO,193642750.0,164596337.52,29046412.479999997,85.0,15.0,210.0,61426.6,323.08000000000004,297.23999999999995,-25.86,25.86
2025-01-01,HISTORICO,194845500.0,165618675.04,29226825.039999995,85.0,15.0,215.07000000000002,64942.56999999999,330.9,304.41999999999996,-26.479999999999997,26.479999999999997
2025-02-01,HISTORICO,196048250.0,166641012.48,29407237.520000003,85.0,15.0,210.23999999999998,67024.49,323.44,297.57,-25.869999999999997,25.869999999999997
2025-03-01,HISTORICO,197251000.0,167663350.0,29587650.0,85.0,15.0,200.92999999999998,66275.14,309.11,284.39000000000004,-24.719999999999995,24.719999999999995
2025-04-01,HISTORICO,198453750.0,168685687.52,29768062.479999997,85.0,15.0,195.91000000000003,64115.23999999999,301.41,277.3,-24.11,24.11
