Período (Mes),Tipo de Registro,Código Agente,Rol PUI,Código Mercado,Mercado Comercialización,Demanda Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Mercado Actual (VR) [kWh],Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Transitorio Unitario (CRPUI) [COP/kWh],Cargo Competitivo Fijo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Participación Agente CNIOR [%],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%]
2024-01-01,HISTORICO,PLSC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,26928750.0,22889437.5,4039312.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,25000000.0,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,PLSC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,26928750.0,22889437.5,4039312.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,35000000.0,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,PLSC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,26928750.0,22889437.5,4039312.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,28000000.0,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,PLSC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,26928750.0,22889437.5,4039312.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,22000000.0,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,PLSC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,26928750.0,22889437.5,4039312.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,9000000.0,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,PLSC,CNIOR,SANTANDER,ESSA - SANTANDER,26928750.0,22889437.5,4039312.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,14000000.0,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,PLSC,CNIOR,TOLIMA,ELET - TOLIMA,26928750.0,22889437.5,4039312.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,7500000.0,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,PLSC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,26928750.0,22889437.5,4039312.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,18000000.0,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,PLSC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,27108275.0,23042033.75,4066241.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,25250000.0,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,PLSC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,27108275.0,23042033.75,4066241.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,35350000.0,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,PLSC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,27108275.0,23042033.75,4066241.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,28280000.0,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,PLSC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,27108275.0,23042033.75,4066241.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,22220000.0,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,PLSC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,27108275.0,23042033.75,4066241.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,9090000.0,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,PLSC,CNIOR,SANTANDER,ESSA - SANTANDER,27108275.0,23042033.75,4066241.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,14140000.0,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,PLSC,CNIOR,TOLIMA,ELET - TOLIMA,27108275.0,23042033.75,4066241.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,7575000.0,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,PLSC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,27108275.0,23042033.75,4066241.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,18180000.0,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,22.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,PLSC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,27287800.0,23194630.0,4093170.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,25500000.0,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,22.0954,36.5,10899.88,56.15,51.66,-4.49,4.49,8.0
2024-03-01,HISTORICO,PLSC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,27287800.0,23194630.0,4093170.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,35700000.0,35350000.0,3535000.0,295.1221,35000000.0,3570000.0,1.017e-05,0.0,355.78,355.78,327.32,22.0954,51.1,15259.83,78.61,72.32,-6.29,6.29,8.0
2024-03-01,HISTORICO,PLSC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,27287800.0,23194630.0,4093170.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,28560000.0,28280000.0,2828000.0,295.1221,28000000.0,2856000.0,1.017e-05,0.0,284.63,284.63,261.86,22.0954,40.88,12207.87,62.89,57.86,-5.03,5.03,8.0
2024-03-01,HISTORICO,PLSC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,27287800.0,23194630.0,4093170.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,22440000.0,22220000.0,2222000.0,295.1221,22000000.0,2244000.0,1.017e-05,0.0,223.64,223.64,205.75,22.0954,32.12,9591.89,49.41,45.46,-3.95,3.95,8.0
2024-03-01,HISTORICO,PLSC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,27287800.0,23194630.0,4093170.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,9180000.0,9090000.0,909000.0,295.1221,9000000.0,918000.0,1.017e-05,0.0,91.49,91.49,84.17,22.0954,13.14,3923.96,20.21,18.6,-1.62,1.62,8.0
2024-03-01,HISTORICO,PLSC,CNIOR,SANTANDER,ESSA - SANTANDER,27287800.0,23194630.0,4093170.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,14280000.0,14140000.0,1414000.0,295.1221,14000000.0,1428000.0,1.017e-05,0.0,142.31,142.31,130.93,22.0954,20.44,6103.93,31.44,28.93,-2.52,2.52,8.0
2024-03-01,HISTORICO,PLSC,CNIOR,TOLIMA,ELET - TOLIMA,27287800.0,23194630.0,4093170.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,7650000.0,7575000.0,757500.0,295.1221,7500000.0,765000.0,1.017e-05,0.0,76.24,76.24,70.14,22.0954,10.95,3269.96,16.85,15.5,-1.35,1.35,8.0
2024-03-01,HISTORICO,PLSC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,27287800.0,23194630.0,4093170.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,18360000.0,18180000.0,1818000.0,295.1221,18000000.0,1836000.0,1.017e-05,0.0,182.98,182.98,168.34,22.0954,26.28,7847.91,40.43,37.19,-3.23,3.23,8.0
2024-04-01,HISTORICO,PLSC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,27467325.0,23347226.25,4120098.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,25750000.0,25500000.0,2550000.0,298.6395,25250000.0,2575000.0,1.005e-05,0.0,253.65,253.65,233.36,22.0954,36.43,10550.52,56.05,51.56,-4.48,4.48,8.0
2024-04-01,HISTORICO,PLSC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,27467325.0,23347226.25,4120098.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,36050000.0,35700000.0,3570000.0,298.6395,35350000.0,3605000.0,1.005e-05,0.0,355.11,355.11,326.7,22.0954,51.0,14770.73,78.46,72.19,-6.28,6.28,8.0
2024-04-01,HISTORICO,PLSC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,27467325.0,23347226.25,4120098.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,28840000.0,28560000.0,2856000.0,298.6395,28280000.0,2884000.0,1.005e-05,0.0,284.09,284.09,261.36,22.0954,40.8,11816.59,62.77,57.75,-5.02,5.02,8.0
2024-04-01,HISTORICO,PLSC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,27467325.0,23347226.25,4120098.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,22660000.0,22440000.0,2244000.0,298.6395,22220000.0,2266000.0,1.005e-05,0.0,223.21,223.21,205.36,22.0954,32.06,9284.46,49.32,45.37,-3.95,3.95,8.0
2024-04-01,HISTORICO,PLSC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,27467325.0,23347226.25,4120098.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,9270000.0,9180000.0,918000.0,298.6395,9090000.0,927000.0,1.005e-05,0.0,91.31,91.31,84.01,22.0954,13.11,3798.19,20.18,18.56,-1.61,1.61,8.0
2024-04-01,HISTORICO,PLSC,CNIOR,SANTANDER,ESSA - SANTANDER,27467325.0,23347226.25,4120098.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,14420000.0,14280000.0,1428000.0,298.6395,14140000.0,1442000.0,1.005e-05,0.0,142.04,142.04,130.68,22.0954,20.4,5908.29,31.39,28.87,-2.51,2.51,8.0
2024-04-01,HISTORICO,PLSC,CNIOR,TOLIMA,ELET - TOLIMA,27467325.0,23347226.25,4120098.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,7725000.0,7650000.0,765000.0,298.6395,7575000.0,772500.0,1.005e-05,0.0,76.1,76.1,70.01,22.0954,10.93,3165.16,16.81,15.47,-1.35,1.35,8.0
2024-04-01,HISTORICO,PLSC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,27467325.0,23347226.25,4120098.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,18540000.0,18360000.0,1836000.0,298.6395,18180000.0,1854000.0,1.005e-05,0.0,182.63,182.63,168.02,22.0954,26.23,7596.38,40.35,37.12,-3.23,3.23,8.0
2024-05-01,HISTORICO,PLSC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,27646850.0,23499822.5,4147027.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,26000000.0,25750000.0,2575000.0,289.6168,25500000.0,2600000.0,1.036e-05,0.0,264.14,264.14,243.01,22.0954,37.94,10570.82,58.36,53.69,-4.67,4.67,8.0
2024-05-01,HISTORICO,PLSC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,27646850.0,23499822.5,4147027.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,36400000.0,36050000.0,3605000.0,289.6168,35700000.0,3640000.0,1.036e-05,0.0,369.8,369.8,340.22,22.0954,53.11,14799.14,81.71,75.17,-6.54,6.54,8.0
2024-05-01,HISTORICO,PLSC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,27646850.0,23499822.5,4147027.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,29120000.0,28840000.0,2884000.0,289.6168,28560000.0,2912000.0,1.036e-05,0.0,295.84,295.84,272.17,22.0954,42.49,11839.31,65.37,60.14,-5.23,5.23,8.0
2024-05-01,HISTORICO,PLSC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,27646850.0,23499822.5,4147027.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,22880000.0,22660000.0,2266000.0,289.6168,22440000.0,2288000.0,1.036e-05,0.0,232.45,232.45,213.85,22.0954,33.38,9302.32,51.36,47.25,-4.11,4.11,8.0
2024-05-01,HISTORICO,PLSC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,27646850.0,23499822.5,4147027.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,9360000.0,9270000.0,927000.0,289.6168,9180000.0,936000.0,1.036e-05,0.0,95.09,95.09,87.48,22.0954,13.66,3805.49,21.01,19.33,-1.68,1.68,8.0
2024-05-01,HISTORICO,PLSC,CNIOR,SANTANDER,ESSA - SANTANDER,27646850.0,23499822.5,4147027.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,14560000.0,14420000.0,1442000.0,289.6168,14280000.0,1456000.0,1.036e-05,0.0,147.92,147.92,136.09,22.0954,21.24,5919.66,32.68,30.07,-2.61,2.61,8.0
2024-05-01,HISTORICO,PLSC,CNIOR,TOLIMA,ELET - TOLIMA,27646850.0,23499822.5,4147027.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,7800000.0,7725000.0,772500.0,289.6168,7650000.0,780000.0,1.036e-05,0.0,79.24,79.24,72.9,22.0954,11.38,3171.24,17.51,16.11,-1.4,1.4,8.0
2024-05-01,HISTORICO,PLSC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,27646850.0,23499822.5,4147027.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.648,18720000.0,18540000.0,1854000.0,289.6168,18360000.0,1872000.0,1.036e-05,0.0,190.18,190.18,174.97,22.0954,27.31,7610.99,42.02,38.66,-3.36,3.36,8.0
2024-06-01,HISTORICO,PLSC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,27826375.0,23652418.75,4173956.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,26250000.0,26000000.0,2600000.0,278.648,25750000.0,2625000.0,1.077e-05,0.0,277.23,277.23,255.05,22.0954,39.82,11073.47,61.26,56.35,-4.9,4.9,8.0
2024-06-01,HISTORICO,PLSC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,27826375.0,23652418.75,4173956.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,36750000.0,36400000.0,3640000.0,278.648,36050000.0,3675000.0,1.077e-05,0.0,388.12,388.12,357.07,22.0954,55.74,15502.85,85.76,78.9,-6.86,6.86,8.0
2024-06-01,HISTORICO,PLSC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,27826375.0,23652418.75,4173956.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,29400000.0,29120000.0,2912000.0,278.648,28840000.0,2940000.0,1.077e-05,0.0,310.5,310.5,285.66,22.0954,44.59,12402.28,68.61,63.12,-5.49,5.49,8.0
2024-06-01,HISTORICO,PLSC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,27826375.0,23652418.75,4173956.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,23100000.0,22880000.0,2288000.0,278.648,22660000.0,2310000.0,1.077e-05,0.0,243.96,243.96,224.45,22.0954,35.04,9744.65,53.9,49.59,-4.31,4.31,8.0
2024-06-01,HISTORICO,PLSC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,27826375.0,23652418.75,4173956.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,9450000.0,9360000.0,936000.0,278.648,9270000.0,945000.0,1.077e-05,0.0,99.8,99.8,91.82,22.0954,14.33,3986.45,22.05,20.29,-1.76,1.76,8.0
2024-06-01,HISTORICO,PLSC,CNIOR,SANTANDER,ESSA - SANTANDER,27826375.0,23652418.75,4173956.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,14700000.0,14560000.0,1456000.0,278.648,14420000.0,1470000.0,1.077e-05,0.0,155.25,155.25,142.83,22.0954,22.3,6201.14,34.3,31.56,-2.74,2.74,8.0
2024-06-01,HISTORICO,PLSC,CNIOR,TOLIMA,ELET - TOLIMA,27826375.0,23652418.75,4173956.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,7875000.0,7800000.0,780000.0,278.648,7725000.0,787500.0,1.077e-05,0.0,83.17,83.17,76.52,22.0954,11.94,3322.04,18.38,16.91,-1.47,1.47,8.0
2024-06-01,HISTORICO,PLSC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,27826375.0,23652418.75,4173956.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),278.1161,18900000.0,18720000.0,1872000.0,278.648,18540000.0,1890000.0,1.077e-05,0.0,199.61,199.61,183.64,22.0954,28.67,7972.9,44.1,40.58,-3.53,3.53,8.0
2024-07-01,HISTORICO,PLSC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,28005900.0,23805015.0,4200885.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),290.8088,26500000.0,26250000.0,2625000.0,278.1161,26000000.0,2650000.0,1.079e-05,0.0,280.46,280.46,258.02,22.0954,40.28,11713.61,61.97,57.01,-4.96,4.96,8.0
2024-07-01,HISTORICO,PLSC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,28005900.0,23805015.0,4200885.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),290.8088,37100000.0,36750000.0,3675000.0,278.1161,36400000.0,3710000.0,1.079e-05,0.0,392.64,392.64,361.23,22.0954,56.39,16399.06,86.76,79.82,-6.94,6.94,8.0
2024-07-01,HISTORICO,PLSC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,28005900.0,23805015.0,4200885.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),290.8088,29680000.0,29400000.0,2940000.0,278.1161,29120000.0,2968000.0,1.079e-05,0.0,314.11,314.11,288.98,22.0954,45.11,13119.25,69.4,63.85,-5.55,5.55,8.0
2024-07-01,HISTORICO,PLSC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,28005900.0,23805015.0,4200885.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),290.8088,23320000.0,23100000.0,2310000.0,278.1161,22880000.0,2332000.0,1.079e-05,0.0,246.8,246.8,227.06,22.0954,35.45,10307.98,54.53,50.17,-4.36,4.36,8.0
