Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,215430000.0,183115500.0,32314500.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,216866200.0,184336270.0,32529930.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,218302400.0,185557040.0,32745360.0,85.0,15.0,231.41,69105.23,355.99,327.52,-28.480000000000004,28.480000000000004
2024-04-01,HISTORICO,219738600.0,186777810.0,32960790.0,85.0,15.0,230.96000000000004,66890.32,355.33,326.89000000000004,-28.430000000000003,28.430000000000003
2024-05-01,HISTORICO,221174800.0,187998580.0,33176220.0,85.0,15.0,240.51,67018.96999999999,370.02,340.41999999999996,-29.599999999999998,29.599999999999998
2024-06-01,HISTORICO,222611000.0,189219350.0,33391650.0,85.0,15.0,252.43,70205.78,388.36,357.3,-31.060000000000002,31.060000000000002
2024-07-01,HISTORICO,224047200.0,190440120.0,33607080.0,85.0,15.0,255.37000000000003,74264.3,392.88,361.45,-31.43,31.43
2024-08-01,HISTORICO,225483400.0,191660890.0,33822510.0,85.0,15.0,246.57,75785.69,379.34,349.0,-30.35,30.35
2024-09-01,HISTORICO,226919600.0,192881660.0,34037940.0,85.0,15.0,235.51999999999998,74151.81,362.33,333.35,-28.979999999999997,28.979999999999997
2024-10-01,HISTORICO,228355800.0,194102430.0,34253370.0,85.0,15.0,232.09000000000003,71642.34999999998,357.07,328.5,-28.560000000000002,28.560000000000002
2024-11-01,HISTORICO,229792000.0,195323200.0,34468800.0,85.0,15.0,238.92999999999998,70925.13,367.59000000000003,338.17999999999995,-29.400000000000002,29.400000000000002
2024-12-01,HISTORICO,231228200.0,196543970.0,34684230.0,85.0,15.0,250.76999999999998,73349.31,385.8,354.92,-30.870000000000005,30.870000000000005
2025-01-01,HISTORICO,232664400.0,197764740.0,34899660.0,85.0,15.0,256.82000000000005,77547.73999999999,395.12,363.49,-31.61,31.61
2025-02-01,HISTORICO,234100600.0,198985510.0,35115090.0,85.0,15.0,251.04999999999995,80033.73,386.23,355.32,-30.89,30.89
2025-03-01,HISTORICO,235536800.0,200206280.0,35330520.0,85.0,15.0,239.91,79138.93000000001,369.11000000000007,339.57,-29.54,29.54
2025-04-01,HISTORICO,236973000.0,201427050.0,35545950.0,85.0,15.0,233.93999999999997,76559.8,359.9200000000001,331.12000000000006,-28.79,28.79
2025-05-01,HISTORICO,238409200.0,202647820.0,35761380.0,85.0,15.0,237.9,75098.98999999999,365.98999999999995,336.71000000000004,-29.29,29.29
2025-06-01,HISTORICO,239845400.0,203868590.0,35976810.0,85.0,15.0,248.78,76643.67,382.74,352.1000000000001,-30.619999999999997,30.619999999999997
2025-07-01,HISTORICO,241281600.0,205089360.0,36192240.0,85.0,15.0,257.13,80672.32,395.59,363.95,-31.650000000000002,31.650000000000002
2025-08-01,HISTORICO,242717800.0,206310130.0,36407670.0,85.0,15.0,254.68,83978.95999999999,391.82000000000005,360.47999999999996,-31.34,31.34
2025-09-01,HISTORICO,244154000.0,207530900.0,36623100.0,85.0,15.0,244.38000000000002,83991.87,375.97,345.89,-30.07,30.07
