Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30067780.25,438616.2375,191118186.2,124226821.03,362.8469,372823.8,65792.44,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.8487125,477451.62619961624,734540.9633840249,675777.686313303,-58763.27707072196,58763.27707072196,7.9999999999999964
2026-08-28,28,2026-08-01,True,BOGOTA,42208896.04,438616.2375,191118186.2,124226821.03,362.8469,372823.8,65792.44,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.8487125,477451.62619961624,734540.9633840249,675777.686313303,-58763.27707072196,58763.27707072196,7.9999999999999964
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34069780.22,438616.2375,191118186.2,124226821.03,362.8469,372823.8,65792.44,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.8487125,477451.62619961624,734540.9633840249,675777.686313303,-58763.27707072196,58763.27707072196,7.9999999999999964
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26675414.4,438616.2375,191118186.2,124226821.03,362.8469,372823.8,65792.44,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.8487125,477451.62619961624,734540.9633840249,675777.686313303,-58763.27707072196,58763.27707072196,7.9999999999999964
2026-08-28,28,2026-08-01,True,VALLE,21363372.88,438616.2375,191118186.2,124226821.03,362.8469,372823.8,65792.44,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.8487125,477451.62619961624,734540.9633840249,675777.686313303,-58763.27707072196,58763.27707072196,7.9999999999999964
2026-08-28,28,2026-08-01,True,SANTANDER,16809936.56,438616.2375,191118186.2,124226821.03,362.8469,372823.8,65792.44,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.8487125,477451.62619961624,734540.9633840249,675777.686313303,-58763.27707072196,58763.27707072196,7.9999999999999964
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10982293.15,438616.2375,191118186.2,124226821.03,362.8469,372823.8,65792.44,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.8487125,477451.62619961624,734540.9633840249,675777.686313303,-58763.27707072196,58763.27707072196,7.9999999999999964
2026-08-28,28,2026-08-01,True,TOLIMA,8940712.7,438616.2375,191118186.2,124226821.03,362.8469,372823.8,65792.44,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.8487125,477451.62619961624,734540.9633840249,675777.686313303,-58763.27707072196,58763.27707072196,7.9999999999999964
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25603293.15,312760.28625,161633222.63,105061594.71,363.5664,265846.24,46914.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.28085875,341127.394004646,524811.3753892655,482826.4653581243,-41984.91003114119,41984.91003114119,7.99999999999999
2026-08-29,29,2026-08-01,True,BOGOTA,35556301.3,312760.28625,161633222.63,105061594.71,363.5664,265846.24,46914.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.28085875,341127.394004646,524811.3753892655,482826.4653581243,-41984.91003114119,41984.91003114119,7.99999999999999
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28426603.23,312760.28625,161633222.63,105061594.71,363.5664,265846.24,46914.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.28085875,341127.394004646,524811.3753892655,482826.4653581243,-41984.91003114119,41984.91003114119,7.99999999999999
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22426131.61,312760.28625,161633222.63,105061594.71,363.5664,265846.24,46914.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.28085875,341127.394004646,524811.3753892655,482826.4653581243,-41984.91003114119,41984.91003114119,7.99999999999999
2026-08-29,29,2026-08-01,True,VALLE,18449745.52,312760.28625,161633222.63,105061594.71,363.5664,265846.24,46914.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.28085875,341127.394004646,524811.3753892655,482826.4653581243,-41984.91003114119,41984.91003114119,7.99999999999999
2026-08-29,29,2026-08-01,True,SANTANDER,14335596.36,312760.28625,161633222.63,105061594.71,363.5664,265846.24,46914.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.28085875,341127.394004646,524811.3753892655,482826.4653581243,-41984.91003114119,41984.91003114119,7.99999999999999
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9131056.18,312760.28625,161633222.63,105061594.71,363.5664,265846.24,46914.04,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.28085875,341127.394004646,524811.3753892655,482826.4653581243,-41984.91003114119,41984.91003114119,7.99999999999999
