Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30044114.85,440423.32,191905585.93,124738630.85,362.8469,374359.82,66063.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.26996,479418.70904912404,737567.2447175683,678561.8651401629,-59005.3795774054,59005.3795774054,7.999999999999992
2026-08-28,28,2026-08-01,True,BOGOTA,42446837.38,440423.32,191905585.93,124738630.85,362.8469,374359.82,66063.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.26996,479418.70904912404,737567.2447175683,678561.8651401629,-59005.3795774054,59005.3795774054,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33645253.52,440423.32,191905585.93,124738630.85,362.8469,374359.82,66063.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.26996,479418.70904912404,737567.2447175683,678561.8651401629,-59005.3795774054,59005.3795774054,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26799067.5,440423.32,191905585.93,124738630.85,362.8469,374359.82,66063.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.26996,479418.70904912404,737567.2447175683,678561.8651401629,-59005.3795774054,59005.3795774054,7.999999999999992
2026-08-28,28,2026-08-01,True,VALLE,21870476.34,440423.32,191905585.93,124738630.85,362.8469,374359.82,66063.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.26996,479418.70904912404,737567.2447175683,678561.8651401629,-59005.3795774054,59005.3795774054,7.999999999999992
2026-08-28,28,2026-08-01,True,SANTANDER,17114076.6,440423.32,191905585.93,124738630.85,362.8469,374359.82,66063.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.26996,479418.70904912404,737567.2447175683,678561.8651401629,-59005.3795774054,59005.3795774054,7.999999999999992
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10847930.53,440423.32,191905585.93,124738630.85,362.8469,374359.82,66063.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.26996,479418.70904912404,737567.2447175683,678561.8651401629,-59005.3795774054,59005.3795774054,7.999999999999992
2026-08-28,28,2026-08-01,True,TOLIMA,9137829.21,440423.32,191905585.93,124738630.85,362.8469,374359.82,66063.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.26996,479418.70904912404,737567.2447175683,678561.8651401629,-59005.3795774054,59005.3795774054,7.999999999999992
2026-08-29,29,2026-08-01,True,ANTIOQUIA,26056639.73,314509.54,162537229.76,105649199.34,363.5664,267333.11,47176.43,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),943.5286199999999,343035.303670368,527746.6210513164,485526.89136721106,-42219.72968410532,42219.72968410532,8.000000000000002
2026-08-29,29,2026-08-01,True,BOGOTA,35541364.81,314509.54,162537229.76,105649199.34,363.5664,267333.11,47176.43,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),943.5286199999999,343035.303670368,527746.6210513164,485526.89136721106,-42219.72968410532,42219.72968410532,8.000000000000002
