Período (Mes),Tipo de Registro,Código Agente,Rol PUI,Código Mercado,Mercado Comercialización,Demanda Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Mercado Actual (VR) [kWh],Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Transitorio Unitario (CRPUI) [COP/kWh],Cargo Competitivo Fijo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Participación Agente CNIOR [%],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%]
2024-01-01,HISTORICO,QIEC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,12628125.0,10733906.25,1894218.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,25000000.0,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,QIEC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,12628125.0,10733906.25,1894218.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,35000000.0,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,QIEC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,12628125.0,10733906.25,1894218.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,28000000.0,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,QIEC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,12628125.0,10733906.25,1894218.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,22000000.0,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,QIEC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,12628125.0,10733906.25,1894218.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,9000000.0,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,QIEC,CNIOR,SANTANDER,ESSA - SANTANDER,12628125.0,10733906.25,1894218.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,14000000.0,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,QIEC,CNIOR,TOLIMA,ELET - TOLIMA,12628125.0,10733906.25,1894218.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,7500000.0,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,QIEC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,12628125.0,10733906.25,1894218.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,18000000.0,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,QIEC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,12712312.5,10805465.62,1906846.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,25250000.0,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,QIEC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,12712312.5,10805465.62,1906846.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,35350000.0,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,QIEC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,12712312.5,10805465.62,1906846.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,28280000.0,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,QIEC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,12712312.5,10805465.62,1906846.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,22220000.0,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,QIEC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,12712312.5,10805465.62,1906846.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,9090000.0,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,QIEC,CNIOR,SANTANDER,ESSA - SANTANDER,12712312.5,10805465.62,1906846.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,14140000.0,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,QIEC,CNIOR,TOLIMA,ELET - TOLIMA,12712312.5,10805465.62,1906846.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,7575000.0,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,QIEC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,12712312.5,10805465.62,1906846.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,18180000.0,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,10.3615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,QIEC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,12796500.0,10877025.0,1919475.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,25500000.0,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,10.3615,17.12,5111.45,26.33,24.23,-2.11,2.11,8.0
2024-03-01,HISTORICO,QIEC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,12796500.0,10877025.0,1919475.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,35700000.0,35350000.0,3535000.0,295.1221,35000000.0,3570000.0,1.017e-05,0.0,355.78,355.78,327.32,10.3615,23.96,7156.03,36.86,33.92,-2.95,2.95,8.0
2024-03-01,HISTORICO,QIEC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,12796500.0,10877025.0,1919475.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,28560000.0,28280000.0,2828000.0,295.1221,28000000.0,2856000.0,1.017e-05,0.0,284.63,284.63,261.86,10.3615,19.17,5724.83,29.49,27.13,-2.36,2.36,8.0
2024-03-01,HISTORICO,QIEC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,12796500.0,10877025.0,1919475.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,22440000.0,22220000.0,2222000.0,295.1221,22000000.0,2244000.0,1.017e-05,0.0,223.64,223.64,205.75,10.3615,15.06,4498.08,23.17,21.32,-1.85,1.85,8.0
2024-03-01,HISTORICO,QIEC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,12796500.0,10877025.0,1919475.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,9180000.0,9090000.0,909000.0,295.1221,9000000.0,918000.0,1.017e-05,0.0,91.49,91.49,84.17,10.3615,6.16,1840.12,9.48,8.72,-0.76,0.76,8.0
2024-03-01,HISTORICO,QIEC,CNIOR,SANTANDER,ESSA - SANTANDER,12796500.0,10877025.0,1919475.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,14280000.0,14140000.0,1414000.0,295.1221,14000000.0,1428000.0,1.017e-05,0.0,142.31,142.31,130.93,10.3615,9.58,2862.41,14.75,13.57,-1.18,1.18,8.0
2024-03-01,HISTORICO,QIEC,CNIOR,TOLIMA,ELET - TOLIMA,12796500.0,10877025.0,1919475.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,7650000.0,7575000.0,757500.0,295.1221,7500000.0,765000.0,1.017e-05,0.0,76.24,76.24,70.14,10.3615,5.13,1533.44,7.9,7.27,-0.63,0.63,8.0
2024-03-01,HISTORICO,QIEC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,12796500.0,10877025.0,1919475.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,18360000.0,18180000.0,1818000.0,295.1221,18000000.0,1836000.0,1.017e-05,0.0,182.98,182.98,168.34,10.3615,12.32,3680.25,18.96,17.44,-1.52,1.52,8.0
