Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,101025000.0,85871250.0,15153750.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,101698500.0,86443724.96,15254775.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,102372000.0,87016200.0,15355800.0,85.0,15.0,108.5,32406.609999999997,166.94,153.6,-13.36,13.36
2024-04-01,HISTORICO,103045500.0,87588675.04,15456825.039999995,85.0,15.0,108.30999999999999,31367.93,166.62,153.29,-13.32,13.32
2024-05-01,HISTORICO,103719000.0,88161150.0,15557850.0,85.0,15.0,112.79000000000002,31428.269999999997,173.52000000000004,159.63,-13.9,13.9
2024-06-01,HISTORICO,104392500.0,88733624.96,15658875.039999995,85.0,15.0,118.37,32922.72,182.13000000000002,167.56000000000003,-14.57,14.57
2024-07-01,HISTORICO,105066000.0,89306100.0,15759900.0,85.0,15.0,119.75999999999999,34825.950000000004,184.23000000000002,169.50000000000003,-14.729999999999999,14.729999999999999
2024-08-01,HISTORICO,105739500.0,89878575.03999999,15860925.039999995,85.0,15.0,115.63,35539.38,177.89,163.66000000000003,-14.23,14.23
2024-09-01,HISTORICO,106413000.0,90451050.0,15961950.0,85.0,15.0,110.45000000000002,34773.18,169.92000000000002,156.34,-13.580000000000002,13.580000000000002
2024-10-01,HISTORICO,107086500.0,91023524.96000001,16062975.039999995,85.0,15.0,108.84,33596.369999999995,167.44,154.04999999999998,-13.39,13.39
2024-11-01,HISTORICO,107760000.0,91596000.0,16164000.0,85.0,15.0,112.03,33260.05,172.39999999999998,158.59,-13.8,13.8
2024-12-01,HISTORICO,108433500.0,92168475.03999999,16265025.039999995,85.0,15.0,117.58999999999999,34396.85,180.92000000000002,166.43,-14.47,14.47
2025-01-01,HISTORICO,109107000.0,92740950.0,16366050.0,85.0,15.0,120.45000000000002,36365.68,185.28,170.46999999999997,-14.82,14.82
2025-02-01,HISTORICO,109780500.0,93313424.96000001,16467075.039999995,85.0,15.0,117.73000000000002,37531.49,181.11999999999998,166.62,-14.5,14.5
2025-03-01,HISTORICO,110454000.0,93885900.0,16568100.0,85.0,15.0,112.52000000000001,37111.88,173.1,159.23999999999995,-13.85,13.85
2025-04-01,HISTORICO,111127500.0,94458375.03999999,16669125.039999995,85.0,15.0,109.71000000000001,35902.39,168.79000000000002,155.28,-13.5,13.5
