Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30096634.77,437630.69625,190688756.45,123947691.69,362.8469,371986.09,65644.6,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.8920887499999,476378.8244374623,732890.4991493397,674259.2592173925,-58631.2399319472,58631.2399319472,8.000000000000004
2026-08-28,28,2026-08-01,True,BOGOTA,42242573.19,437630.69625,190688756.45,123947691.69,362.8469,371986.09,65644.6,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.8920887499999,476378.8244374623,732890.4991493397,674259.2592173925,-58631.2399319472,58631.2399319472,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33609444.43,437630.69625,190688756.45,123947691.69,362.8469,371986.09,65644.6,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.8920887499999,476378.8244374623,732890.4991493397,674259.2592173925,-58631.2399319472,58631.2399319472,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26081050.94,437630.69625,190688756.45,123947691.69,362.8469,371986.09,65644.6,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.8920887499999,476378.8244374623,732890.4991493397,674259.2592173925,-58631.2399319472,58631.2399319472,8.000000000000004
2026-08-28,28,2026-08-01,True,VALLE,21619390.31,437630.69625,190688756.45,123947691.69,362.8469,371986.09,65644.6,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.8920887499999,476378.8244374623,732890.4991493397,674259.2592173925,-58631.2399319472,58631.2399319472,8.000000000000004
2026-08-28,28,2026-08-01,True,SANTANDER,16887111.56,437630.69625,190688756.45,123947691.69,362.8469,371986.09,65644.6,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.8920887499999,476378.8244374623,732890.4991493397,674259.2592173925,-58631.2399319472,58631.2399319472,8.000000000000004
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,11007607.68,437630.69625,190688756.45,123947691.69,362.8469,371986.09,65644.6,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.8920887499999,476378.8244374623,732890.4991493397,674259.2592173925,-58631.2399319472,58631.2399319472,8.000000000000004
2026-08-28,28,2026-08-01,True,TOLIMA,9144943.57,437630.69625,190688756.45,123947691.69,362.8469,371986.09,65644.6,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1312.8920887499999,476378.8244374623,732890.4991493397,674259.2592173925,-58631.2399319472,58631.2399319472,8.000000000000004
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25706670.02,312125.545,161305191.32999998,104848374.36,363.5664,265306.71,46818.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.376635,340435.082231064,523746.2803779617,481846.5779477248,-41899.70243023691,41899.70243023691,7.999999999999995
2026-08-29,29,2026-08-01,True,BOGOTA,35848880.39,312125.545,161305191.32999998,104848374.36,363.5664,265306.71,46818.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.376635,340435.082231064,523746.2803779617,481846.5779477248,-41899.70243023691,41899.70243023691,7.999999999999995
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28122760.8,312125.545,161305191.32999998,104848374.36,363.5664,265306.71,46818.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.376635,340435.082231064,523746.2803779617,481846.5779477248,-41899.70243023691,41899.70243023691,7.999999999999995
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22528266.55,312125.545,161305191.32999998,104848374.36,363.5664,265306.71,46818.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.376635,340435.082231064,523746.2803779617,481846.5779477248,-41899.70243023691,41899.70243023691,7.999999999999995
