Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,213690000.0,181636500.0,32053500.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,215114600.0,182847410.0,32267190.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,216539200.0,184058320.0,32480880.0,85.0,15.0,229.53000000000003,68547.07,353.12,324.87,-28.26,28.26
2024-04-01,HISTORICO,217963800.0,185269230.0,32694570.0,85.0,15.0,229.11,66350.05,352.45000000000005,324.23999999999995,-28.19,28.19
2024-05-01,HISTORICO,219388400.0,186480140.0,32908260.0,85.0,15.0,238.57,66477.66,367.03000000000003,337.67,-29.360000000000007,29.360000000000007
2024-06-01,HISTORICO,220813000.0,187691050.0,33121950.0,85.0,15.0,250.39999999999998,69638.73999999999,385.22,354.4,-30.82,30.82
2024-07-01,HISTORICO,222237600.0,188901960.0,33335640.0,85.0,15.0,253.31,73664.48999999999,389.7,358.5400000000001,-31.18,31.18
2024-08-01,HISTORICO,223662200.0,190112870.0,33549330.0,85.0,15.0,244.58999999999997,75173.57,376.29,346.17,-30.11,30.11
2024-09-01,HISTORICO,225086800.0,191323780.0,33763020.0,85.0,15.0,233.63000000000002,73552.89,359.43,330.66999999999996,-28.759999999999998,28.759999999999998
2024-10-01,HISTORICO,226511400.0,192534690.0,33976710.0,85.0,15.0,230.2,71063.71,354.16999999999996,325.84,-28.34,28.34
2024-11-01,HISTORICO,227936000.0,193745600.0,34190400.0,85.0,15.0,237.01000000000005,70352.27,364.62,335.45000000000005,-29.169999999999995,29.169999999999995
2024-12-01,HISTORICO,229360600.0,194956510.0,34404090.0,85.0,15.0,248.74,72756.87000000001,382.68,352.06000000000006,-30.619999999999997,30.619999999999997
2025-01-01,HISTORICO,230785200.0,196167420.0,34617780.0,85.0,15.0,254.74000000000004,76921.4,391.92,360.57000000000005,-31.349999999999998,31.349999999999998
2025-02-01,HISTORICO,232209800.0,197378330.0,34831470.0,85.0,15.0,249.02000000000004,79387.31999999999,383.12,352.45000000000005,-30.639999999999997,30.639999999999997
2025-03-01,HISTORICO,233634400.0,198589240.0,35045160.0,85.0,15.0,237.98,78499.74,366.13,336.83,-29.299999999999997,29.299999999999997
2025-04-01,HISTORICO,235059000.0,199800150.0,35258850.0,85.0,15.0,232.05,75941.42,356.98999999999995,328.45000000000005,-28.550000000000004,28.550000000000004
2025-05-01,HISTORICO,236483600.0,201011060.0,35472540.0,85.0,15.0,235.98,74492.41,363.04,333.98,-29.040000000000003,29.040000000000003
2025-06-01,HISTORICO,237908200.0,202221970.0,35686230.0,85.0,15.0,246.76000000000002,76024.63,379.64000000000004,349.28000000000003,-30.38,30.38
2025-07-01,HISTORICO,239332800.0,203432880.0,35899920.0,85.0,15.0,255.06,80020.75,392.4,361.01,-31.389999999999997,31.389999999999997
2025-08-01,HISTORICO,240757400.0,204643790.0,36113610.0,85.0,15.0,252.60999999999999,83300.68,388.65,357.55,-31.099999999999998,31.099999999999998
