Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30334823.73,440581.20375,191974380.56,124783347.36,362.8469,374494.02,66087.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.74361125,479590.5719368676,737831.6491572941,678805.1172247105,-59026.531932583544,59026.531932583544,8.000000000000004
2026-08-28,28,2026-08-01,True,BOGOTA,42277423.34,440581.20375,191974380.56,124783347.36,362.8469,374494.02,66087.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.74361125,479590.5719368676,737831.6491572941,678805.1172247105,-59026.531932583544,59026.531932583544,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33726478.41,440581.20375,191974380.56,124783347.36,362.8469,374494.02,66087.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.74361125,479590.5719368676,737831.6491572941,678805.1172247105,-59026.531932583544,59026.531932583544,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26973392.36,440581.20375,191974380.56,124783347.36,362.8469,374494.02,66087.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.74361125,479590.5719368676,737831.6491572941,678805.1172247105,-59026.531932583544,59026.531932583544,8.000000000000004
2026-08-28,28,2026-08-01,True,VALLE,21641183.22,440581.20375,191974380.56,124783347.36,362.8469,374494.02,66087.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.74361125,479590.5719368676,737831.6491572941,678805.1172247105,-59026.531932583544,59026.531932583544,8.000000000000004
2026-08-28,28,2026-08-01,True,SANTANDER,17121231.49,440581.20375,191974380.56,124783347.36,362.8469,374494.02,66087.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.74361125,479590.5719368676,737831.6491572941,678805.1172247105,-59026.531932583544,59026.531932583544,8.000000000000004
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10816915.62,440581.20375,191974380.56,124783347.36,362.8469,374494.02,66087.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.74361125,479590.5719368676,737831.6491572941,678805.1172247105,-59026.531932583544,59026.531932583544,8.000000000000004
2026-08-28,28,2026-08-01,True,TOLIMA,9082932.39,440581.20375,191974380.56,124783347.36,362.8469,374494.02,66087.18,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.74361125,479590.5719368676,737831.6491572941,678805.1172247105,-59026.531932583544,59026.531932583544,8.000000000000004
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25114958.95,312107.59875,161295916.89,104842345.98,363.5664,265291.46,46816.14,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.32279625,340415.508270546,523716.1665625778,481818.8732375716,-41897.293325006205,41897.293325006205,7.9999999999999964
2026-08-29,29,2026-08-01,True,BOGOTA,35897316.94,312107.59875,161295916.89,104842345.98,363.5664,265291.46,46816.14,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.32279625,340415.508270546,523716.1665625778,481818.8732375716,-41897.293325006205,41897.293325006205,7.9999999999999964
