Código Agente,Nombre Comercializador,Rol Regulado PUI (CIOR/CNIOR),Código Mercado Comercialización,Mercado Comercialización,Período (Mes),Tipo de Registro,Es Pronóstico (Sí/No),Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos (Compras Contrato) [kWh],Exposición Energía en Bolsa Spot (Compras Bolsa) [kWh],Porcentaje Cobertura por Contratos [%],Porcentaje Exposición en Bolsa Spot [%],Estado Cobertura de Demanda Agente,Días Activos Mes,Promedio Diario Agente [kWh/día],Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Comercial Mercado Total (VR - DemaCome) [kWh],Demanda Total Sistema (Todos Agentes) [kWh],Demanda Total Sistema (CNIORs) [kWh],Participación Agente en Total Sistema [%],Participación Agente entre CNIORs [%],Ranking Demanda Agente en el Mes,Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales Rezago m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Unitario Transitorio (CRPUI) [COP/kWh],Cargo Unitario Fijo Competitivo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Ingresos PUI Facturados Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%],Código Comercializador CIOR,Nombre Comercializador CIOR,Demanda Acumulada CIOR [kWh],Total Giros Recibidos CIOR [COP],Parámetro Prima Riesgo Cartera (rcpui) [COP/kWh],Parámetro % Áreas Especiales [%],Parámetro Factor Recaudo CNIOR [%],Parámetro Cargo Competitivo (cfpui) [COP/kWh],Parámetro Esquema Competitivo [Sí/No]
RTAC,RTAC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-01-01,HISTORICO,False,19098750.0,16233937.5,2864812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,636625.0,280.0,25000000.0,1500000000.0,975000000.0,10.186,15.6708,12,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-01-01,HISTORICO,False,19098750.0,16233937.5,2864812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,636625.0,280.0,35000000.0,1500000000.0,975000000.0,10.186,15.6708,12,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-01-01,HISTORICO,False,19098750.0,16233937.5,2864812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,636625.0,280.0,28000000.0,1500000000.0,975000000.0,10.186,15.6708,12,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-01-01,HISTORICO,False,19098750.0,16233937.5,2864812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,636625.0,280.0,22000000.0,1500000000.0,975000000.0,10.186,15.6708,12,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-01-01,HISTORICO,False,19098750.0,16233937.5,2864812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,636625.0,280.0,9000000.0,1500000000.0,975000000.0,10.186,15.6708,12,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-01-01,HISTORICO,False,19098750.0,16233937.5,2864812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,636625.0,280.0,14000000.0,1500000000.0,975000000.0,10.186,15.6708,12,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-01-01,HISTORICO,False,19098750.0,16233937.5,2864812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,636625.0,280.0,7500000.0,1500000000.0,975000000.0,10.186,15.6708,12,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-01-01,HISTORICO,False,19098750.0,16233937.5,2864812.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,636625.0,280.0,18000000.0,1500000000.0,975000000.0,10.186,15.6708,12,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-02-01,HISTORICO,False,19226075.0,16342163.75,2883911.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,640869.17,295.1221,25250000.0,1510000000.0,981500000.0,10.186,15.6708,12,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-02-01,HISTORICO,False,19226075.0,16342163.75,2883911.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,640869.17,295.1221,35350000.0,1510000000.0,981500000.0,10.186,15.6708,12,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-02-01,HISTORICO,False,19226075.0,16342163.75,2883911.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,640869.17,295.1221,28280000.0,1510000000.0,981500000.0,10.186,15.6708,12,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-02-01,HISTORICO,False,19226075.0,16342163.75,2883911.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,640869.17,295.1221,22220000.0,1510000000.0,981500000.0,10.186,15.6708,12,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-02-01,HISTORICO,False,19226075.0,16342163.75,2883911.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,640869.17,295.1221,9090000.0,1510000000.0,981500000.0,10.186,15.6708,12,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-02-01,HISTORICO,False,19226075.0,16342163.75,2883911.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,640869.17,295.1221,14140000.0,1510000000.0,981500000.0,10.186,15.6708,12,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-02-01,HISTORICO,False,19226075.0,16342163.75,2883911.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,640869.17,295.1221,7575000.0,1510000000.0,981500000.0,10.186,15.6708,12,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-02-01,HISTORICO,False,19226075.0,16342163.75,2883911.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,640869.17,295.1221,18180000.0,1510000000.0,981500000.0,10.186,15.6708,12,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-03-01,HISTORICO,False,19353400.0,16450390.0,2903010.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,645113.33,298.6395,25500000.0,1520000000.0,988000000.0,10.186,15.6708,12,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,25.89,7730.55,25.89,39.82,36.64,-3.19,3.19,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-03-01,HISTORICO,False,19353400.0,16450390.0,2903010.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,645113.33,298.6395,35700000.0,1520000000.0,988000000.0,10.186,15.6708,12,35350000.0,3535000.0,295.1221,35000000.0,3570000.0,1.017e-05,0.0,355.78,355.78,327.32,36.24,10822.77,36.24,55.75,51.29,-4.46,4.46,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-03-01,HISTORICO,False,19353400.0,16450390.0,2903010.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,645113.33,298.6395,28560000.0,1520000000.0,988000000.0,10.186,15.6708,12,28280000.0,2828000.0,295.1221,28000000.0,2856000.0,1.017e-05,0.0,284.63,284.63,261.86,28.99,8658.22,28.99,44.6,41.04,-3.57,3.57,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-03-01,HISTORICO,False,19353400.0,16450390.0,2903010.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,645113.33,298.6395,22440000.0,1520000000.0,988000000.0,10.186,15.6708,12,22220000.0,2222000.0,295.1221,22000000.0,2244000.0,1.017e-05,0.0,223.64,223.64,205.75,22.78,6802.88,22.78,35.05,32.24,-2.8,2.8,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-03-01,HISTORICO,False,19353400.0,16450390.0,2903010.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,645113.33,298.6395,9180000.0,1520000000.0,988000000.0,10.186,15.6708,12,9090000.0,909000.0,295.1221,9000000.0,918000.0,1.017e-05,0.0,91.49,91.49,84.17,9.32,2783.0,9.32,14.34,13.19,-1.15,1.15,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-03-01,HISTORICO,False,19353400.0,16450390.0,2903010.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,645113.33,298.6395,14280000.0,1520000000.0,988000000.0,10.186,15.6708,12,14140000.0,1414000.0,295.1221,14000000.0,1428000.0,1.017e-05,0.0,142.31,142.31,130.93,14.5,4329.11,14.5,22.3,20.52,-1.78,1.78,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-03-01,HISTORICO,False,19353400.0,16450390.0,2903010.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,645113.33,298.6395,7650000.0,1520000000.0,988000000.0,10.186,15.6708,12,7575000.0,757500.0,295.1221,7500000.0,765000.0,1.017e-05,0.0,76.24,76.24,70.14,7.77,2319.17,7.77,11.95,10.99,-0.96,0.96,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-03-01,HISTORICO,False,19353400.0,16450390.0,2903010.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,645113.33,298.6395,18360000.0,1520000000.0,988000000.0,10.186,15.6708,12,18180000.0,1818000.0,295.1221,18000000.0,1836000.0,1.017e-05,0.0,182.98,182.98,168.34,18.64,5566.0,18.64,28.67,26.38,-2.29,2.29,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-04-01,HISTORICO,False,19480725.0,16558616.25,2922108.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,649357.5,289.6168,25750000.0,1530000000.0,994500000.0,10.186,15.6708,12,25500000.0,2550000.0,298.6395,25250000.0,2575000.0,1.005e-05,0.0,253.65,253.65,233.36,25.84,7482.78,25.84,39.75,36.57,-3.18,3.18,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-04-01,HISTORICO,False,19480725.0,16558616.25,2922108.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,649357.5,289.6168,36050000.0,1530000000.0,994500000.0,10.186,15.6708,12,35700000.0,3570000.0,298.6395,35350000.0,3605000.0,1.005e-05,0.0,355.11,355.11,326.7,36.17,10475.89,36.17,55.65,51.2,-4.45,4.45,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-04-01,HISTORICO,False,19480725.0,16558616.25,2922108.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,649357.5,289.6168,28840000.0,1530000000.0,994500000.0,10.186,15.6708,12,28560000.0,2856000.0,298.6395,28280000.0,2884000.0,1.005e-05,0.0,284.09,284.09,261.36,28.94,8380.71,28.94,44.52,40.96,-3.56,3.56,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-04-01,HISTORICO,False,19480725.0,16558616.25,2922108.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,649357.5,289.6168,22660000.0,1530000000.0,994500000.0,10.186,15.6708,12,22440000.0,2244000.0,298.6395,22220000.0,2266000.0,1.005e-05,0.0,223.21,223.21,205.36,22.74,6584.84,22.74,34.98,32.18,-2.8,2.8,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-04-01,HISTORICO,False,19480725.0,16558616.25,2922108.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,649357.5,289.6168,9270000.0,1530000000.0,994500000.0,10.186,15.6708,12,9180000.0,918000.0,298.6395,9090000.0,927000.0,1.005e-05,0.0,91.31,91.31,84.01,9.3,2693.8,9.3,14.31,13.16,-1.14,1.14,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-04-01,HISTORICO,False,19480725.0,16558616.25,2922108.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,649357.5,289.6168,14420000.0,1530000000.0,994500000.0,10.186,15.6708,12,14280000.0,1428000.0,298.6395,14140000.0,1442000.0,1.005e-05,0.0,142.04,142.04,130.68,14.47,4190.36,14.47,22.26,20.48,-1.78,1.78,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-04-01,HISTORICO,False,19480725.0,16558616.25,2922108.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,649357.5,289.6168,7725000.0,1530000000.0,994500000.0,10.186,15.6708,12,7650000.0,765000.0,298.6395,7575000.0,772500.0,1.005e-05,0.0,76.1,76.1,70.01,7.75,2244.83,7.75,11.92,10.97,-0.95,0.95,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-04-01,HISTORICO,False,19480725.0,16558616.25,2922108.75,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,649357.5,289.6168,18540000.0,1530000000.0,994500000.0,10.186,15.6708,12,18360000.0,1836000.0,298.6395,18180000.0,1854000.0,1.005e-05,0.0,182.63,182.63,168.02,18.6,5387.6,18.6,28.62,26.33,-2.29,2.29,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-05-01,HISTORICO,False,19608050.0,16666842.5,2941207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,653601.67,278.648,26000000.0,1540000000.0,1001000000.0,10.186,15.6708,12,25750000.0,2575000.0,289.6168,25500000.0,2600000.0,1.036e-05,0.0,264.14,264.14,243.01,26.91,7497.17,26.91,41.39,38.08,-3.31,3.31,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,2024-05-01,HISTORICO,False,19608050.0,16666842.5,2941207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,653601.67,278.648,36400000.0,1540000000.0,1001000000.0,10.186,15.6708,12,36050000.0,3605000.0,289.6168,35700000.0,3640000.0,1.036e-05,0.0,369.8,369.8,340.22,37.67,10496.04,37.67,57.95,53.31,-4.64,4.64,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,2024-05-01,HISTORICO,False,19608050.0,16666842.5,2941207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,653601.67,278.648,29120000.0,1540000000.0,1001000000.0,10.186,15.6708,12,28840000.0,2884000.0,289.6168,28560000.0,2912000.0,1.036e-05,0.0,295.84,295.84,272.17,30.13,8396.83,30.13,46.36,42.65,-3.71,3.71,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,2024-05-01,HISTORICO,False,19608050.0,16666842.5,2941207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,653601.67,278.648,22880000.0,1540000000.0,1001000000.0,10.186,15.6708,12,22660000.0,2266000.0,289.6168,22440000.0,2288000.0,1.036e-05,0.0,232.45,232.45,213.85,23.68,6597.51,23.68,36.43,33.51,-2.91,2.91,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,2024-05-01,HISTORICO,False,19608050.0,16666842.5,2941207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,653601.67,278.648,9360000.0,1540000000.0,1001000000.0,10.186,15.6708,12,9270000.0,927000.0,289.6168,9180000.0,936000.0,1.036e-05,0.0,95.09,95.09,87.48,9.69,2698.98,9.69,14.9,13.71,-1.19,1.19,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,SANTANDER,ESSA - SANTANDER,2024-05-01,HISTORICO,False,19608050.0,16666842.5,2941207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,653601.67,278.648,14560000.0,1540000000.0,1001000000.0,10.186,15.6708,12,14420000.0,1442000.0,289.6168,14280000.0,1456000.0,1.036e-05,0.0,147.92,147.92,136.09,15.07,4198.41,15.07,23.18,21.33,-1.85,1.85,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,TOLIMA,ELET - TOLIMA,2024-05-01,HISTORICO,False,19608050.0,16666842.5,2941207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,653601.67,278.648,7800000.0,1540000000.0,1001000000.0,10.186,15.6708,12,7725000.0,772500.0,289.6168,7650000.0,780000.0,1.036e-05,0.0,79.24,79.24,72.9,8.07,2249.15,8.07,12.42,11.42,-0.99,0.99,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,VALLE,CVC - VALLE DEL CAUCA,2024-05-01,HISTORICO,False,19608050.0,16666842.5,2941207.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,653601.67,278.648,18720000.0,1540000000.0,1001000000.0,10.186,15.6708,12,18540000.0,1854000.0,289.6168,18360000.0,1872000.0,1.036e-05,0.0,190.18,190.18,174.97,19.37,5397.96,19.37,29.8,27.42,-2.38,2.38,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
RTAC,RTAC S.A. E.S.P.,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,2024-06-01,HISTORICO,False,19735375.0,16775068.75,2960306.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),30,657845.83,278.1161,26250000.0,1550000000.0,1007500000.0,10.186,15.6708,12,26000000.0,2600000.0,278.648,25750000.0,2625000.0,1.077e-05,0.0,277.23,277.23,255.05,28.24,7853.66,28.24,43.44,39.97,-3.48,3.48,8.0,ENDC,ENEL COLOMBIA S.A. E.S.P.,28794000000.0,0.0,0.03,0.1,0.92,0.025,False
