Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,152790000.0,129871500.0,22918500.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,153808600.0,130737310.0,23071290.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,154827200.0,131603120.0,23224080.0,85.0,15.0,164.13,49011.7,252.47999999999996,232.29000000000002,-20.2,20.2
2024-04-01,HISTORICO,155845800.0,132468930.0,23376870.0,85.0,15.0,163.81,47440.810000000005,252.01,231.85000000000002,-20.150000000000002,20.150000000000002
2024-05-01,HISTORICO,156864400.0,133334740.0,23529660.0,85.0,15.0,170.58999999999997,47532.05,262.43,241.42999999999995,-20.979999999999997,20.979999999999997
2024-06-01,HISTORICO,157883000.0,134200550.0,23682450.0,85.0,15.0,179.02999999999997,49792.229999999996,275.42999999999995,253.41,-22.04,22.04
2024-07-01,HISTORICO,158901600.0,135066360.0,23835240.0,85.0,15.0,181.11999999999998,52670.68000000001,278.63,256.34999999999997,-22.29,22.29
2024-08-01,HISTORICO,159920200.0,135932170.0,23988030.0,85.0,15.0,174.87,53749.689999999995,269.03999999999996,247.51999999999998,-21.51,21.51
2024-09-01,HISTORICO,160938800.0,136797980.0,24140820.0,85.0,15.0,167.04000000000002,52590.880000000005,256.98,236.42999999999998,-20.549999999999997,20.549999999999997
2024-10-01,HISTORICO,161957400.0,137663790.0,24293610.0,85.0,15.0,164.60999999999999,50811.09,253.23999999999998,232.99,-20.26,20.26
2024-11-01,HISTORICO,162976000.0,138529600.0,24446400.0,85.0,15.0,169.46000000000004,50302.43,260.72,239.85,-20.85,20.85
2024-12-01,HISTORICO,163994600.0,139395410.0,24599190.0,85.0,15.0,177.85999999999999,52021.73,273.63,251.71999999999997,-21.89,21.89
2025-01-01,HISTORICO,165013200.0,140261220.0,24751980.0,85.0,15.0,182.15,54999.38999999999,280.22,257.8,-22.419999999999998,22.419999999999998
2025-02-01,HISTORICO,166031800.0,141127030.0,24904770.0,85.0,15.0,178.05,56762.54000000001,273.92,252.01,-21.92,21.92
2025-03-01,HISTORICO,167050400.0,141992840.0,25057560.0,85.0,15.0,170.15,56127.92,261.79,240.85000000000002,-20.939999999999998,20.939999999999998
