Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,29840982.77,437274.71625,190533645.18,123846869.37,362.8469,371683.51,65591.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.82414875,475991.3257190764,732294.3472423787,673710.7994629885,-58583.54777939024,58583.54777939024,7.999999999999992
2026-08-28,28,2026-08-01,True,BOGOTA,42218016.84,437274.71625,190533645.18,123846869.37,362.8469,371683.51,65591.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.82414875,475991.3257190764,732294.3472423787,673710.7994629885,-58583.54777939024,58583.54777939024,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33753575.17,437274.71625,190533645.18,123846869.37,362.8469,371683.51,65591.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.82414875,475991.3257190764,732294.3472423787,673710.7994629885,-58583.54777939024,58583.54777939024,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26189462.17,437274.71625,190533645.18,123846869.37,362.8469,371683.51,65591.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.82414875,475991.3257190764,732294.3472423787,673710.7994629885,-58583.54777939024,58583.54777939024,7.999999999999992
2026-08-28,28,2026-08-01,True,VALLE,21635898.43,437274.71625,190533645.18,123846869.37,362.8469,371683.51,65591.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.82414875,475991.3257190764,732294.3472423787,673710.7994629885,-58583.54777939024,58583.54777939024,7.999999999999992
2026-08-28,28,2026-08-01,True,SANTANDER,16837433.12,437274.71625,190533645.18,123846869.37,362.8469,371683.51,65591.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.82414875,475991.3257190764,732294.3472423787,673710.7994629885,-58583.54777939024,58583.54777939024,7.999999999999992
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10854113.57,437274.71625,190533645.18,123846869.37,362.8469,371683.51,65591.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.82414875,475991.3257190764,732294.3472423787,673710.7994629885,-58583.54777939024,58583.54777939024,7.999999999999992
2026-08-28,28,2026-08-01,True,TOLIMA,9204163.11,437274.71625,190533645.18,123846869.37,362.8469,371683.51,65591.21,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1311.82414875,475991.3257190764,732294.3472423787,673710.7994629885,-58583.54777939024,58583.54777939024,7.999999999999992
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25391907.76,311605.2725,161036316.80999997,104673605.93,363.5664,264864.48,46740.79,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.8158175000001,339867.621431532,522873.2637233348,481043.40262546804,-41829.861097866786,41829.861097866786,8.0
2026-08-29,29,2026-08-01,True,BOGOTA,35748686.22,311605.2725,161036316.80999997,104673605.93,363.5664,264864.48,46740.79,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.8158175000001,339867.621431532,522873.2637233348,481043.40262546804,-41829.861097866786,41829.861097866786,8.0
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28285542.15,311605.2725,161036316.80999997,104673605.93,363.5664,264864.48,46740.79,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.8158175000001,339867.621431532,522873.2637233348,481043.40262546804,-41829.861097866786,41829.861097866786,8.0
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22392220.35,311605.2725,161036316.80999997,104673605.93,363.5664,264864.48,46740.79,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.8158175000001,339867.621431532,522873.2637233348,481043.40262546804,-41829.861097866786,41829.861097866786,8.0
2026-08-29,29,2026-08-01,True,VALLE,18292422.59,311605.2725,161036316.80999997,104673605.93,363.5664,264864.48,46740.79,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.8158175000001,339867.621431532,522873.2637233348,481043.40262546804,-41829.861097866786,41829.861097866786,8.0
2026-08-29,29,2026-08-01,True,SANTANDER,14202921.84,311605.2725,161036316.80999997,104673605.93,363.5664,264864.48,46740.79,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.8158175000001,339867.621431532,522873.2637233348,481043.40262546804,-41829.861097866786,41829.861097866786,8.0
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9192231.67,311605.2725,161036316.80999997,104673605.93,363.5664,264864.48,46740.79,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.8158175000001,339867.621431532,522873.2637233348,481043.40262546804,-41829.861097866786,41829.861097866786,8.0
2026-08-29,29,2026-08-01,True,TOLIMA,7530384.23,311605.2725,161036316.80999997,104673605.93,363.5664,264864.48,46740.79,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.8158175000001,339867.621431532,522873.2637233348,481043.40262546804,-41829.861097866786,41829.861097866786,8.0
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25308187.26,312157.215,161321557.82000002,104859012.58,364.2743,265333.63,46823.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.4716450000001,341132.5529522235,524819.3122492051,482833.7672692687,-41985.544979936385,41985.544979936385,7.9999999999999964
2026-08-30,30,2026-08-01,True,BOGOTA,35840871.09,312157.215,161321557.82000002,104859012.58,364.2743,265333.63,46823.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.4716450000001,341132.5529522235,524819.3122492051,482833.7672692687,-41985.544979936385,41985.544979936385,7.9999999999999964
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28525313.12,312157.215,161321557.82000002,104859012.58,364.2743,265333.63,46823.58,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.4716450000001,341132.5529522235,524819.3122492051,482833.7672692687,-41985.544979936385,41985.544979936385,7.9999999999999964
