Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,43170000.0,36694500.0,6475500.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,43457800.0,36939130.0,6518670.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,43745600.0,37183760.0,6561840.0,85.0,15.0,46.370000000000005,13847.999999999998,71.33,65.63,-5.700000000000001,5.700000000000001
2024-04-01,HISTORICO,44033400.0,37428390.0,6605010.0,85.0,15.0,46.29,13404.160000000002,71.2,65.51,-5.700000000000001,5.700000000000001
2024-05-01,HISTORICO,44321200.0,37673020.0,6648180.0,85.0,15.0,48.19,13429.939999999999,74.15,68.22,-5.930000000000001,5.930000000000001
2024-06-01,HISTORICO,44609000.0,37917650.0,6691350.0,85.0,15.0,50.58,14068.53,77.81000000000002,71.6,-6.21,6.21
2024-07-01,HISTORICO,44896800.0,38162280.0,6734520.0,85.0,15.0,51.17,14881.83,78.72999999999999,72.43,-6.300000000000001,6.300000000000001
2024-08-01,HISTORICO,45184600.0,38406910.0,6777690.0,85.0,15.0,49.41,15186.69,76.02,69.93,-6.08,6.08
2024-09-01,HISTORICO,45472400.0,38651540.0,6820860.0,85.0,15.0,47.19,14859.27,72.61,66.8,-5.8100000000000005,5.8100000000000005
2024-10-01,HISTORICO,45760200.0,38896170.0,6864030.0,85.0,15.0,46.52,14356.41,71.56,65.83000000000001,-5.720000000000001,5.720000000000001
2024-11-01,HISTORICO,46048000.0,39140800.0,6907200.0,85.0,15.0,47.89000000000001,14212.69,73.67,67.78,-5.89,5.89
2024-12-01,HISTORICO,46335800.0,39385430.0,6950370.0,85.0,15.0,50.260000000000005,14698.460000000001,77.31,71.13,-6.19,6.19
2025-01-01,HISTORICO,46623600.0,39630060.0,6993540.0,85.0,15.0,51.459999999999994,15539.79,79.17999999999999,72.85,-6.34,6.34
2025-02-01,HISTORICO,46911400.0,39874690.0,7036710.0,85.0,15.0,50.3,16037.939999999999,77.38999999999999,71.2,-6.19,6.19
2025-03-01,HISTORICO,47199200.0,40119320.0,7079880.0,85.0,15.0,48.07,15858.64,73.97000000000001,68.05,-5.920000000000001,5.920000000000001
2025-04-01,HISTORICO,47487000.0,40363950.0,7123050.0,85.0,15.0,46.87,15341.800000000003,72.13,66.36000000000001,-5.77,5.77
2025-05-01,HISTORICO,47774800.0,40608580.0,7166220.0,85.0,15.0,47.67999999999999,15049.07,73.35000000000001,67.47,-5.88,5.88
2025-06-01,HISTORICO,48062600.0,40853210.0,7209390.0,85.0,15.0,49.849999999999994,15358.620000000003,76.71000000000001,70.56,-6.13,6.13
2025-07-01,HISTORICO,48350400.0,41097840.0,7252560.0,85.0,15.0,51.529999999999994,16165.920000000002,79.26,72.91,-6.34,6.34
2025-08-01,HISTORICO,48638200.0,41342470.0,7295730.0,85.0,15.0,51.03999999999999,16828.52,78.53,72.23,-6.28,6.28
2025-09-01,HISTORICO,48926000.0,41587100.0,7338900.0,85.0,15.0,48.97,16831.120000000003,75.34,69.31,-6.0200000000000005,6.0200000000000005
2025-10-01,HISTORICO,49213800.0,41831730.0,7382070.0,85.0,15.0,47.379999999999995,16349.26,72.91,67.07000000000001,-5.840000000000001,5.840000000000001
