Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30203958.83,438093.295,190890324.85999998,124078711.16,362.8469,372379.3,65713.99,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.279885,476882.3820046065,733665.203078097,674971.9868318492,-58693.21624624776,58693.21624624776,8.0
2026-08-28,28,2026-08-01,True,BOGOTA,42212628.67,438093.295,190890324.85999998,124078711.16,362.8469,372379.3,65713.99,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.279885,476882.3820046065,733665.203078097,674971.9868318492,-58693.21624624776,58693.21624624776,8.0
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33490994.38,438093.295,190890324.85999998,124078711.16,362.8469,372379.3,65713.99,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.279885,476882.3820046065,733665.203078097,674971.9868318492,-58693.21624624776,58693.21624624776,8.0
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26686448.37,438093.295,190890324.85999998,124078711.16,362.8469,372379.3,65713.99,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.279885,476882.3820046065,733665.203078097,674971.9868318492,-58693.21624624776,58693.21624624776,8.0
2026-08-28,28,2026-08-01,True,VALLE,21705535.1,438093.295,190890324.85999998,124078711.16,362.8469,372379.3,65713.99,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.279885,476882.3820046065,733665.203078097,674971.9868318492,-58693.21624624776,58693.21624624776,8.0
2026-08-28,28,2026-08-01,True,SANTANDER,16729893.81,438093.295,190890324.85999998,124078711.16,362.8469,372379.3,65713.99,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.279885,476882.3820046065,733665.203078097,674971.9868318492,-58693.21624624776,58693.21624624776,8.0
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10854050.97,438093.295,190890324.85999998,124078711.16,362.8469,372379.3,65713.99,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.279885,476882.3820046065,733665.203078097,674971.9868318492,-58693.21624624776,58693.21624624776,8.0
2026-08-28,28,2026-08-01,True,TOLIMA,9006814.73,438093.295,190890324.85999998,124078711.16,362.8469,372379.3,65713.99,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.279885,476882.3820046065,733665.203078097,674971.9868318492,-58693.21624624776,58693.21624624776,8.0
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25328994.72,311913.795,161195759.84,104777243.9,363.5664,265126.73,46787.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7413849999999,340204.126675464,523390.9640961173,481519.6869684279,-41871.27712768939,41871.27712768939,8.000000000000002
2026-08-29,29,2026-08-01,True,BOGOTA,35855973.92,311913.795,161195759.84,104777243.9,363.5664,265126.73,46787.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7413849999999,340204.126675464,523390.9640961173,481519.6869684279,-41871.27712768939,41871.27712768939,8.000000000000002
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28337842.29,311913.795,161195759.84,104777243.9,363.5664,265126.73,46787.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7413849999999,340204.126675464,523390.9640961173,481519.6869684279,-41871.27712768939,41871.27712768939,8.000000000000002
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22178617.57,311913.795,161195759.84,104777243.9,363.5664,265126.73,46787.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7413849999999,340204.126675464,523390.9640961173,481519.6869684279,-41871.27712768939,41871.27712768939,8.000000000000002
2026-08-29,29,2026-08-01,True,VALLE,18254433.18,311913.795,161195759.84,104777243.9,363.5664,265126.73,46787.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7413849999999,340204.126675464,523390.9640961173,481519.6869684279,-41871.27712768939,41871.27712768939,8.000000000000002
2026-08-29,29,2026-08-01,True,SANTANDER,14230815.47,311913.795,161195759.84,104777243.9,363.5664,265126.73,46787.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7413849999999,340204.126675464,523390.9640961173,481519.6869684279,-41871.27712768939,41871.27712768939,8.000000000000002
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9274146.7,311913.795,161195759.84,104777243.9,363.5664,265126.73,46787.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7413849999999,340204.126675464,523390.9640961173,481519.6869684279,-41871.27712768939,41871.27712768939,8.000000000000002
2026-08-29,29,2026-08-01,True,TOLIMA,7734935.99,311913.795,161195759.84,104777243.9,363.5664,265126.73,46787.07,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),935.7413849999999,340204.126675464,523390.9640961173,481519.6869684279,-41871.27712768939,41871.27712768939,8.000000000000002
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25459022.71,313051.065,161783495.82,105159272.28,364.2743,266093.41,46957.66,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.153195,342109.3727013885,526322.111863305,484216.3429142406,-42105.76894906437,42105.76894906437,7.999999999999995
2026-08-30,30,2026-08-01,True,BOGOTA,35938817.47,313051.065,161783495.82,105159272.28,364.2743,266093.41,46957.66,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.153195,342109.3727013885,526322.111863305,484216.3429142406,-42105.76894906437,42105.76894906437,7.999999999999995
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28425916.07,313051.065,161783495.82,105159272.28,364.2743,266093.41,46957.66,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.153195,342109.3727013885,526322.111863305,484216.3429142406,-42105.76894906437,42105.76894906437,7.999999999999995
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22616856.0,313051.065,161783495.82,105159272.28,364.2743,266093.41,46957.66,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),939.153195,342109.3727013885,526322.111863305,484216.3429142406,-42105.76894906437,42105.76894906437,7.999999999999995
