Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,61005000.0,51854250.0,9150750.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,61411700.0,52199944.95999999,9211755.04,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,61818400.0,52545640.0,9272760.0,85.0,15.0,65.54,19569.08,100.8,92.74,-8.06,8.06
2024-04-01,HISTORICO,62225100.0,52891335.04000001,9333765.04,85.0,15.0,65.4,18941.850000000002,100.63,92.57000000000001,-8.049999999999999,8.049999999999999
2024-05-01,HISTORICO,62631800.0,53237030.0,9394770.0,85.0,15.0,68.10000000000001,18978.29,104.79,96.39,-8.38,8.38
2024-06-01,HISTORICO,63038500.0,53582724.95999999,9455775.04,85.0,15.0,71.49000000000001,19880.719999999998,109.96000000000001,101.18,-8.8,8.8
2024-07-01,HISTORICO,63445200.0,53928420.0,9516780.0,85.0,15.0,72.32,21030.010000000002,111.25,102.34,-8.91,8.91
2024-08-01,HISTORICO,63851900.0,54274115.04000001,9577785.04,85.0,15.0,69.81,21460.829999999998,107.41999999999999,98.83000000000001,-8.61,8.61
2024-09-01,HISTORICO,64258600.0,54619810.0,9638790.0,85.0,15.0,66.69999999999999,20998.149999999998,102.61,94.41,-8.209999999999999,8.209999999999999
2024-10-01,HISTORICO,64665300.0,54965504.95999999,9699795.04,85.0,15.0,65.71999999999998,20287.52,101.10000000000001,93.01,-8.09,8.09
2024-11-01,HISTORICO,65072000.0,55311200.0,9760800.0,85.0,15.0,67.65,20084.43,104.1,95.78,-8.33,8.33
2024-12-01,HISTORICO,65478700.0,55656895.04000001,9821805.04,85.0,15.0,71.0,20770.9,109.24000000000001,100.50999999999999,-8.73,8.73
2025-01-01,HISTORICO,65885400.0,56002590.0,9882810.0,85.0,15.0,72.72000000000001,21959.810000000005,111.88999999999999,102.93,-8.95,8.95
2025-02-01,HISTORICO,66292100.0,56348284.95999999,9943815.04,85.0,15.0,71.09,22663.779999999995,109.36999999999999,100.63,-8.74,8.74
2025-03-01,HISTORICO,66698800.0,56693980.0,10004820.0,85.0,15.0,67.94,22410.39,104.53,96.15999999999998,-8.370000000000001,8.370000000000001
2025-04-01,HISTORICO,67105500.0,57039675.04000001,10065825.04,85.0,15.0,66.24000000000001,21680.039999999997,101.92000000000002,93.76000000000002,-8.159999999999998,8.159999999999998
