Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30161915.93,439017.03,191292823.4,124340335.21,362.8469,373164.48,65852.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.0510900000002,477887.90514812106,735212.16176634,676395.1888250329,-58816.97294130712,58816.97294130712,7.999999999999989
2026-08-28,28,2026-08-01,True,BOGOTA,41616558.17,439017.03,191292823.4,124340335.21,362.8469,373164.48,65852.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.0510900000002,477887.90514812106,735212.16176634,676395.1888250329,-58816.97294130712,58816.97294130712,7.999999999999989
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34117098.23,439017.03,191292823.4,124340335.21,362.8469,373164.48,65852.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.0510900000002,477887.90514812106,735212.16176634,676395.1888250329,-58816.97294130712,58816.97294130712,7.999999999999989
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26508782.3,439017.03,191292823.4,124340335.21,362.8469,373164.48,65852.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.0510900000002,477887.90514812106,735212.16176634,676395.1888250329,-58816.97294130712,58816.97294130712,7.999999999999989
2026-08-28,28,2026-08-01,True,VALLE,21888131.02,439017.03,191292823.4,124340335.21,362.8469,373164.48,65852.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.0510900000002,477887.90514812106,735212.16176634,676395.1888250329,-58816.97294130712,58816.97294130712,7.999999999999989
2026-08-28,28,2026-08-01,True,SANTANDER,16932083.36,439017.03,191292823.4,124340335.21,362.8469,373164.48,65852.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.0510900000002,477887.90514812106,735212.16176634,676395.1888250329,-58816.97294130712,58816.97294130712,7.999999999999989
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10941624.96,439017.03,191292823.4,124340335.21,362.8469,373164.48,65852.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.0510900000002,477887.90514812106,735212.16176634,676395.1888250329,-58816.97294130712,58816.97294130712,7.999999999999989
2026-08-28,28,2026-08-01,True,TOLIMA,9126629.43,439017.03,191292823.4,124340335.21,362.8469,373164.48,65852.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.0510900000002,477887.90514812106,735212.16176634,676395.1888250329,-58816.97294130712,58816.97294130712,7.999999999999989
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25708721.64,314097.9175,162324505.26999998,105510928.43,363.5664,266983.23,47114.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.2937525,342586.347338916,527055.9189604688,484891.4454436314,-42164.47351683746,42164.47351683746,7.999999999999992
2026-08-29,29,2026-08-01,True,BOGOTA,35844661.86,314097.9175,162324505.26999998,105510928.43,363.5664,266983.23,47114.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.2937525,342586.347338916,527055.9189604688,484891.4454436314,-42164.47351683746,42164.47351683746,7.999999999999992
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28824678.44,314097.9175,162324505.26999998,105510928.43,363.5664,266983.23,47114.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.2937525,342586.347338916,527055.9189604688,484891.4454436314,-42164.47351683746,42164.47351683746,7.999999999999992
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22475677.61,314097.9175,162324505.26999998,105510928.43,363.5664,266983.23,47114.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.2937525,342586.347338916,527055.9189604688,484891.4454436314,-42164.47351683746,42164.47351683746,7.999999999999992
2026-08-29,29,2026-08-01,True,VALLE,18175143.06,314097.9175,162324505.26999998,105510928.43,363.5664,266983.23,47114.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.2937525,342586.347338916,527055.9189604688,484891.4454436314,-42164.47351683746,42164.47351683746,7.999999999999992
2026-08-29,29,2026-08-01,True,SANTANDER,14444563.9,314097.9175,162324505.26999998,105510928.43,363.5664,266983.23,47114.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.2937525,342586.347338916,527055.9189604688,484891.4454436314,-42164.47351683746,42164.47351683746,7.999999999999992
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9173462.12,314097.9175,162324505.26999998,105510928.43,363.5664,266983.23,47114.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.2937525,342586.347338916,527055.9189604688,484891.4454436314,-42164.47351683746,42164.47351683746,7.999999999999992
2026-08-29,29,2026-08-01,True,TOLIMA,7677596.64,314097.9175,162324505.26999998,105510928.43,363.5664,266983.23,47114.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.2937525,342586.347338916,527055.9189604688,484891.4454436314,-42164.47351683746,42164.47351683746,7.999999999999992
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25449118.33,312292.1975,161391316.70000002,104904355.86,364.2743,265448.37,46843.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.8765925,341280.06491932273,525046.2536970101,483042.55340124934,-42003.70029576076,42003.70029576076,7.99999999999999
2026-08-30,30,2026-08-01,True,BOGOTA,36077035.37,312292.1975,161391316.70000002,104904355.86,364.2743,265448.37,46843.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.8765925,341280.06491932273,525046.2536970101,483042.55340124934,-42003.70029576076,42003.70029576076,7.99999999999999
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28204882.61,312292.1975,161391316.70000002,104904355.86,364.2743,265448.37,46843.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.8765925,341280.06491932273,525046.2536970101,483042.55340124934,-42003.70029576076,42003.70029576076,7.99999999999999
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22735091.43,312292.1975,161391316.70000002,104904355.86,364.2743,265448.37,46843.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.8765925,341280.06491932273,525046.2536970101,483042.55340124934,-42003.70029576076,42003.70029576076,7.99999999999999
2026-08-30,30,2026-08-01,True,VALLE,18083643.34,312292.1975,161391316.70000002,104904355.86,364.2743,265448.37,46843.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.8765925,341280.06491932273,525046.2536970101,483042.55340124934,-42003.70029576076,42003.70029576076,7.99999999999999
2026-08-30,30,2026-08-01,True,SANTANDER,14109177.22,312292.1975,161391316.70000002,104904355.86,364.2743,265448.37,46843.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.8765925,341280.06491932273,525046.2536970101,483042.55340124934,-42003.70029576076,42003.70029576076,7.99999999999999
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9028605.91,312292.1975,161391316.70000002,104904355.86,364.2743,265448.37,46843.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.8765925,341280.06491932273,525046.2536970101,483042.55340124934,-42003.70029576076,42003.70029576076,7.99999999999999
2026-08-30,30,2026-08-01,True,TOLIMA,7703762.49,312292.1975,161391316.70000002,104904355.86,364.2743,265448.37,46843.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.8765925,341280.06491932273,525046.2536970101,483042.55340124934,-42003.70029576076,42003.70029576076,7.99999999999999
2026-08-31,31,2026-08-01,True,ANTIOQUIA,30205317.53,438942.28625,191260255.41999996,124319166.02,364.9592,373100.94,65841.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.82685875,480588.07690791297,739366.2721838618,680216.9704091529,-59149.3017747089,59149.3017747089,7.999999999999995
2026-08-31,31,2026-08-01,True,BOGOTA,42219599.51,438942.28625,191260255.41999996,124319166.02,364.9592,373100.94,65841.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.82685875,480588.07690791297,739366.2721838618,680216.9704091529,-59149.3017747089,59149.3017747089,7.999999999999995
2026-08-31,31,2026-08-01,True,CARIBE_MAR,33776264.4,438942.28625,191260255.41999996,124319166.02,364.9592,373100.94,65841.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.82685875,480588.07690791297,739366.2721838618,680216.9704091529,-59149.3017747089,59149.3017747089,7.999999999999995
2026-08-31,31,2026-08-01,True,CARIBE_SOL,26480103.07,438942.28625,191260255.41999996,124319166.02,364.9592,373100.94,65841.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.82685875,480588.07690791297,739366.2721838618,680216.9704091529,-59149.3017747089,59149.3017747089,7.999999999999995
2026-08-31,31,2026-08-01,True,VALLE,21530597.56,438942.28625,191260255.41999996,124319166.02,364.9592,373100.94,65841.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.82685875,480588.07690791297,739366.2721838618,680216.9704091529,-59149.3017747089,59149.3017747089,7.999999999999995
2026-08-31,31,2026-08-01,True,SANTANDER,16934685.95,438942.28625,191260255.41999996,124319166.02,364.9592,373100.94,65841.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.82685875,480588.07690791297,739366.2721838618,680216.9704091529,-59149.3017747089,59149.3017747089,7.999999999999995
2026-08-31,31,2026-08-01,True,CUNDINAMARCA,10992539.17,438942.28625,191260255.41999996,124319166.02,364.9592,373100.94,65841.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.82685875,480588.07690791297,739366.2721838618,680216.9704091529,-59149.3017747089,59149.3017747089,7.999999999999995
2026-08-31,31,2026-08-01,True,TOLIMA,9121148.23,438942.28625,191260255.41999996,124319166.02,364.9592,373100.94,65841.34,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1316.82685875,480588.07690791297,739366.2721838618,680216.9704091529,-59149.3017747089,59149.3017747089,7.999999999999995
2026-09-01,1,2026-09-01,True,ANTIOQUIA,30350965.32,440930.32625,192126503.64000002,124882227.37,365.6102,374790.78,66139.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.79097875,483625.8742989833,744039.8065899888,684516.6220627897,-59523.18452719902,59523.18452719902,7.999999999999989
2026-09-01,1,2026-09-01,True,BOGOTA,42128344.16,440930.32625,192126503.64000002,124882227.37,365.6102,374790.78,66139.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.79097875,483625.8742989833,744039.8065899888,684516.6220627897,-59523.18452719902,59523.18452719902,7.999999999999989
2026-09-01,1,2026-09-01,True,CARIBE_MAR,33974081.17,440930.32625,192126503.64000002,124882227.37,365.6102,374790.78,66139.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.79097875,483625.8742989833,744039.8065899888,684516.6220627897,-59523.18452719902,59523.18452719902,7.999999999999989
2026-09-01,1,2026-09-01,True,CARIBE_SOL,26936685.52,440930.32625,192126503.64000002,124882227.37,365.6102,374790.78,66139.55,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1322.79097875,483625.8742989833,744039.8065899888,684516.6220627897,-59523.18452719902,59523.18452719902,7.999999999999989
