Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,77752500.0,66089624.95999999,11662875.04,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,78270850.0,66530222.480000004,11740627.519999998,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,78789200.0,66970820.0,11818380.0,85.0,15.0,83.50000000000001,24941.3,128.48999999999998,118.19,-10.29,10.29
2024-04-01,HISTORICO,79307550.0,67411417.52,11896132.480000002,85.0,15.0,83.36,24141.910000000003,128.23999999999998,117.98,-10.27,10.27
2024-05-01,HISTORICO,79825900.0,67852015.04,11973885.04,85.0,15.0,86.80999999999999,24188.33,133.54999999999998,122.85,-10.689999999999998,10.689999999999998
2024-06-01,HISTORICO,80344250.0,68292612.48,12051637.519999998,85.0,15.0,91.10999999999999,25338.5,140.17,128.95,-11.22,11.22
2024-07-01,HISTORICO,80862600.0,68733210.0,12129390.0,85.0,15.0,92.16,26803.300000000003,141.79,130.45999999999998,-11.329999999999998,11.329999999999998
2024-08-01,HISTORICO,81380950.0,69173807.52,12207142.480000002,85.0,15.0,88.99,27352.4,136.9,125.95,-10.95,10.95
2024-09-01,HISTORICO,81899300.0,69614404.96,12284895.04,85.0,15.0,85.01,26762.710000000003,130.78,120.30999999999999,-10.46,10.46
2024-10-01,HISTORICO,82417650.0,70055002.48,12362647.519999998,85.0,15.0,83.77000000000001,25857.0,128.89,118.55000000000001,-10.319999999999999,10.319999999999999
2024-11-01,HISTORICO,82936000.0,70495600.0,12440400.0,85.0,15.0,86.23000000000002,25598.13,132.68,122.05,-10.599999999999998,10.599999999999998
2024-12-01,HISTORICO,83454350.0,70936197.52,12518152.480000002,85.0,15.0,90.50999999999999,26473.050000000003,139.25,128.1,-11.149999999999999,11.149999999999999
2025-01-01,HISTORICO,83972700.0,71376795.04,12595905.04,85.0,15.0,92.7,27988.35,142.6,131.20000000000002,-11.420000000000002,11.420000000000002
2025-02-01,HISTORICO,84491050.0,71817392.48,12673657.519999998,85.0,15.0,90.61000000000001,28885.600000000002,139.4,128.23999999999998,-11.149999999999999,11.149999999999999
2025-03-01,HISTORICO,85009400.0,72257990.0,12751410.0,85.0,15.0,86.6,28562.64,133.21,122.55999999999999,-10.649999999999999,10.649999999999999
2025-04-01,HISTORICO,85527750.0,72698587.52,12829162.480000002,85.0,15.0,84.44,27631.800000000003,129.9,119.51000000000002,-10.389999999999999,10.389999999999999
2025-05-01,HISTORICO,86046100.0,73139184.96,12906915.04,85.0,15.0,85.86,27104.56,132.09,121.53000000000002,-10.569999999999999,10.569999999999999
2025-06-01,HISTORICO,86564450.0,73579782.48,12984667.519999998,85.0,15.0,89.79,27662.06,138.13000000000002,127.09,-11.040000000000001,11.040000000000001
2025-07-01,HISTORICO,87082800.0,74020380.0,13062420.0,85.0,15.0,92.79999999999998,29116.079999999998,142.78,131.35999999999999,-11.43,11.43
2025-08-01,HISTORICO,87601150.0,74460977.52,13140172.480000002,85.0,15.0,91.92999999999999,30309.500000000004,141.41,130.1,-11.31,11.31
2025-09-01,HISTORICO,88119500.0,74901575.04,13217925.04,85.0,15.0,88.2,30314.149999999998,135.69,124.85,-10.859999999999998,10.859999999999998
2025-10-01,HISTORICO,88637850.0,75342172.48,13295677.519999998,85.0,15.0,85.35000000000001,29446.26,131.29,120.8,-10.52,10.52
2025-11-01,HISTORICO,89156200.0,75782770.0,13373430.0,85.0,15.0,85.72000000000001,28704.21,131.88,121.33,-10.54,10.54
2025-12-01,HISTORICO,89674550.0,76223367.52,13451182.480000002,85.0,15.0,89.06,28927.530000000002,137.01,126.05999999999997,-10.959999999999999,10.959999999999999
