Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30098043.42,438495.37,191065520.61,124192588.4,362.8469,372721.06,65774.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.48611,477320.05700655904,734338.5492201648,675591.4652825516,-58747.08393761318,58747.08393761318,7.999999999999999
2026-08-28,28,2026-08-01,True,BOGOTA,42222545.17,438495.37,191065520.61,124192588.4,362.8469,372721.06,65774.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.48611,477320.05700655904,734338.5492201648,675591.4652825516,-58747.08393761318,58747.08393761318,7.999999999999999
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33720311.81,438495.37,191065520.61,124192588.4,362.8469,372721.06,65774.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.48611,477320.05700655904,734338.5492201648,675591.4652825516,-58747.08393761318,58747.08393761318,7.999999999999999
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26621168.91,438495.37,191065520.61,124192588.4,362.8469,372721.06,65774.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.48611,477320.05700655904,734338.5492201648,675591.4652825516,-58747.08393761318,58747.08393761318,7.999999999999999
2026-08-28,28,2026-08-01,True,VALLE,21646979.8,438495.37,191065520.61,124192588.4,362.8469,372721.06,65774.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.48611,477320.05700655904,734338.5492201648,675591.4652825516,-58747.08393761318,58747.08393761318,7.999999999999999
2026-08-28,28,2026-08-01,True,SANTANDER,16980809.58,438495.37,191065520.61,124192588.4,362.8469,372721.06,65774.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.48611,477320.05700655904,734338.5492201648,675591.4652825516,-58747.08393761318,58747.08393761318,7.999999999999999
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10878627.58,438495.37,191065520.61,124192588.4,362.8469,372721.06,65774.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.48611,477320.05700655904,734338.5492201648,675591.4652825516,-58747.08393761318,58747.08393761318,7.999999999999999
2026-08-28,28,2026-08-01,True,TOLIMA,8897034.34,438495.37,191065520.61,124192588.4,362.8469,372721.06,65774.31,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1315.48611,477320.05700655904,734338.5492201648,675591.4652825516,-58747.08393761318,58747.08393761318,7.999999999999999
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25901390.74,313754.9825,162147277.57,105395730.42,363.5664,266691.74,47063.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.2649475,342212.30840876396,526480.474477519,484362.03651931754,-42118.43795820151,42118.43795820151,7.999999999999997
2026-08-29,29,2026-08-01,True,BOGOTA,35917213.91,313754.9825,162147277.57,105395730.42,363.5664,266691.74,47063.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.2649475,342212.30840876396,526480.474477519,484362.03651931754,-42118.43795820151,42118.43795820151,7.999999999999997
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28328619.36,313754.9825,162147277.57,105395730.42,363.5664,266691.74,47063.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.2649475,342212.30840876396,526480.474477519,484362.03651931754,-42118.43795820151,42118.43795820151,7.999999999999997
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22678540.67,313754.9825,162147277.57,105395730.42,363.5664,266691.74,47063.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.2649475,342212.30840876396,526480.474477519,484362.03651931754,-42118.43795820151,42118.43795820151,7.999999999999997
2026-08-29,29,2026-08-01,True,VALLE,18334933.11,313754.9825,162147277.57,105395730.42,363.5664,266691.74,47063.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.2649475,342212.30840876396,526480.474477519,484362.03651931754,-42118.43795820151,42118.43795820151,7.999999999999997
