Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,35557500.0,30223875.039999995,5333625.04,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,35794550.0,30425367.520000003,5369182.48,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,36031600.0,30626860.0,5404740.0,85.0,15.0,38.19,11406.07,58.77000000000001,54.06,-4.7,4.7
2024-04-01,HISTORICO,36268650.0,30828352.479999997,5440297.52,85.0,15.0,38.11,11040.480000000001,58.650000000000006,53.95000000000001,-4.69,4.69
2024-05-01,HISTORICO,36505700.0,31029844.960000005,5475855.04,85.0,15.0,39.699999999999996,11061.72,61.08,56.190000000000005,-4.88,4.88
2024-06-01,HISTORICO,36742750.0,31231337.520000003,5511412.48,85.0,15.0,41.66,11587.720000000001,64.09,58.980000000000004,-5.12,5.12
2024-07-01,HISTORICO,36979800.0,31432830.0,5546970.0,85.0,15.0,42.15,12257.580000000002,64.85000000000001,59.660000000000004,-5.199999999999999,5.199999999999999
2024-08-01,HISTORICO,37216850.0,31634322.479999997,5582527.52,85.0,15.0,40.699999999999996,12508.689999999999,62.620000000000005,57.620000000000005,-5.010000000000002,5.010000000000002
2024-09-01,HISTORICO,37453900.0,31835815.039999995,5618085.04,85.0,15.0,38.870000000000005,12239.019999999997,59.81,55.019999999999996,-4.780000000000001,4.780000000000001
2024-10-01,HISTORICO,37690950.0,32037307.520000003,5653642.48,85.0,15.0,38.31,11824.809999999998,58.94,54.230000000000004,-4.71,4.71
2024-11-01,HISTORICO,37928000.0,32238800.0,5689200.0,85.0,15.0,39.44,11706.45,60.68,55.82000000000001,-4.86,4.86
2024-12-01,HISTORICO,38165050.0,32440292.479999997,5724757.52,85.0,15.0,41.39000000000001,12106.570000000003,63.66999999999999,58.580000000000005,-5.090000000000001,5.090000000000001
2025-01-01,HISTORICO,38402100.0,32641784.960000005,5760315.04,85.0,15.0,42.39,12799.539999999999,65.21999999999998,60.0,-5.209999999999999,5.209999999999999
2025-02-01,HISTORICO,38639150.0,32843277.520000003,5795872.48,85.0,15.0,41.440000000000005,13209.839999999998,63.75000000000001,58.650000000000006,-5.1000000000000005,5.1000000000000005
2025-03-01,HISTORICO,38876200.0,33044770.0,5831430.0,85.0,15.0,39.61,13062.17,60.92000000000001,56.05,-4.88,4.88
2025-04-01,HISTORICO,39113250.0,33246262.479999997,5866987.52,85.0,15.0,38.62,12636.480000000001,59.41,54.65999999999999,-4.75,4.75
2025-05-01,HISTORICO,39350300.0,33447755.039999995,5902545.04,85.0,15.0,39.27,12395.36,60.41,55.580000000000005,-4.83,4.83
2025-06-01,HISTORICO,39587350.0,33649247.52,5938102.48,85.0,15.0,41.06,12650.32,63.17000000000001,58.12,-5.0600000000000005,5.0600000000000005
2025-07-01,HISTORICO,39824400.0,33850740.0,5973660.0,85.0,15.0,42.44,13315.249999999998,65.30000000000001,60.06000000000001,-5.22,5.22
2025-08-01,HISTORICO,40061450.0,34052232.48,6009217.52,85.0,15.0,42.03,13861.029999999999,64.66,59.51,-5.17,5.17
2025-09-01,HISTORICO,40298500.0,34253724.96,6044775.04,85.0,15.0,40.339999999999996,13863.169999999998,62.05,57.08,-4.960000000000001,4.960000000000001
