Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30478963.12,439721.79,191599908.41,124539940.47,362.8469,373763.52,65958.27,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.16537,478655.065091853,736392.4078129248,677481.0151878909,-58911.39262503397,58911.39262503397,7.999999999999999
2026-08-28,28,2026-08-01,True,BOGOTA,42002021.88,439721.79,191599908.41,124539940.47,362.8469,373763.52,65958.27,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.16537,478655.065091853,736392.4078129248,677481.0151878909,-58911.39262503397,58911.39262503397,7.999999999999999
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33741611.78,439721.79,191599908.41,124539940.47,362.8469,373763.52,65958.27,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.16537,478655.065091853,736392.4078129248,677481.0151878909,-58911.39262503397,58911.39262503397,7.999999999999999
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26649648.35,439721.79,191599908.41,124539940.47,362.8469,373763.52,65958.27,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.16537,478655.065091853,736392.4078129248,677481.0151878909,-58911.39262503397,58911.39262503397,7.999999999999999
2026-08-28,28,2026-08-01,True,VALLE,21964130.12,439721.79,191599908.41,124539940.47,362.8469,373763.52,65958.27,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.16537,478655.065091853,736392.4078129248,677481.0151878909,-58911.39262503397,58911.39262503397,7.999999999999999
2026-08-28,28,2026-08-01,True,SANTANDER,16886293.53,439721.79,191599908.41,124539940.47,362.8469,373763.52,65958.27,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.16537,478655.065091853,736392.4078129248,677481.0151878909,-58911.39262503397,58911.39262503397,7.999999999999999
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10733686.68,439721.79,191599908.41,124539940.47,362.8469,373763.52,65958.27,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.16537,478655.065091853,736392.4078129248,677481.0151878909,-58911.39262503397,58911.39262503397,7.999999999999999
2026-08-28,28,2026-08-01,True,TOLIMA,9143552.95,439721.79,191599908.41,124539940.47,362.8469,373763.52,65958.27,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.16537,478655.065091853,736392.4078129248,677481.0151878909,-58911.39262503397,58911.39262503397,7.999999999999999
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25624731.81,313757.3775,162148515.76999998,105396535.25,363.5664,266693.77,47063.61,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.2721325,342214.920633348,526484.4932845715,484365.73382180574,-42118.75946276571,42118.75946276571,7.999999999999999
2026-08-29,29,2026-08-01,True,BOGOTA,36262084.35,313757.3775,162148515.76999998,105396535.25,363.5664,266693.77,47063.61,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.2721325,342214.920633348,526484.4932845715,484365.73382180574,-42118.75946276571,42118.75946276571,7.999999999999999
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28349475.27,313757.3775,162148515.76999998,105396535.25,363.5664,266693.77,47063.61,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.2721325,342214.920633348,526484.4932845715,484365.73382180574,-42118.75946276571,42118.75946276571,7.999999999999999
