Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,77317500.0,65719875.04000001,11597625.04,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,77832950.0,66158007.519999996,11674942.480000002,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,78348400.0,66596140.0,11752260.0,85.0,15.0,83.06,24801.76,127.76000000000002,117.55,-10.22,10.22
2024-04-01,HISTORICO,78863850.0,67034272.480000004,11829577.519999998,85.0,15.0,82.88000000000001,24006.840000000004,127.51,117.32,-10.200000000000001,10.200000000000001
2024-05-01,HISTORICO,79379300.0,67472404.96,11906895.04,85.0,15.0,86.31,24053.02,132.80000000000004,122.16999999999999,-10.629999999999999,10.629999999999999
2024-06-01,HISTORICO,79894750.0,67910537.52,11984212.480000002,85.0,15.0,90.6,25196.75,139.38000000000002,128.23999999999998,-11.149999999999999,11.149999999999999
2024-07-01,HISTORICO,80410200.0,68348670.0,12061530.0,85.0,15.0,91.66,26653.36,141.0,129.74,-11.28,11.28
2024-08-01,HISTORICO,80925650.0,68786802.48,12138847.519999998,85.0,15.0,88.49,27199.38,136.14,125.25999999999999,-10.9,10.9
2024-09-01,HISTORICO,81441100.0,69224935.04,12216165.04,85.0,15.0,84.52999999999999,26612.97,130.04,119.65,-10.399999999999999,10.399999999999999
2024-10-01,HISTORICO,81956550.0,69663067.52,12293482.480000002,85.0,15.0,83.28999999999999,25712.32,128.15,117.89,-10.25,10.25
2024-11-01,HISTORICO,82472000.0,70101200.0,12370800.0,85.0,15.0,85.76,25454.920000000002,131.92,121.35999999999999,-10.54,10.54
2024-12-01,HISTORICO,82987450.0,70539332.48,12448117.519999998,85.0,15.0,90.00000000000001,26324.939999999995,138.46,127.38000000000001,-11.09,11.09
2025-01-01,HISTORICO,83502900.0,70977464.96,12525435.04,85.0,15.0,92.16,27831.769999999997,141.79999999999998,130.47,-11.34,11.34
2025-02-01,HISTORICO,84018350.0,71415597.52,12602752.480000002,85.0,15.0,90.11,28724.0,138.60999999999999,127.51,-11.09,11.09
2025-03-01,HISTORICO,84533800.0,71853730.0,12680070.0,85.0,15.0,86.1,28402.84,132.45999999999998,121.87,-10.589999999999998,10.589999999999998
2025-04-01,HISTORICO,85049250.0,72291862.48,12757387.519999998,85.0,15.0,83.96000000000001,27477.2,129.16,118.84,-10.33,10.33
2025-05-01,HISTORICO,85564700.0,72729995.04,12834705.04,85.0,15.0,85.38000000000001,26952.920000000002,131.35999999999999,120.83999999999999,-10.52,10.52
2025-06-01,HISTORICO,86080150.0,73168127.52,12912022.480000002,85.0,15.0,89.28,27507.310000000005,137.37,126.36999999999999,-10.99,10.99
2025-07-01,HISTORICO,86595600.0,73606260.0,12989340.0,85.0,15.0,92.29,28953.190000000002,141.97,130.61,-11.36,11.36
2025-08-01,HISTORICO,87111050.0,74044392.48,13066657.519999998,85.0,15.0,91.40999999999998,30139.92,140.61,129.38000000000002,-11.24,11.24
2025-09-01,HISTORICO,87626500.0,74482524.96,13143975.04,85.0,15.0,87.70000000000002,30144.560000000005,134.93,124.13999999999999,-10.79,10.79
2025-10-01,HISTORICO,88141950.0,74920657.52,13221292.480000002,85.0,15.0,84.88,29281.520000000004,130.55,120.11,-10.450000000000001,10.450000000000001
2025-11-01,HISTORICO,88657400.0,75358790.0,13298610.0,85.0,15.0,85.22999999999999,28543.62,131.14,120.64999999999999,-10.5,10.5
2025-12-01,HISTORICO,89172850.0,75796922.48,13375927.519999998,85.0,15.0,88.57,28765.7,136.25,125.35000000000001,-10.909999999999998,10.909999999999998
2026-01-01,HISTORICO,89688300.0,76235055.04,13453245.039999995,85.0,15.0,92.06,30049.950000000004,141.63,130.31000000000003,-11.329999999999998,11.329999999999998
2026-02-01,HISTORICO,90203750.0,76673187.52,13530562.480000002,85.0,15.0,92.35999999999999,31448.950000000004,142.09,130.73,-11.369999999999997,11.369999999999997
2026-03-01,HISTORICO,90719200.0,77111320.0,13607880.0,85.0,15.0,89.26,31813.22,137.32,126.34,-10.979999999999999,10.979999999999999
2026-04-01,HISTORICO,91234650.0,77549452.48,13685197.519999998,85.0,15.0,85.95,31101.82,132.24,121.66999999999999,-10.579999999999998,10.579999999999998
2026-05-01,HISTORICO,91750100.0,77987584.96,13762515.039999995,85.0,15.0,85.36000000000001,30217.989999999994,131.29999999999998,120.8,-10.52,10.52
2026-06-01,HISTORICO,92265550.0,78425717.52,13839832.480000002,85.0,15.0,87.91,30114.64,135.25,124.44,-10.819999999999999,10.819999999999999
2026-07-01,HISTORICO,92781000.0,78863850.0,13917150.0,85.0,15.0,91.58000000000001,31155.649999999998,140.9,129.62,-11.27,11.27
2026-08-01,HISTORICO,105363131.03999999,89558661.36000001,15804469.679999994,85.0,15.0,36293.030000000006,13206316.460000003,20267300.679999996,18645916.590000004,-1621384.08,1621384.08
2026-09-01,HISTORICO,191677902.96,162926217.51999998,28751685.519999996,85.0,15.0,293688.67000000004,107596160.18000002,165481326.51999998,152242820.4,-13238506.120000001,13238506.120000001
2026-10-01,HISTORICO,195710926.0,166354287.11999997,29356638.88,85.0,15.0,304237.9,112924962.27999999,173680211.34,159785794.44,-13894416.899999999,13894416.899999999
2026-11-01,HISTORICO,193572050.96,164536243.28,29035807.680000003,85.0,15.0,296273.47,110592211.47,170092823.77999997,156485397.95,-13607425.899999997,13607425.899999997
2026-12-01,HISTORICO,199628293.51999998,169684049.51999998,29944244.080000002,85.0,15.0,312897.57,118690822.46000001,182552844.00000003,167948616.43000004,-14604227.48,14604227.48
2027-01-01,HISTORICO,198998116.31999996,169148398.8,29849717.519999996,85.0,15.0,309464.24,119273671.84,183448402.17000002,168772530.02,-14675872.16,14675872.16
2027-02-01,HISTORICO,191360245.20000002,162656208.39999998,28704036.72,85.0,15.0,285006.45,110316752.94999999,169666212.93999997,156092915.95999998,-13573297.059999997,13573297.059999997
