Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30162684.04,440167.82125,191794257.65999997,124666267.48,362.8469,374142.65,66025.17,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.50346375,479140.5882609499,737139.3665493943,678168.2172254428,-58971.14932395157,58971.14932395157,8.000000000000004
2026-08-28,28,2026-08-01,True,BOGOTA,42176365.12,440167.82125,191794257.65999997,124666267.48,362.8469,374142.65,66025.17,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.50346375,479140.5882609499,737139.3665493943,678168.2172254428,-58971.14932395157,58971.14932395157,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34098422.69,440167.82125,191794257.65999997,124666267.48,362.8469,374142.65,66025.17,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.50346375,479140.5882609499,737139.3665493943,678168.2172254428,-58971.14932395157,58971.14932395157,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26244326.24,440167.82125,191794257.65999997,124666267.48,362.8469,374142.65,66025.17,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.50346375,479140.5882609499,737139.3665493943,678168.2172254428,-58971.14932395157,58971.14932395157,8.000000000000004
2026-08-28,28,2026-08-01,True,VALLE,22086306.77,440167.82125,191794257.65999997,124666267.48,362.8469,374142.65,66025.17,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.50346375,479140.5882609499,737139.3665493943,678168.2172254428,-58971.14932395157,58971.14932395157,8.000000000000004
2026-08-28,28,2026-08-01,True,SANTANDER,16904542.45,440167.82125,191794257.65999997,124666267.48,362.8469,374142.65,66025.17,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.50346375,479140.5882609499,737139.3665493943,678168.2172254428,-58971.14932395157,58971.14932395157,8.000000000000004
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10957066.73,440167.82125,191794257.65999997,124666267.48,362.8469,374142.65,66025.17,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.50346375,479140.5882609499,737139.3665493943,678168.2172254428,-58971.14932395157,58971.14932395157,8.000000000000004
2026-08-28,28,2026-08-01,True,TOLIMA,9164543.62,440167.82125,191794257.65999997,124666267.48,362.8469,374142.65,66025.17,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.50346375,479140.5882609499,737139.3665493943,678168.2172254428,-58971.14932395157,58971.14932395157,8.000000000000004
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25489185.41,311609.67875,161038593.82,104675085.98,363.5664,264868.23,46741.45,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.8290362500001,339872.427324882,522880.65743788116,481050.2048428507,-41830.45259503048,41830.45259503048,7.999999999999997
2026-08-29,29,2026-08-01,True,BOGOTA,35302892.84,311609.67875,161038593.82,104675085.98,363.5664,264868.23,46741.45,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),934.8290362500001,339872.427324882,522880.65743788116,481050.2048428507,-41830.45259503048,41830.45259503048,7.999999999999997
