Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,176715000.0,150207750.0,26507250.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,177893100.0,151209135.04,26683965.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,179071200.0,152210520.0,26860680.0,85.0,15.0,189.83,56686.30999999999,292.01,268.67,-23.359999999999996,23.359999999999996
2024-04-01,HISTORICO,180249300.0,153211904.96,27037395.039999995,85.0,15.0,189.46,54869.45,291.46000000000004,268.15999999999997,-23.319999999999997,23.319999999999997
2024-05-01,HISTORICO,181427400.0,154213290.0,27214110.0,85.0,15.0,197.29999999999998,54974.969999999994,303.51,279.24,-24.28,24.28
2024-06-01,HISTORICO,182605500.0,155214675.04,27390825.039999995,85.0,15.0,207.07,57589.07,318.58,293.08000000000004,-25.49,25.49
2024-07-01,HISTORICO,183783600.0,156216060.0,27567540.0,85.0,15.0,209.47999999999996,60918.25,322.27,296.5,-25.78,25.78
2024-08-01,HISTORICO,184961700.0,157217444.96,27744255.039999995,85.0,15.0,202.24999999999997,62166.22000000001,311.1700000000001,286.29,-24.909999999999997,24.909999999999997
2024-09-01,HISTORICO,186139800.0,158218830.0,27920970.0,85.0,15.0,193.19,60825.96,297.21999999999997,273.44,-23.78,23.78
2024-10-01,HISTORICO,187317900.0,159220215.04,28097685.039999995,85.0,15.0,190.39,58767.479999999996,292.89,269.45000000000005,-23.430000000000003,23.430000000000003
2024-11-01,HISTORICO,188496000.0,160221600.0,28274400.0,85.0,15.0,195.98,58179.159999999996,301.52,277.40999999999997,-24.119999999999997,24.119999999999997
2024-12-01,HISTORICO,189674100.0,161222984.96,28451115.039999995,85.0,15.0,205.7,60167.67,316.47,291.14,-25.32,25.32
2025-01-01,HISTORICO,190852200.0,162224370.0,28627830.0,85.0,15.0,210.67000000000002,63611.61,324.12,298.17,-25.93,25.93
2025-02-01,HISTORICO,192030300.0,163225755.04,28804545.039999995,85.0,15.0,205.91999999999996,65650.84999999999,316.81,291.46000000000004,-25.36,25.36
2025-03-01,HISTORICO,193208400.0,164227140.0,28981260.0,85.0,15.0,196.79999999999998,64916.85,302.78000000000003,278.55,-24.229999999999997,24.229999999999997
2025-04-01,HISTORICO,194386500.0,165228524.96,29157975.039999995,85.0,15.0,191.91,62801.22,295.24,271.61,-23.63,23.63
2025-05-01,HISTORICO,195564600.0,166229910.0,29334690.0,85.0,15.0,195.14000000000001,61602.91999999999,300.22,276.2,-24.01,24.01
2025-06-01,HISTORICO,196742700.0,167231295.04,29511405.039999995,85.0,15.0,204.09,62870.009999999995,313.96,288.84000000000003,-25.13,25.13
2025-07-01,HISTORICO,197920800.0,168232680.0,29688120.0,85.0,15.0,210.92999999999995,66174.67,324.49000000000007,298.53999999999996,-25.95,25.95
