Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30064617.2,440026.79125,191732806.46,124626324.2,362.8469,374022.77,66004.02,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.08037375,478987.0713660289,736903.1867110548,677950.9317741704,-58952.25493688439,58952.25493688439,8.000000000000002
2026-08-28,28,2026-08-01,True,BOGOTA,42614506.34,440026.79125,191732806.46,124626324.2,362.8469,374022.77,66004.02,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.08037375,478987.0713660289,736903.1867110548,677950.9317741704,-58952.25493688439,58952.25493688439,8.000000000000002
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33715179.02,440026.79125,191732806.46,124626324.2,362.8469,374022.77,66004.02,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.08037375,478987.0713660289,736903.1867110548,677950.9317741704,-58952.25493688439,58952.25493688439,8.000000000000002
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26673448.04,440026.79125,191732806.46,124626324.2,362.8469,374022.77,66004.02,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.08037375,478987.0713660289,736903.1867110548,677950.9317741704,-58952.25493688439,58952.25493688439,8.000000000000002
2026-08-28,28,2026-08-01,True,VALLE,21636170.18,440026.79125,191732806.46,124626324.2,362.8469,374022.77,66004.02,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.08037375,478987.0713660289,736903.1867110548,677950.9317741704,-58952.25493688439,58952.25493688439,8.000000000000002
2026-08-28,28,2026-08-01,True,SANTANDER,17040689.83,440026.79125,191732806.46,124626324.2,362.8469,374022.77,66004.02,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.08037375,478987.0713660289,736903.1867110548,677950.9317741704,-58952.25493688439,58952.25493688439,8.000000000000002
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10891604.54,440026.79125,191732806.46,124626324.2,362.8469,374022.77,66004.02,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.08037375,478987.0713660289,736903.1867110548,677950.9317741704,-58952.25493688439,58952.25493688439,8.000000000000002
2026-08-28,28,2026-08-01,True,TOLIMA,9096591.31,440026.79125,191732806.46,124626324.2,362.8469,374022.77,66004.02,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1320.08037375,478987.0713660289,736903.1867110548,677950.9317741704,-58952.25493688439,58952.25493688439,8.000000000000002
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25555137.26,313673.9125,162105381.23,105368497.8,363.5664,266622.83,47051.09,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.0217375,342123.88542462,526344.4391123023,484236.8839833181,-42107.55512898415,42107.55512898415,7.999999999999995
2026-08-29,29,2026-08-01,True,BOGOTA,35996640.61,313673.9125,162105381.23,105368497.8,363.5664,266622.83,47051.09,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.0217375,342123.88542462,526344.4391123023,484236.8839833181,-42107.55512898415,42107.55512898415,7.999999999999995
