Período (Mes),Tipo de Registro,Código Agente,Rol PUI,Código Mercado,Mercado Comercialización,Demanda Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Mercado Actual (VR) [kWh],Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Transitorio Unitario (CRPUI) [COP/kWh],Cargo Competitivo Fijo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Participación Agente CNIOR [%],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%]
2024-01-01,HISTORICO,SOUC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,8386875.0,7128843.75,1258031.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,25000000.0,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,SOUC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,8386875.0,7128843.75,1258031.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,35000000.0,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,SOUC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,8386875.0,7128843.75,1258031.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,28000000.0,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,SOUC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,8386875.0,7128843.75,1258031.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,22000000.0,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,SOUC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,8386875.0,7128843.75,1258031.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,9000000.0,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,SOUC,CNIOR,SANTANDER,ESSA - SANTANDER,8386875.0,7128843.75,1258031.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,14000000.0,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,SOUC,CNIOR,TOLIMA,ELET - TOLIMA,8386875.0,7128843.75,1258031.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,7500000.0,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,SOUC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,8386875.0,7128843.75,1258031.25,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,18000000.0,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,SOUC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,8442787.5,7176369.38,1266418.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,25250000.0,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,SOUC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,8442787.5,7176369.38,1266418.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,35350000.0,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,SOUC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,8442787.5,7176369.38,1266418.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,28280000.0,28000000.0,2800000.0,280.0,28000000.0,2828000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,SOUC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,8442787.5,7176369.38,1266418.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,22220000.0,22000000.0,2200000.0,280.0,22000000.0,2222000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,SOUC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,8442787.5,7176369.38,1266418.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,9090000.0,9000000.0,900000.0,280.0,9000000.0,909000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,SOUC,CNIOR,SANTANDER,ESSA - SANTANDER,8442787.5,7176369.38,1266418.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,14140000.0,14000000.0,1400000.0,280.0,14000000.0,1414000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,SOUC,CNIOR,TOLIMA,ELET - TOLIMA,8442787.5,7176369.38,1266418.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,7575000.0,7500000.0,750000.0,280.0,7500000.0,757500.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,SOUC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,8442787.5,7176369.38,1266418.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,18180000.0,18000000.0,1800000.0,280.0,18000000.0,1818000.0,0.0,0.0,0.0,0.0,0.0,6.8815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,SOUC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,8498700.0,7223895.0,1274805.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,25500000.0,25250000.0,2525000.0,295.1221,25000000.0,2550000.0,1.017e-05,0.0,254.13,254.13,233.8,6.8815,11.37,3394.73,17.49,16.09,-1.4,1.4,8.0
2024-03-01,HISTORICO,SOUC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,8498700.0,7223895.0,1274805.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,35700000.0,35350000.0,3535000.0,295.1221,35000000.0,3570000.0,1.017e-05,0.0,355.78,355.78,327.32,6.8815,15.91,4752.63,24.48,22.52,-1.96,1.96,8.0
2024-03-01,HISTORICO,SOUC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,8498700.0,7223895.0,1274805.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,28560000.0,28280000.0,2828000.0,295.1221,28000000.0,2856000.0,1.017e-05,0.0,284.63,284.63,261.86,6.8815,12.73,3802.1,19.59,18.02,-1.57,1.57,8.0
2024-03-01,HISTORICO,SOUC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,8498700.0,7223895.0,1274805.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,22440000.0,22220000.0,2222000.0,295.1221,22000000.0,2244000.0,1.017e-05,0.0,223.64,223.64,205.75,6.8815,10.0,2987.37,15.39,14.16,-1.23,1.23,8.0
2024-03-01,HISTORICO,SOUC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,8498700.0,7223895.0,1274805.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,9180000.0,9090000.0,909000.0,295.1221,9000000.0,918000.0,1.017e-05,0.0,91.49,91.49,84.17,6.8815,4.09,1222.1,6.3,5.79,-0.5,0.5,8.0
2024-03-01,HISTORICO,SOUC,CNIOR,SANTANDER,ESSA - SANTANDER,8498700.0,7223895.0,1274805.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,14280000.0,14140000.0,1414000.0,295.1221,14000000.0,1428000.0,1.017e-05,0.0,142.31,142.31,130.93,6.8815,6.37,1901.05,9.79,9.01,-0.78,0.78,8.0
2024-03-01,HISTORICO,SOUC,CNIOR,TOLIMA,ELET - TOLIMA,8498700.0,7223895.0,1274805.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,7650000.0,7575000.0,757500.0,295.1221,7500000.0,765000.0,1.017e-05,0.0,76.24,76.24,70.14,6.8815,3.41,1018.42,5.25,4.83,-0.42,0.42,8.0
2024-03-01,HISTORICO,SOUC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,8498700.0,7223895.0,1274805.0,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),298.6395,18360000.0,18180000.0,1818000.0,295.1221,18000000.0,1836000.0,1.017e-05,0.0,182.98,182.98,168.34,6.8815,8.18,2444.21,12.59,11.58,-1.01,1.01,8.0
2024-04-01,HISTORICO,SOUC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,8554612.5,7271420.62,1283191.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,25750000.0,25500000.0,2550000.0,298.6395,25250000.0,2575000.0,1.005e-05,0.0,253.65,253.65,233.36,6.8815,11.35,3285.93,17.46,16.06,-1.4,1.4,8.0
2024-04-01,HISTORICO,SOUC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,8554612.5,7271420.62,1283191.88,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),289.6168,36050000.0,35700000.0,3570000.0,298.6395,35350000.0,3605000.0,1.005e-05,0.0,355.11,355.11,326.7,6.8815,15.88,4600.3,24.44,22.48,-1.95,1.95,8.0
