Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,67095000.0,57030750.0,10064250.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,67542300.0,57410955.04000001,10131345.04,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,67989600.0,57791160.0,10198440.0,85.0,15.0,72.06,21522.61,110.88,102.0,-8.870000000000001,8.870000000000001
2024-04-01,HISTORICO,68436900.0,58171364.95999999,10265535.04,85.0,15.0,71.92,20832.789999999997,110.66999999999999,101.81,-8.850000000000001,8.850000000000001
2024-05-01,HISTORICO,68884200.0,58551570.0,10332630.0,85.0,15.0,74.91000000000001,20872.86,115.25000000000001,106.01999999999998,-9.22,9.22
2024-06-01,HISTORICO,69331500.0,58931775.04000001,10399725.04,85.0,15.0,78.61000000000001,21865.38,120.96,111.29,-9.68,9.68
2024-07-01,HISTORICO,69778800.0,59311980.0,10466820.0,85.0,15.0,79.53,23129.390000000003,122.37000000000002,112.58,-9.78,9.78
2024-08-01,HISTORICO,70226100.0,59692184.95999999,10533915.04,85.0,15.0,76.78999999999999,23603.22,118.15,108.68,-9.450000000000001,9.450000000000001
2024-09-01,HISTORICO,70673400.0,60072390.0,10601010.0,85.0,15.0,73.36,23094.340000000004,112.85999999999999,103.83000000000001,-9.02,9.02
2024-10-01,HISTORICO,71120700.0,60452595.04000001,10668105.04,85.0,15.0,72.27000000000001,22312.78,111.21,102.31,-8.89,8.89
2024-11-01,HISTORICO,71568000.0,60832800.0,10735200.0,85.0,15.0,74.42,22089.42,114.48,105.32000000000002,-9.149999999999999,9.149999999999999
2024-12-01,HISTORICO,72015300.0,61213004.95999999,10802295.04,85.0,15.0,78.11000000000001,22844.420000000002,120.16000000000001,110.54,-9.61,9.61
2025-01-01,HISTORICO,72462600.0,61593210.0,10869390.0,85.0,15.0,79.98,24152.0,123.04999999999998,113.22,-9.850000000000001,9.850000000000001
