Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30118369.26,438000.805,190850024.21,124052515.74,362.8469,372300.68,65700.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.002415,476781.70287526347,733510.3120950949,674829.4871274873,-58680.82496760762,58680.82496760762,8.000000000000004
2026-08-28,28,2026-08-01,True,BOGOTA,41752883.33,438000.805,190850024.21,124052515.74,362.8469,372300.68,65700.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.002415,476781.70287526347,733510.3120950949,674829.4871274873,-58680.82496760762,58680.82496760762,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33762796.44,438000.805,190850024.21,124052515.74,362.8469,372300.68,65700.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.002415,476781.70287526347,733510.3120950949,674829.4871274873,-58680.82496760762,58680.82496760762,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26277278.62,438000.805,190850024.21,124052515.74,362.8469,372300.68,65700.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.002415,476781.70287526347,733510.3120950949,674829.4871274873,-58680.82496760762,58680.82496760762,8.000000000000004
2026-08-28,28,2026-08-01,True,VALLE,22143749.79,438000.805,190850024.21,124052515.74,362.8469,372300.68,65700.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.002415,476781.70287526347,733510.3120950949,674829.4871274873,-58680.82496760762,58680.82496760762,8.000000000000004
2026-08-28,28,2026-08-01,True,SANTANDER,16733138.36,438000.805,190850024.21,124052515.74,362.8469,372300.68,65700.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.002415,476781.70287526347,733510.3120950949,674829.4871274873,-58680.82496760762,58680.82496760762,8.000000000000004
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10915099.25,438000.805,190850024.21,124052515.74,362.8469,372300.68,65700.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.002415,476781.70287526347,733510.3120950949,674829.4871274873,-58680.82496760762,58680.82496760762,8.000000000000004
2026-08-28,28,2026-08-01,True,TOLIMA,9146709.16,438000.805,190850024.21,124052515.74,362.8469,372300.68,65700.12,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.002415,476781.70287526347,733510.3120950949,674829.4871274873,-58680.82496760762,58680.82496760762,8.000000000000004
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25717454.35,313682.7725,162109960.09,105371474.06,363.5664,266630.36,47052.42,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.0483175,342133.549019532,526359.3061764025,484250.56168229034,-42108.74449411215,42108.74449411215,7.99999999999999
2026-08-29,29,2026-08-01,True,BOGOTA,35554039.67,313682.7725,162109960.09,105371474.06,363.5664,266630.36,47052.42,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.0483175,342133.549019532,526359.3061764025,484250.56168229034,-42108.74449411215,42108.74449411215,7.99999999999999
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28684026.76,313682.7725,162109960.09,105371474.06,363.5664,266630.36,47052.42,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),941.0483175,342133.549019532,526359.3061764025,484250.56168229034,-42108.74449411215,42108.74449411215,7.99999999999999
