Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,38385000.0,32627250.0,5757750.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,38640900.0,32844764.960000005,5796135.04,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,38896800.0,33062280.0,5834520.0,85.0,15.0,41.21,12313.06,63.42,58.35,-5.080000000000001,5.080000000000001
2024-04-01,HISTORICO,39152700.0,33279795.039999995,5872905.04,85.0,15.0,41.150000000000006,11918.42,63.31,58.239999999999995,-5.07,5.07
2024-05-01,HISTORICO,39408600.0,33497310.0,5911290.0,85.0,15.0,42.86,11941.34,65.92999999999999,60.66,-5.27,5.27
2024-06-01,HISTORICO,39664500.0,33714824.96,5949675.04,85.0,15.0,44.97,12509.169999999998,69.18,63.66,-5.529999999999999,5.529999999999999
2024-07-01,HISTORICO,39920400.0,33932340.0,5988060.0,85.0,15.0,45.51,13232.289999999999,70.0,64.41,-5.6000000000000005,5.6000000000000005
2024-08-01,HISTORICO,40176300.0,34149855.04,6026445.04,85.0,15.0,43.93000000000001,13503.390000000001,67.6,62.18000000000001,-5.409999999999999,5.409999999999999
2024-09-01,HISTORICO,40432200.0,34367370.0,6064830.0,85.0,15.0,41.97,13212.26,64.56,59.4,-5.16,5.16
2024-10-01,HISTORICO,40688100.0,34584884.96,6103215.04,85.0,15.0,41.36000000000001,12765.140000000001,63.61999999999999,58.519999999999996,-5.090000000000001,5.090000000000001
2024-11-01,HISTORICO,40944000.0,34802400.0,6141600.0,85.0,15.0,42.559999999999995,12637.329999999998,65.5,60.24000000000001,-5.26,5.26
2024-12-01,HISTORICO,41199900.0,35019915.04,6179985.04,85.0,15.0,44.68,13069.270000000004,68.72999999999999,63.230000000000004,-5.489999999999999,5.489999999999999
2025-01-01,HISTORICO,41455800.0,35237430.0,6218370.0,85.0,15.0,45.760000000000005,13817.34,70.39999999999999,64.77000000000001,-5.63,5.63
