Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30133969.09,439550.4175,191525236.2,124491403.53,362.8469,373617.85,65932.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.6512525,478468.5191507423,736105.414078065,677216.9809518198,-58888.43312624516,58888.43312624516,7.999999999999995
2026-08-28,28,2026-08-01,True,BOGOTA,42121456.97,439550.4175,191525236.2,124491403.53,362.8469,373617.85,65932.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.6512525,478468.5191507423,736105.414078065,677216.9809518198,-58888.43312624516,58888.43312624516,7.999999999999995
2026-08-28,28,2026-08-01,True,CARIBE_MAR,34168855.29,439550.4175,191525236.2,124491403.53,362.8469,373617.85,65932.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.6512525,478468.5191507423,736105.414078065,677216.9809518198,-58888.43312624516,58888.43312624516,7.999999999999995
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26591629.18,439550.4175,191525236.2,124491403.53,362.8469,373617.85,65932.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.6512525,478468.5191507423,736105.414078065,677216.9809518198,-58888.43312624516,58888.43312624516,7.999999999999995
2026-08-28,28,2026-08-01,True,VALLE,21532942.94,439550.4175,191525236.2,124491403.53,362.8469,373617.85,65932.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.6512525,478468.5191507423,736105.414078065,677216.9809518198,-58888.43312624516,58888.43312624516,7.999999999999995
2026-08-28,28,2026-08-01,True,SANTANDER,17026100.06,439550.4175,191525236.2,124491403.53,362.8469,373617.85,65932.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.6512525,478468.5191507423,736105.414078065,677216.9809518198,-58888.43312624516,58888.43312624516,7.999999999999995
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10850816.79,439550.4175,191525236.2,124491403.53,362.8469,373617.85,65932.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.6512525,478468.5191507423,736105.414078065,677216.9809518198,-58888.43312624516,58888.43312624516,7.999999999999995
2026-08-28,28,2026-08-01,True,TOLIMA,9099465.88,439550.4175,191525236.2,124491403.53,362.8469,373617.85,65932.56,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1318.6512525,478468.5191507423,736105.414078065,677216.9809518198,-58888.43312624516,58888.43312624516,7.999999999999995
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25555838.85,313588.255,162061113.95000002,105339724.07,363.5664,266550.02,47038.24,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.764765,342030.458857896,526200.7059227366,484104.64944891765,-42096.0564738189,42096.0564738189,7.999999999999995
2026-08-29,29,2026-08-01,True,BOGOTA,36195505.46,313588.255,162061113.95000002,105339724.07,363.5664,266550.02,47038.24,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.764765,342030.458857896,526200.7059227366,484104.64944891765,-42096.0564738189,42096.0564738189,7.999999999999995
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28532006.91,313588.255,162061113.95000002,105339724.07,363.5664,266550.02,47038.24,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.764765,342030.458857896,526200.7059227366,484104.64944891765,-42096.0564738189,42096.0564738189,7.999999999999995
