Período (Mes),Tipo de Registro,Código Agente,Rol PUI,Código Mercado,Mercado Comercialización,Demanda Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Costo Unitario Prestación (CU - PrecPromCont) [COP/kWh],Demanda Mercado Actual (VR) [kWh],Demanda Mercado Rezago m-1 (VR m-1) [kWh],Volumen Áreas Especiales m-1 (VPUI m-1) [kWh],Costo Unitario Rezago m-1 (CU m-1) [COP/kWh],Demanda Mercado Rezago m-2 (VR m-2) [kWh],Volumen Áreas Especiales Actual (VPUI) [kWh],Cargo Transitorio Unitario (CRPUI) [COP/kWh],Cargo Competitivo Fijo (CFPUI) [COP/kWh],Valor Total PUI Mercado [COP],Giro Obligatorio Total Mercado [COP],Recaudo Real Estimado Mercado [COP],Participación Agente CNIOR [%],Asignación Energía PUI Agente [kWh],Valor Asignación PUI Agente [COP],Egreso Giro Obligatorio al CIOR [COP],Recaudo Real Efectivo Agente [COP],Flujo Neto de Caja PUI [COP],Sobrecosto por Incobrabilidad [COP],Pérdida por Incobrabilidad [%]
2024-01-01,HISTORICO,TPLC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,21246562.5,18059578.12,3186984.38,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,25000000.0,25000000.0,2500000.0,277.5,25000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,17.4331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,TPLC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,21246562.5,18059578.12,3186984.38,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,35000000.0,35000000.0,3500000.0,277.5,35000000.0,3500000.0,0.0,0.0,0.0,0.0,0.0,17.4331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,TPLC,CNIOR,CARIBE_MAR,AFINIA - CARIBE MAR,21246562.5,18059578.12,3186984.38,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,28000000.0,28000000.0,2800000.0,277.5,28000000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,17.4331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,TPLC,CNIOR,CARIBE_SOL,AIR-E - CARIBE SOL,21246562.5,18059578.12,3186984.38,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,22000000.0,22000000.0,2200000.0,277.5,22000000.0,2200000.0,0.0,0.0,0.0,0.0,0.0,17.4331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,TPLC,CNIOR,CUNDINAMARCA,EEC - CUNDINAMARCA,21246562.5,18059578.12,3186984.38,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,9000000.0,9000000.0,900000.0,277.5,9000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,17.4331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,TPLC,CNIOR,SANTANDER,ESSA - SANTANDER,21246562.5,18059578.12,3186984.38,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,14000000.0,14000000.0,1400000.0,277.5,14000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,17.4331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,TPLC,CNIOR,TOLIMA,ELET - TOLIMA,21246562.5,18059578.12,3186984.38,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,7500000.0,7500000.0,750000.0,277.5,7500000.0,750000.0,0.0,0.0,0.0,0.0,0.0,17.4331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,HISTORICO,TPLC,CNIOR,VALLE,CVC - VALLE DEL CAUCA,21246562.5,18059578.12,3186984.38,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),280.0,18000000.0,18000000.0,1800000.0,277.5,18000000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,17.4331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,TPLC,CNIOR,ANTIOQUIA,EPM - ANTIOQUIA,21388206.25,18179975.31,3208230.94,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,25250000.0,25000000.0,2500000.0,280.0,25000000.0,2525000.0,0.0,0.0,0.0,0.0,0.0,17.4331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,TPLC,CNIOR,BOGOTA,ENEL - BOGOTA CUNDINAMARCA,21388206.25,18179975.31,3208230.94,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),295.1221,35350000.0,35000000.0,3500000.0,280.0,35000000.0,3535000.0,0.0,0.0,0.0,0.0,0.0,17.4331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
